f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,class
1.59801,1.59944,1.57053,1.55047,1.50737,1.43434,1.36899,1.30529,1.21031,1.11665,1.02398,0.925977,0.828107,0.739222,0.643051,0.556431,0.462949,0.369575,0.278426,0.18583,0.095532,0.0106458,-0.0808556,-0.165549,-0.243492,-0.33543,-0.426109,-0.497486,-0.56685,-0.649856,-0.732247,-0.7778,-0.842984,-0.917304,-0.987973,-1.05501,-1.09678,-1.14706,-1.19843,-1.24319,-1.28163,-1.31264,-1.33574,-1.35112,-1.37692,-1.38793,-1.37689,-1.3571,-1.32958,-1.29369,-1.2577,-1.23042,-1.17425,-1.1142,-1.072,-1.00675,-0.948929,-0.870171,-0.79017,-0.724507,-0.642835,-0.591634,-0.521392,-0.43063,-0.350848,-0.269856,-0.173638,-0.0891133,-0.00392028,0.0854528,0.175176,0.267055,0.362971,0.452381,0.549112,0.649817,0.746244,0.845659,0.946333,1.04568,1.14631,1.24236,1.34399,1.4418,1.54066,1.62409,1.66959,1.6852,1.69666,1.69746,1.68743,1.63853,1.5737,1.47858,1.3769,1.2766,1.17703,1.0777,0.979203,0.880533,0.777926,0.681645,0.590432,0.492751,0.404343,0.308589,0.213516,0.122677,0.0376029,-0.0526016,-0.13751,-0.220402,-0.315558,-0.394614,-0.446076,-0.533439,-0.60286,-0.673407,-0.737607,-0.81903,-0.885258,-0.950083,-1.00256,-1.063,-1.1252,-1.16577,-1.20426,-1.24845,-1.27377,-1.28438,-1.27334,-1.28674,-1.29187,-1.28865,-1.27774,-1.25814,-1.23135,-1.19727,-1.15631,-1.11046,-1.08452,-1.02583,-0.962551,-0.89507,-0.847815,-0.772537,-0.694573,-0.631998,-0.551219,-0.484587,-0.408677,-0.324424,-0.247454,-0.163651,-0.0769129,0.00880125,0.0972738,0.185896,0.284005,0.381205,0.463025,0.556933,0.65097,0.7382,0.834742,0.929939,1.02486,1.12091,1.21718,1.31253,1.40292,1.48104,1.52101,1.56415,1.57085,1.59289,22
1.70115,1.67064,1.61888,1.5468,1.47547,1.39121,1.30588,1.23731,1.15341,1.06969,0.984544,0.899423,0.816127,0.73289,0.657645,0.580587,0.495977,0.413459,0.328921,0.247065,0.162802,0.0815861,-0.002312,-0.0860577,-0.166145,-0.249341,-0.332285,-0.413426,-0.492813,-0.574454,-0.655577,-0.736085,-0.815848,-0.874166,-0.951565,-1.0304,-1.10659,-1.16045,-1.22955,-1.29467,-1.35452,-1.4072,-1.45026,-1.48117,-1.49741,-1.49719,-1.48033,-1.44889,-1.41813,-1.36405,-1.29244,-1.22714,-1.16651,-1.09355,-1.01837,-0.941527,-0.863365,-0.789568,-0.709275,-0.628182,-0.546554,-0.468673,-0.38599,-0.303011,-0.220632,-0.139621,-0.0558288,0.0281153,0.112193,0.193726,0.278131,0.360257,0.444909,0.52955,0.61236,0.679943,0.764928,0.848258,0.932111,1.00151,1.08671,1.17056,1.25481,1.32441,1.40862,1.49195,1.5752,1.64921,1.66997,1.65372,1.64095,1.56339,1.48028,1.39723,1.32871,1.24347,1.15968,1.07471,0.990968,0.905894,0.821558,0.737694,0.654587,0.56999,0.485246,0.418242,0.333699,0.249238,0.167566,0.083407,-0.000628014,-0.0813256,-0.164906,-0.244642,-0.327605,-0.410274,-0.492607,-0.569847,-0.651012,-0.731552,-0.811351,-0.888799,-0.961165,-1.03688,-1.11067,-1.18198,-1.25006,-1.2917,-1.34959,-1.40006,-1.44088,-1.46908,-1.48268,-1.48043,-1.46254,-1.43028,-1.38651,-1.33374,-1.2741,-1.20915,-1.1403,-1.06849,-1.01544,-0.939227,-0.861605,-0.782865,-0.703217,-0.627882,-0.546565,-0.481098,-0.401687,-0.318981,-0.238132,-0.156216,-0.0726175,0.0111546,0.0921615,0.176332,0.258024,0.342495,0.424745,0.509447,0.593934,0.675352,0.76012,0.843446,0.928548,1.01216,1.09736,1.18258,1.26629,1.35057,1.43516,1.51974,1.60252,1.67019,28
1.72234,1.69533,1.65695,1.60631,1.51182,1.41415,1.31369,1.21323,1.11298,1.01508,0.920437,0.827829,0.740445,0.657837,0.585664,0.500905,0.417188,0.334582,0.248214,0.16389,0.0793982,-0.00745994,-0.0889781,-0.179402,-0.260325,-0.34648,-0.423556,-0.50636,-0.571236,-0.654193,-0.718212,-0.796474,-0.868114,-0.935257,-0.984263,-1.0498,-1.09944,-1.15525,-1.19282,-1.23625,-1.27265,-1.28755,-1.30774,-1.3193,-1.32195,-1.3156,-1.31447,-1.29051,-1.25856,-1.23203,-1.19786,-1.14473,-1.09831,-1.0542,-0.986663,-0.920557,-0.870761,-0.793374,-0.722062,-0.64788,-0.571234,-0.497556,-0.424249,-0.337979,-0.257222,-0.172817,-0.0907315,-0.00383689,0.0849409,0.170132,0.256617,0.343379,0.426962,0.512381,0.596731,0.68292,0.768715,0.859172,0.953285,1.04959,1.14778,1.24708,1.34739,1.44668,1.54458,1.64049,1.6871,1.72167,1.72387,1.71347,1.67989,1.58832,1.49149,1.40641,1.30722,1.2067,1.12152,1.02309,0.928261,0.849151,0.760767,0.678616,0.595967,0.514902,0.428393,0.344782,0.259512,0.17447,0.0866354,-0.0010628,-0.0872861,-0.17511,-0.26229,-0.34483,-0.432655,-0.519303,-0.597084,-0.680531,-0.753822,-0.833023,-0.909847,-0.980395,-1.04431,-1.11077,-1.17286,-1.21783,-1.26845,-1.31242,-1.33072,-1.35987,-1.38027,-1.39146,-1.39305,-1.38513,-1.36775,-1.34288,-1.3201,-1.27757,-1.24025,-1.18438,-1.14331,-1.07776,-1.00815,-0.944633,-0.868234,-0.797171,-0.7164,-0.640757,-0.555553,-0.488415,-0.402688,-0.317874,-0.246731,-0.160121,-0.0694676,0.017895,0.101427,0.190897,0.276077,0.364046,0.451743,0.533934,0.61327,0.699326,0.78336,0.875706,0.969173,1.0656,1.16475,1.26392,1.3643,1.46351,1.54731,1.64181,1.69497,1.70849,21
1.72626,1.65984,1.57311,1.49626,1.40907,1.33244,1.24574,1.15888,1.07336,0.987165,0.90085,0.815378,0.730208,0.644131,0.558214,0.484006,0.399671,0.325024,0.240119,0.155495,0.0711868,-0.0127643,-0.0951286,-0.179404,-0.261972,-0.343938,-0.425213,-0.505685,-0.58521,-0.665193,-0.744807,-0.820696,-0.89474,-0.971704,-1.04128,-1.11361,-1.16857,-1.23409,-1.28708,-1.3411,-1.38748,-1.42434,-1.43983,-1.45222,-1.45111,-1.43639,-1.40924,-1.37122,-1.32401,-1.2771,-1.21606,-1.15039,-1.08106,-1.01261,-0.939501,-0.862748,-0.787041,-0.709266,-0.628564,-0.55071,-0.471719,-0.388724,-0.307979,-0.226647,-0.144671,-0.0596427,0.0232409,0.0965921,0.180293,0.264351,0.348729,0.433392,0.518314,0.602551,0.688834,0.773022,0.85883,0.943868,1.02978,1.10489,1.19073,1.26721,1.35279,1.43998,1.52658,1.61174,1.69728,1.74713,1.71533,1.6282,1.54125,1.45391,1.36692,1.27988,1.19292,1.10707,1.02086,0.94178,0.858446,0.772911,0.696744,0.611716,0.537183,0.451467,0.36595,0.282269,0.196234,0.122727,0.0383674,-0.045092,-0.12923,-0.210288,-0.294603,-0.374131,-0.445457,-0.528953,-0.608633,-0.677606,-0.754892,-0.821378,-0.900131,-0.97236,-1.04746,-1.11422,-1.179,-1.24197,-1.28757,-1.34154,-1.38784,-1.41505,-1.44,-1.45228,-1.45103,-1.4362,-1.40896,-1.37085,-1.32357,-1.26893,-1.21551,-1.14981,-1.08044,-1.01377,-0.938848,-0.863542,-0.788301,-0.708576,-0.631749,-0.553609,-0.471006,-0.391035,-0.310226,-0.228696,-0.146468,-0.0620449,0.0216436,0.105118,0.18898,0.273186,0.3577,0.44249,0.527529,0.606361,0.686818,0.772441,0.858326,0.943213,1.02841,1.11444,1.19961,1.27538,1.36226,1.44857,1.53513,1.62216,1.70784,1.73903,15
1.77898,1.7612,1.70308,1.61057,1.49209,1.36865,1.24476,1.1209,1.01076,0.900168,0.785766,0.678659,0.579652,0.501747,0.415444,0.332712,0.27374,0.186536,0.0963839,0.00893166,-0.074871,-0.154732,-0.230341,-0.307648,-0.398139,-0.486768,-0.522666,-0.593812,-0.667186,-0.725148,-0.778903,-0.841215,-0.898453,-0.950257,-0.99949,-1.03613,-1.07539,-1.11599,-1.15622,-1.16925,-1.1748,-1.19385,-1.18448,-1.21001,-1.20694,-1.19645,-1.17867,-1.15375,-1.12191,-1.10347,-1.05447,-1.02147,-0.969603,-0.907503,-0.858248,-0.816144,-0.763896,-0.714655,-0.64024,-0.581885,-0.504507,-0.42492,-0.352908,-0.289087,-0.208767,-0.135969,-0.0485678,0.031993,0.116337,0.199361,0.279839,0.358126,0.437559,0.481654,0.577155,0.672861,0.774367,0.888604,1.01179,1.11433,1.23778,1.36394,1.48549,1.60441,1.70752,1.78082,1.82578,1.80093,1.8003,1.7963,1.75574,1.66138,1.54475,1.42303,1.30404,1.18298,1.06261,0.948054,0.835447,0.73153,0.632545,0.537837,0.458698,0.368604,0.276708,0.186014,0.100695,0.00748105,-0.0851041,-0.164473,-0.250678,-0.33357,-0.423105,-0.511076,-0.582589,-0.668591,-0.732385,-0.798829,-0.882998,-0.933721,-0.976332,-1.06067,-1.09376,-1.14651,-1.18328,-1.23271,-1.25549,-1.31157,-1.32346,-1.31926,-1.35327,-1.31594,-1.3342,-1.31315,-1.28393,-1.27864,-1.24523,-1.20491,-1.17747,-1.10613,-1.0754,-1.02983,-0.960874,-0.917801,-0.839785,-0.78567,-0.714393,-0.645017,-0.566571,-0.497889,-0.404519,-0.327619,-0.243941,-0.160766,-0.0758119,0.0142658,0.107014,0.193531,0.276297,0.361518,0.451692,0.541502,0.634348,0.722392,0.822148,0.928921,1.04482,1.16569,1.28566,1.40888,1.50798,1.62364,1.71361,1.76639,1.78363,1.75862,2
1.79962,1.7427,1.68649,1.63267,1.53241,1.42259,1.31132,1.20124,1.08992,0.978576,0.872121,0.767156,0.664059,0.560875,0.453319,0.355443,0.259893,0.167044,0.0634316,-0.0251243,-0.11015,-0.191357,-0.268911,-0.342167,-0.416984,-0.497221,-0.557197,-0.611932,-0.699395,-0.731753,-0.79817,-0.837328,-0.890322,-0.942919,-0.984083,-1.02462,-1.04699,-1.09657,-1.1398,-1.14154,-1.17223,-1.19579,-1.21248,-1.2219,-1.22384,-1.21872,-1.20583,-1.18636,-1.15923,-1.12597,-1.10967,-1.07511,-1.02284,-0.97593,-0.935036,-0.880377,-0.825373,-0.777372,-0.699198,-0.639298,-0.582159,-0.528488,-0.46254,-0.38382,-0.315817,-0.2436,-0.149134,-0.0700169,0.0129811,0.0991378,0.188466,0.280604,0.384919,0.483111,0.581516,0.682176,0.784604,0.888956,0.995891,1.10847,1.21665,1.32616,1.44147,1.55276,1.6637,1.77192,1.82555,1.83826,1.83816,1.79312,1.73933,1.67518,1.56466,1.45325,1.34291,1.23061,1.11987,1.00833,0.900112,0.795644,0.689923,0.582533,0.48299,0.385467,0.278564,0.185036,0.0944397,-0.00807239,-0.0936213,-0.175653,-0.254003,-0.328037,-0.418096,-0.49629,-0.569021,-0.641406,-0.707609,-0.775736,-0.825297,-0.880485,-0.93895,-0.991319,-1.04021,-1.08239,-1.10439,-1.15255,-1.19442,-1.19299,-1.22111,-1.24195,-1.25591,-1.26185,-1.2609,-1.25179,-1.23577,-1.21224,-1.1819,-1.14493,-1.13674,-1.08689,-1.03115,-1.00306,-0.954297,-0.896239,-0.840263,-0.776072,-0.713297,-0.660338,-0.5859,-0.525558,-0.441343,-0.363308,-0.284134,-0.209705,-0.127841,-0.0333269,0.0510996,0.138656,0.24239,0.334592,0.429603,0.537326,0.635955,0.745721,0.853873,0.958899,1.06329,1.172,1.28287,1.39109,1.49758,1.57144,1.67387,1.72366,1.77651,1.83232,18
1.74909,1.72664,1.65938,1.55957,1.45729,1.35519,1.25211,1.16185,1.06233,0.960994,0.863616,0.771253,0.682273,0.594607,0.513087,0.426665,0.345253,0.258938,0.178522,0.100728,0.0149552,-0.0563535,-0.144764,-0.22602,-0.298551,-0.380141,-0.457049,-0.536573,-0.613763,-0.688338,-0.761877,-0.828214,-0.902726,-0.963602,-1.01979,-1.07083,-1.12804,-1.16747,-1.21287,-1.25172,-1.26978,-1.29337,-1.30891,-1.31596,-1.31446,-1.3045,-1.28619,-1.25986,-1.23913,-1.19802,-1.16266,-1.10893,-1.06132,-0.997347,-0.953305,-0.887473,-0.812342,-0.743423,-0.672776,-0.596227,-0.5186,-0.438694,-0.368299,-0.289535,-0.206351,-0.13218,-0.0478757,0.0401923,0.112249,0.196042,0.281625,0.364791,0.450101,0.534102,0.617023,0.702077,0.790808,0.886183,0.984815,1.07145,1.17281,1.27582,1.37884,1.48189,1.58002,1.66721,1.71657,1.7211,1.72217,1.71663,1.67929,1.58325,1.48164,1.37817,1.2745,1.17024,1.0688,0.969103,0.885333,0.79139,0.701812,0.617764,0.53525,0.456941,0.376976,0.290932,0.204241,0.119819,0.0332597,-0.0609638,-0.148474,-0.230897,-0.319195,-0.400521,-0.489901,-0.570361,-0.653604,-0.732491,-0.805571,-0.875368,-0.951234,-1.01545,-1.08211,-1.13513,-1.19404,-1.24741,-1.28193,-1.32186,-1.33679,-1.3618,-1.37833,-1.38588,-1.3844,-1.37395,-1.35466,-1.32697,-1.30444,-1.26135,-1.21165,-1.15947,-1.10651,-1.04781,-0.980996,-0.907298,-0.839662,-0.759849,-0.686043,-0.601579,-0.522902,-0.436423,-0.370805,-0.280481,-0.194776,-0.107633,-0.0229919,0.0650924,0.155653,0.24305,0.329448,0.416306,0.500849,0.582182,0.665912,0.74994,0.840797,0.935638,1.03334,1.11939,1.22166,1.32446,1.4273,1.52879,1.61629,1.70137,1.73305,1.75006,21
1.34769,1.23736,1.12881,1.02187,0.939225,0.847104,0.750243,0.658845,0.56605,0.474134,0.38805,0.305696,0.217883,0.132597,0.0611786,0.00862747,-0.0672046,-0.139555,-0.208142,-0.272669,-0.332829,-0.405926,-0.457427,-0.508253,-0.564676,-0.600314,-0.652073,-0.69732,-0.740903,-0.777491,-0.800815,-0.849852,-0.852696,-0.878286,-0.899748,-0.908984,-0.900802,-0.914723,-0.951225,-0.952794,-0.92307,-0.911652,-0.91803,-0.902645,-0.874963,-0.868823,-0.856245,-0.811395,-0.769579,-0.756842,-0.720995,-0.679791,-0.633646,-0.58244,-0.526915,-0.482273,-0.41669,-0.365362,-0.309114,-0.248261,-0.183112,-0.100193,-0.0282596,0.0471304,0.113244,0.180411,0.254868,0.33354,0.41797,0.504629,0.59226,0.685155,0.779122,0.874982,0.977137,1.08008,1.18677,1.29583,1.40569,1.51657,1.60529,1.66592,1.72906,1.77678,1.77426,1.76373,1.68827,1.59167,1.48478,1.38227,1.28035,1.186,1.08585,0.986372,0.889499,0.78378,0.693053,0.591892,0.487729,0.394236,0.291296,0.191624,0.0986148,-0.00214884,-0.102165,-0.189085,-0.285983,-0.382649,-0.463178,-0.556683,-0.664807,-0.75567,-0.826976,-0.91289,-0.99623,-1.07664,-1.15372,-1.22699,-1.29586,-1.35977,-1.41809,-1.47014,-1.5152,-1.55256,-1.58155,-1.60162,-1.61234,-1.61348,-1.60499,-1.58708,-1.56012,-1.52451,-1.48103,-1.43041,-1.37338,-1.31062,-1.26492,-1.19168,-1.11455,-1.03401,-0.950497,-0.86437,-0.775951,-0.685519,-0.593286,-0.499483,-0.404296,-0.307877,-0.22356,-0.124587,-0.0247609,0.0758325,0.165869,0.268143,0.369226,0.464278,0.568346,0.664167,0.761176,0.865625,0.963499,1.06991,1.17242,1.27612,1.3721,1.45602,1.5621,1.65713,1.71328,1.74878,1.76355,1.75138,1.68894,1.62507,1.54548,1.43144,36
1.69562,1.63378,1.59599,1.50699,1.41428,1.32309,1.24193,1.18575,1.12169,1.04836,0.965988,0.890188,0.805468,0.719114,0.63167,0.552998,0.467841,0.379953,0.297367,0.210525,0.12471,0.0406024,-0.0451807,-0.125816,-0.208392,-0.283128,-0.363443,-0.442356,-0.509291,-0.588861,-0.662418,-0.733606,-0.802057,-0.872527,-0.945349,-1.00985,-1.07546,-1.14083,-1.20051,-1.25241,-1.30047,-1.34526,-1.37422,-1.40038,-1.41002,-1.41629,-1.41075,-1.38856,-1.36903,-1.33441,-1.29321,-1.24878,-1.18697,-1.13454,-1.07557,-1.00668,-0.940905,-0.863254,-0.788269,-0.70789,-0.625849,-0.549501,-0.464994,-0.379187,-0.291706,-0.205157,-0.115301,-0.0266777,0.0640259,0.14764,0.237543,0.329133,0.419729,0.510777,0.603858,0.691283,0.779549,0.871468,0.964315,1.04904,1.14217,1.23469,1.32737,1.41992,1.50525,1.59776,1.68897,1.75733,1.76349,1.7185,1.63352,1.54075,1.44686,1.35344,1.2603,1.16748,1.0744,0.981641,0.89673,0.803964,0.711655,0.627933,0.535182,0.45173,0.360821,0.276365,0.186751,0.0951848,0.0141553,-0.0766414,-0.165462,-0.24634,-0.335815,-0.420549,-0.507418,-0.590984,-0.667272,-0.749385,-0.829699,-0.905192,-0.979858,-1.04867,-1.11751,-1.17803,-1.23594,-1.28398,-1.32974,-1.36075,-1.38773,-1.39922,-1.4085,-1.40233,-1.38695,-1.36656,-1.33554,-1.2928,-1.24262,-1.18961,-1.13053,-1.06989,-1.00492,-0.933536,-0.864555,-0.790172,-0.718297,-0.645504,-0.573964,-0.502341,-0.423742,-0.350931,-0.266886,-0.187466,-0.113548,-0.031837,0.0482247,0.131565,0.216104,0.2987,0.379908,0.464071,0.546938,0.633518,0.717406,0.798679,0.880249,0.963014,1.0395,1.11596,1.17948,1.23871,1.3254,1.40926,1.50238,1.59508,1.66246,1.72133,11
1.72272,1.71329,1.66525,1.58677,1.49544,1.40384,1.31227,1.22041,1.12956,1.04081,0.955113,0.870236,0.786887,0.705824,0.622236,0.547431,0.461252,0.376524,0.289768,0.203493,0.120158,0.0326059,-0.0518737,-0.135605,-0.219443,-0.303454,-0.385469,-0.469739,-0.548488,-0.625662,-0.706248,-0.784418,-0.856887,-0.931864,-1.00435,-1.07299,-1.13238,-1.19367,-1.24982,-1.29994,-1.3335,-1.36784,-1.39284,-1.40778,-1.41189,-1.40522,-1.3878,-1.37021,-1.33341,-1.28871,-1.23705,-1.17962,-1.11725,-1.06538,-0.995437,-0.922622,-0.85317,-0.775566,-0.701399,-0.620384,-0.542742,-0.463575,-0.383073,-0.297572,-0.212591,-0.131735,-0.0504514,0.0281777,0.115136,0.189104,0.275629,0.360755,0.447094,0.535543,0.619128,0.701244,0.78469,0.867947,0.95274,1.03994,1.12891,1.21968,1.30098,1.39334,1.48503,1.57528,1.66482,1.71262,1.71277,1.69915,1.62617,1.53584,1.44508,1.35365,1.2623,1.17654,1.0923,1.00567,0.921474,0.837255,0.764316,0.680438,0.604476,0.519962,0.432471,0.34804,0.261172,0.175535,0.0900945,0.0150592,-0.0725431,-0.156128,-0.23885,-0.324594,-0.405463,-0.489531,-0.558811,-0.640757,-0.717563,-0.795136,-0.872273,-0.947312,-1.01984,-1.08938,-1.15022,-1.20898,-1.2649,-1.31466,-1.35707,-1.39107,-1.41545,-1.42942,-1.43226,-1.424,-1.40483,-1.37569,-1.33741,-1.30001,-1.2466,-1.18757,-1.12373,-1.06274,-0.991286,-0.917125,-0.846293,-0.767646,-0.692378,-0.610547,-0.529436,-0.447881,-0.366903,-0.284399,-0.198215,-0.114495,-0.0398041,0.0457915,0.123098,0.210168,0.29415,0.381835,0.468259,0.544606,0.630896,0.706129,0.790888,0.873454,0.957593,1.04426,1.13189,1.22256,1.30298,1.39483,1.48686,1.57766,1.66574,1.70925,21
