sample_idx,y_true,y_pred,pred_correct,axp_json,intervals_json,n_constrained,coverage_convB,fsc_s,their_cov,solver_status,solver_wall_s,total_wall_s,timeout_s
0,1,1,True,"[0, 2, 3, 14]","{""0"": [352.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [108.5, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.874955,2.079442,89.980000,ok,2.3627,2.3628,60
1,1,1,True,"[0, 2, 3, 4, 5]","{""0"": [314.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [108.5, true, null, true], ""4"": [58.0, true, null, true], ""5"": [28.0, true, null, true]}",5,0.852273,2.772589,91.710000,ok,20.3425,20.3426,60
2,1,1,True,"[0, 2, 3, 14]","{""0"": [352.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [113.0, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.871483,1.386294,89.660000,ok,28.7057,28.7058,60
3,1,1,True,"[0, 2, 3, 14]","{""0"": [383.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [92.0, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.870851,1.791759,90.980000,ok,9.9036,9.9037,60
4,1,1,True,"[0, 1, 2, 3]","{""0"": [314.0, true, null, true], ""1"": [240.5, true, null, true], ""2"": [134.5, true, null, true], ""3"": [113.0, true, null, true]}",4,0.878893,1.386294,92.510000,ok,3.9675,3.9676,60
5,1,1,True,"[0, 2, 3, 14]","{""0"": [352.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [130.5, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.868010,1.386294,86.620000,ok,45.0398,45.0399,60
6,1,1,True,"[0, 2, 3, 14, 23]","{""0"": [352.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [92.0, true, null, true], ""14"": [1188.5, true, null, true], ""23"": [315.5, true, null, true]}",5,0.861760,3.178054,90.410000,ok,19.2251,19.2252,60
7,1,1,True,"[0, 1, 3, 5, 14]","{""0"": [352.0, true, null, true], ""1"": [240.5, true, null, true], ""3"": [92.0, true, null, true], ""5"": [28.0, true, null, true], ""14"": [1188.5, true, null, true]}",5,0.840233,1.791759,88.460000,ok,42.9718,42.9719,60
8,1,1,True,[],{},0,,,,timeout,60.0077,60.0077,60
8,1,1,True,[],{},0,,,,timeout,120.4189,120.4189,120
8,1,1,True,"[0, 2, 3, 14]","{""0"": [352.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [130.5, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.868010,1.386294,89.770000,ok,143.0953,143.0954,240
9,1,1,True,"[0, 2, 3, 14]","{""0"": [352.0, true, null, true], ""2"": [134.5, true, null, true], ""3"": [108.5, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.870325,1.386294,88.500000,ok,32.9297,32.9299,240
10,1,1,True,"[0, 2, 3, 5, 16]","{""0"": [325.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [108.5, true, null, true], ""5"": [28.0, true, null, true], ""16"": [1093.5, true, null, true]}",5,0.844021,2.484907,88.020000,ok,27.4805,27.4806,240
11,1,1,True,"[0, 2, 3, 14, 23]","{""0"": [325.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [108.5, true, null, true], ""14"": [1188.5, true, null, true], ""23"": [315.5, true, null, true]}",5,0.862076,3.178054,91.630000,ok,61.4686,61.4688,240
12,1,1,True,"[0, 2, 3, 14]","{""0"": [383.0, true, null, true], ""2"": [134.5, true, null, true], ""3"": [92.0, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.866222,1.098612,91.440000,ok,57.3045,57.3047,240
13,1,1,True,"[0, 2, 3, 4]","{""0"": [383.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [108.5, true, null, true], ""4"": [58.0, true, null, true]}",4,0.871843,1.386294,91.010000,ok,16.2441,16.2443,240
14,1,1,True,"[0, 2, 3, 14]","{""0"": [352.0, true, null, true], ""2"": [124.5, true, null, true], ""3"": [130.5, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.868010,1.386294,90.970000,ok,23.4054,23.4055,240
15,1,1,True,"[0, 2, 3, 14]","{""0"": [383.0, true, null, true], ""2"": [134.5, true, null, true], ""3"": [92.0, true, null, true], ""14"": [1188.5, true, null, true]}",4,0.866222,1.098612,87.180000,ok,37.2744,37.2745,240
