f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,class
2.61733,3.23098,2.8508,2.75146,2.34566,2.2746,1.98976,1.84899,1.45329,1.31711,1.1623,0.979096,0.767475,-0.270625,1.49438,1.44566,1.28304,1.15541,0.731415,0.538979,0.260447,0.0583289,-0.304288,-0.603783,-0.926251,-1.01261,1.8559,1.50011,1.38928,0.99809,0.689133,0.351887,0.0787644,-0.419176,-0.747236,-1.00894,-1.00094,-1.07509,0.951662,1.40717,0.838676,0.917751,-0.188712,-0.763226,-0.577885,-1.04852,-0.687988,-0.942208,-1.04626,-1.02592,0.417744,1.33718,0.963301,0.655984,-0.145236,-0.586963,-0.87084,-0.891586,-1.05006,-1.05846,-1.09339,-1.01502,-1.12809,1.093,0.719071,0.465468,0.0302461,-0.383701,-0.616936,-0.77831,-0.882645,-1.03283,-0.980305,0.222553,0.0290942,-0.0567662,-0.261677,-1.02016,0.555461,0.0136336,-0.44581,-0.80943,1.36383,1.25149,0.823724,0.847197,0.437241,0.0937689,-0.397414,-0.522001,-0.690161,-1.07442,-1.09355,-1.0839,-0.979868,1.15186,0.744758,0.0109311,-1.06673,-1.0067,-1.06585,-1.02713,0.920572,0.663527,0.651087,0.76009,0.546857,0.261358,-0.766934,-1.01596,-1.05115,-1.08991,0.101472,0.388097,0.304634,-0.232061,-1.1049,-1.13033,-0.557789,-0.172253,0.0955473,-0.445382,-0.771262,-0.515438,-0.951458,-1.03003,-1.10664,-1.06693,-0.907922,-1.13064,-1.09044,0.139027,-1.10237,-1.13263,-1.1344,-0.203913,-0.20757,0.23044,0.855382,1.1254,0.105905,-0.694673,0.663764,-0.187385,-1.05871,-0.591053,-1.06119,0.330995,-0.526869,0.254687,0.348618,-0.513618,-0.255381,0.312141,1.76214,-0.277671,-0.330768,1.307,0.101411,-0.501958,-0.171426,-0.707244,-0.788341,-1.00587,-0.79022,-0.84632,1
1.9823,3.49561,3.1081,2.9702,2.54632,2.45921,2.1733,1.95417,1.35497,1.2977,0.983239,0.776955,0.098927,-0.506629,1.52796,1.48946,1.34673,1.23125,1.00213,0.718709,0.482134,0.138854,-0.332353,-0.657933,-0.873603,-0.751319,1.99974,1.6977,1.56812,1.08391,0.561843,-0.0282731,-0.376011,-0.678125,-0.791441,-0.806,-0.75559,-0.946302,1.17984,1.47955,0.911821,1.08488,0.505147,-0.229551,-0.370045,-0.854487,-0.563109,-0.71116,-0.847986,-0.791072,0.269538,1.3922,1.0935,0.72696,-0.246682,-0.794412,-0.867368,-0.851103,-0.870496,-0.848982,-0.891567,-0.796766,-0.829475,1.25663,0.714045,0.48504,-0.107582,-0.683546,-0.745872,-0.87132,-0.927346,-0.841135,-0.876542,0.258383,-0.155898,-0.24135,-0.632715,-0.811093,0.298765,-0.431726,-0.713668,-0.82047,1.42911,1.30748,0.984973,0.905859,0.0277204,-0.260409,-0.442123,-0.590505,-0.741419,-0.831731,-0.881957,-0.889982,-0.814845,1.20189,0.523184,-0.0896431,-0.919864,-0.82966,-0.843305,-0.853741,0.898499,0.254363,-0.304598,0.632763,-0.0702116,-0.428407,-0.864187,-0.91487,-0.872218,-0.954699,0.495234,-0.389166,-0.463576,-0.783477,-0.987558,-1.00252,-0.354831,-0.559008,-0.596046,-0.911219,-1.00081,-0.944068,-0.909817,-0.967521,-0.856328,-0.972941,-0.886233,-0.878502,-1.02198,0.197055,-0.814015,-0.999312,-0.924962,-0.625714,-0.447803,-0.288677,0.815533,1.27715,-0.0620021,-0.681845,0.721424,-0.403392,-0.896546,-0.625293,-0.8924,0.374541,-0.496249,0.291342,0.373817,-0.492811,-0.262008,0.384234,2.03266,-0.245272,-0.365934,1.61782,0.116585,-0.212586,-0.101318,-0.468925,-0.574425,-0.845186,-0.584681,-0.645637,3
4.85864,4.57583,4.14975,3.98916,3.04877,2.89384,2.25428,2.21257,1.2969,1.14246,1.05968,0.140631,-0.354439,-0.705721,1.15157,0.983783,0.647096,0.333961,-0.100391,-0.292324,-0.700148,-0.752553,-0.391017,-0.0843717,-0.374539,-0.533054,1.88286,1.35757,1.22667,0.430563,0.0686716,-0.127096,-0.0896532,-0.0444344,-0.0812142,-0.217854,-0.689665,-0.767002,0.00276148,0.968129,0.264053,0.0105225,-0.160352,-0.356316,-0.633836,-0.386399,-0.306694,-0.579499,-0.692681,-0.457356,-0.818026,0.781933,0.265092,-0.26217,-0.715265,-0.340736,-0.424661,-0.276518,-0.353262,-0.411582,-0.567702,-0.330643,0.304754,0.40873,-0.234336,-0.491248,-0.772121,-0.37124,-0.399958,-0.231544,-0.340328,-0.302617,-0.70125,-0.658925,-0.646869,-0.612502,-0.245847,-0.427604,-0.0541957,-0.151473,-0.128729,-0.163573,0.795637,0.613052,-0.0543029,-0.0863213,-0.735754,-0.738214,-0.410787,-0.388722,-0.279613,-0.437952,-0.567873,-0.502609,-0.72768,0.389359,-0.337525,-0.782618,-0.752596,-0.66086,-0.608359,-0.712771,-0.122158,-0.575419,-0.753425,-0.26294,-0.672363,-0.65744,-0.279077,-0.772525,-0.722964,-0.774375,-0.449792,-0.636802,-0.606343,-0.303327,-0.793964,-0.788359,-0.285483,-0.277448,-0.656159,-0.449174,-0.347499,-0.280181,-0.50326,-0.426869,-0.606444,-0.533955,-0.276905,-0.838247,-0.594692,-0.848785,-0.735408,-0.825284,-0.832463,-0.831009,-0.59501,-0.42867,1.31018,0.879909,-0.0631997,0.109673,0.207249,-0.19758,-0.705392,-0.11584,-0.663205,-0.0916757,0.228597,0.11831,0.229889,0.233245,0.150711,1.07819,2.04681,0.122414,0.0702177,1.16124,0.877887,0.387564,0.624246,-0.00475754,-0.35352,-0.730301,-0.463261,-0.514576,1
1.23599,3.71635,3.29518,3.11814,2.64963,2.5397,2.16283,1.80943,0.757237,0.568343,-0.221565,-0.522145,-1.16884,-0.957182,0.961583,1.05358,1.02239,1.01489,0.963382,0.894276,0.765511,0.593337,0.166089,-0.3031,-0.844486,-0.903835,1.92541,1.63233,1.52386,1.08742,0.797595,0.404719,-0.0132351,-0.535632,-0.832782,-0.929156,-0.849637,-1.06657,1.10006,1.02103,0.620695,0.927682,0.625274,-0.07334,-0.160057,-0.803396,-0.426582,-0.991025,-1.00428,-0.92607,0.873836,1.01522,0.812318,0.785478,0.0738456,-0.697347,-0.901379,-0.96973,-0.999797,-0.986065,-1.03531,-0.938541,-1.09723,0.946167,0.697555,0.593085,0.220953,-0.537419,-0.663114,-0.861371,-0.96469,-1.01231,-0.975856,0.418908,0.173138,0.0534242,-0.466295,-0.963001,0.623779,-0.137604,-0.583241,-0.89433,1.0381,0.977348,0.790933,0.853625,0.563674,0.185403,-0.275786,-0.303082,-0.57725,-1.0168,-1.0294,-0.990856,-0.881413,0.91292,0.646898,0.0691931,-1.03734,-0.938877,-0.982375,-0.965972,0.824843,0.470252,-0.341557,0.733109,0.302462,-0.0817638,-0.678386,-0.986459,-0.994562,-1.04142,0.610996,0.0333022,-0.112337,-0.58287,-1.10228,-1.1077,0.0622593,-0.382354,-0.427287,-0.833378,-0.824802,-0.810283,-1.06505,-0.805535,-1.08666,-1.03174,-1.05543,-1.06056,-0.975685,-0.100201,-0.901914,-1.14463,-1.05862,-0.645955,-0.641733,-0.419799,0.402667,1.31793,0.324919,-0.518395,0.881142,0.0618866,-1.02084,-0.466013,-1.03098,0.605111,-0.206461,0.520951,0.502847,-0.211691,0.0463964,1.07391,2.13386,-0.0021662,-0.0829318,1.84894,0.722741,-0.324813,0.246875,-0.574384,-0.687058,-0.923488,-0.678012,-0.762254,3
4.16208,4.07725,3.64774,3.55308,3.06008,2.83884,2.55301,2.18873,1.58865,1.29685,0.975662,0.770483,0.10374,-0.686494,1.36157,1.21955,0.921152,0.763629,0.380072,0.0872798,-0.16378,-0.484589,-0.810387,-0.651302,-0.564761,-0.633636,1.85405,1.55585,1.29271,0.67728,0.309753,-0.0329759,-0.354487,-0.369906,-0.379471,-0.452833,-0.77623,-0.840528,0.485595,1.19467,0.543807,0.554549,-0.364159,-0.600133,-0.648472,-0.59737,-0.7189,-0.716382,-0.818932,-0.727139,-0.906545,1.01439,0.687232,0.246643,-0.496592,-0.623453,-0.717878,-0.51759,-0.560523,-0.647406,-0.78386,-0.580191,0.0922654,0.793668,0.365293,0.00302816,-0.28183,-0.607671,-0.673495,-0.519944,-0.542896,-0.523897,-0.835192,-0.0726359,-0.290823,-0.416408,-0.552816,-0.694274,0.130582,-0.404017,-0.45037,-0.422992,1.02198,0.924505,0.517283,0.473341,0.168003,-0.392374,-0.81158,-0.771601,-0.701682,-0.517826,-0.630204,-0.601691,-0.82883,0.819813,0.332163,-0.21643,-0.859671,-0.770951,-0.678676,-0.810988,0.60083,0.262563,0.266053,0.370414,0.157854,-0.159335,-0.630552,-0.838678,-0.814408,-0.840339,-0.454275,0.0301697,-0.146787,-0.477469,-0.870718,-0.885216,-0.564179,-0.79096,-0.406018,-0.808888,-0.641319,-0.694656,-0.664775,-0.514516,-0.805481,-0.714995,-0.61113,-0.912138,-0.680627,-0.881726,-0.790449,-0.892776,-0.873308,-0.802568,-0.734815,-0.218255,1.23624,0.970667,-0.156706,-0.187388,0.296564,-0.467231,-0.82604,-0.379634,-0.784263,-0.0443791,-0.0994668,0.0269959,0.233926,-0.104669,-0.173374,0.52908,2.1264,-0.152316,-0.196576,0.981581,0.426008,0.182823,0.256299,-0.183502,-0.518826,-0.802884,-0.603505,-0.651567,2
1.43022,4.01426,3.5666,3.44477,2.86036,2.73768,2.27615,1.81015,0.0215617,-0.103655,-0.97359,-1.06106,-0.936697,-1.00793,0.329307,0.534097,0.563446,0.587945,0.797232,0.79694,0.859087,0.790084,0.311925,-0.314982,-0.784636,-0.826257,1.95445,1.68958,1.59851,1.074,0.878661,0.532031,0.0126909,-0.422952,-0.705275,-0.882644,-0.777347,-1.03019,0.828928,0.501384,0.192384,0.604705,0.511908,-0.617936,-0.247599,-0.937388,-0.319844,-0.855489,-0.956046,-0.875556,1.13039,0.505705,0.439706,0.621665,0.0517292,-0.640078,-0.844293,-0.946482,-0.947037,-0.959623,-1.00587,-0.888515,-1.07451,0.495757,0.517523,0.541603,0.241152,-0.439227,-0.660403,-0.801036,-0.940039,-0.939063,-0.899906,0.433157,0.260663,0.152911,-0.431284,-0.906704,0.811104,-0.142553,-0.507449,-0.797684,0.54431,0.471732,0.505969,0.657412,0.740232,0.435213,-0.10372,-0.248269,-0.445726,-0.961415,-0.968186,-0.938201,-0.799154,0.531151,0.566915,0.175807,-0.992777,-0.883734,-0.947481,-0.913137,0.626754,0.541442,-0.304504,0.610844,0.428587,0.167585,-0.62031,-0.91874,-0.939866,-0.980904,0.595171,0.223735,0.0969294,-0.52846,-1.0315,-1.04826,0.345523,-0.235262,-0.33717,-0.759906,-0.774722,-0.769274,-1.02855,-0.783544,-1.02364,-1.01174,-1.03564,-0.984347,-0.973991,-0.465317,-0.845772,-1.10757,-1.01075,-0.635889,-0.903393,-0.703384,0.281196,1.3809,0.525919,-0.424138,0.935396,0.288053,-0.973803,-0.348354,-0.97575,0.734944,-0.051719,0.662157,0.647891,-0.0268033,0.311465,1.29654,2.34599,0.158102,0.079489,2.05374,0.925146,-0.227509,0.497677,-0.497687,-0.625323,-0.874865,-0.608694,-0.696379,1
5.23532,5.28897,4.54553,3.65887,3.01629,2.945,2.35004,1.99238,1.1675,0.876496,0.708772,-0.265913,-0.572689,-0.706441,0.878304,0.670393,0.383616,-0.0800937,-0.259739,-0.493491,-0.704607,-0.713682,-0.203261,0.0504766,-0.236298,-0.377782,1.75141,1.28171,0.981114,0.364488,0.00981729,-0.0736522,-0.0453886,-0.0618071,-0.108753,-0.286114,-0.524238,-0.712459,-0.175124,0.661493,-0.103864,-0.154499,-0.613939,-0.386602,-0.574657,-0.433136,-0.263637,-0.326041,-0.561418,-0.418377,-0.776992,0.499986,-0.14485,-0.387844,-0.488572,-0.290079,-0.42042,-0.311693,-0.422819,-0.42699,-0.542618,-0.359325,0.500711,-0.068279,-0.363549,-0.636064,-0.653649,-0.351238,-0.356076,-0.276155,-0.374637,-0.342007,-0.689026,-0.503553,-0.518678,-0.450687,-0.214752,-0.423827,-0.0325094,-0.103552,-0.135631,-0.21552,0.510191,0.22988,-0.214792,-0.232373,-0.655773,-0.552467,-0.233733,-0.211241,-0.227255,-0.36572,-0.486066,-0.388114,-0.596942,-0.0776948,-0.410605,-0.780865,-0.661521,-0.552135,-0.507284,-0.629501,-0.264919,-0.642435,0.445295,-0.405204,-0.663918,-0.678977,-0.226904,-0.692893,-0.647984,-0.727814,-0.682807,-0.632449,-0.612099,-0.286317,-0.735859,-0.754852,-0.686342,-0.387848,-0.407342,-0.265863,-0.492138,-0.302568,-0.408061,-0.244224,-0.434028,-0.449839,-0.348656,-0.631245,-0.403311,-0.783252,-0.616256,-0.79116,-0.597327,-0.0631958,-0.742981,-0.7272,1.13752,0.677089,-0.0736884,0.115405,0.0801444,-0.124022,-0.59839,-0.112686,-0.56032,-0.0734609,0.252499,0.0712093,0.199745,0.239924,0.158674,1.09261,2.04037,0.182961,0.129964,1.11722,0.924366,0.571928,0.714759,0.141687,-0.16414,-0.640122,-0.204048,-0.359628,1
4.24866,4.16063,3.74502,3.61939,3.07571,2.96801,2.34317,2.30944,1.58585,1.46207,1.10942,1.01357,0.450743,-0.252162,1.45028,1.25531,0.94666,0.661085,0.323702,0.0658885,-0.344754,-0.5432,-0.753297,-0.460002,-0.460069,-0.573041,2.03391,1.42857,1.28463,0.544941,0.0692429,-0.321337,-0.354926,-0.300194,-0.298496,-0.343859,-0.704795,-0.79886,0.53234,1.2371,0.513022,0.458802,-0.0179337,-0.491839,-0.589275,-0.475748,-0.626495,-0.517816,-0.697517,-0.509207,-0.600247,1.07155,0.579011,0.105576,-0.621667,-0.519479,-0.573388,-0.460132,-0.47698,-0.485775,-0.623527,-0.420843,0.180102,0.732114,0.158,-0.174519,-0.583045,-0.550985,-0.579022,-0.423343,-0.486823,-0.42765,-0.733891,-0.452483,-0.592368,-0.668433,-0.472251,-0.483481,-0.0792637,-0.391768,-0.363262,-0.356734,1.081,0.891199,0.385994,0.315952,-0.588703,-0.800817,-0.743475,-0.708041,-0.567971,-0.510404,-0.630178,-0.559575,-0.739983,0.689044,-0.0256558,-0.51792,-0.775796,-0.6835,-0.651474,-0.742524,0.291896,-0.337618,-0.79609,0.0866734,-0.52682,-0.805384,-0.54581,-0.792499,-0.748264,-0.814135,-0.166967,-0.751272,-0.755471,-0.479205,-0.833004,-0.830112,-0.665644,-0.526285,-0.690745,-0.558449,-0.523901,-0.557921,-0.604896,-0.508556,-0.629375,-0.60966,-0.402985,-0.848615,-0.666303,-0.880439,-0.783237,-0.859395,-0.865069,-0.862828,-0.334606,-0.109535,1.40047,0.899357,-0.262016,-0.111393,0.246396,-0.442943,-0.724429,-0.325953,-0.68886,-0.112811,-0.0191425,0.0341626,0.144562,-0.0236149,-0.0842033,0.619635,2.19264,-0.0776784,-0.121137,1.04817,0.532162,0.24492,0.345159,-0.108263,-0.365437,-0.774951,-0.449775,-0.527019,1
1.29117,3.86256,3.40884,3.28469,2.7658,2.61734,2.19223,1.75623,0.477591,0.128473,0.0360096,-1.31817,-1.12048,-1.19014,0.819587,0.796835,0.759896,0.7665,0.822585,0.771366,0.733235,0.586406,0.201261,-0.156422,-0.854054,-1.08465,1.85159,1.62096,1.49626,1.00466,0.757641,0.377572,0.14206,-0.14066,-0.382753,-0.794654,-0.928973,-1.21099,0.940489,0.803623,0.386232,0.730422,0.486958,-0.533449,-0.376568,-0.984963,-0.335889,-0.990977,-1.12544,-1.05539,0.853306,0.749472,0.615446,0.592881,-0.217842,-0.423875,-0.715395,-0.771065,-0.913832,-0.993882,-1.13195,-0.964735,-0.505458,0.709693,0.503851,0.453621,0.17807,-0.311984,-0.471466,-0.552827,-0.749211,-0.843222,-1.06646,0.419001,0.151229,0.0474234,-0.232114,-1.05773,0.649649,0.00699675,-0.246344,-0.514968,0.788112,0.730336,0.602096,0.726787,0.570716,0.218349,-0.026912,-0.134435,-0.365734,-1.02308,-1.05848,-0.99312,-1.06239,0.673842,0.558419,0.0607935,-1.21733,-1.16822,-1.17296,-1.16735,0.651629,0.448648,0.673865,0.602763,0.310675,0.127528,-0.473426,-1.09043,-1.17321,-1.16682,0.526848,0.219987,0.101977,-0.0458428,-1.17142,-1.25587,0.247125,-0.234441,-0.193885,-0.321911,-0.831562,-0.28396,-0.902098,-0.795571,-1.13124,-1.02164,-0.612973,-1.20805,-1.11579,-0.325307,-1.01021,-1.28144,-1.24302,-0.183089,-0.985547,-0.858586,0.189878,1.22057,0.354007,-0.216162,0.801361,0.106616,-1.16872,-0.279544,-1.16598,0.568976,0.0681686,0.469517,0.538455,0.104714,0.241551,1.4833,2.18792,-0.0218714,-0.102508,1.89413,0.996836,-0.377031,0.564591,-0.65915,-0.837535,-1.05435,-0.841898,-0.937705,3
4.60308,4.45466,3.96406,3.75648,3.2092,3.02123,2.56511,2.08917,1.50066,1.16751,1.05624,0.623302,-0.569988,-0.71621,1.21473,1.09917,0.795085,0.50627,0.184441,-0.12576,-0.452806,-0.637109,-0.69369,-0.384783,-0.444929,-0.57457,1.86652,1.44945,1.21862,0.572637,0.197369,-0.16619,-0.281433,-0.254122,-0.261649,-0.403994,-0.685769,-0.722508,0.299271,1.07754,0.38569,0.330123,-0.443646,-0.541521,-0.629071,-0.586741,-0.47545,-0.620042,-0.764746,-0.678103,-0.773431,0.901491,0.439438,0.023833,-0.649962,-0.532996,-0.620319,-0.436995,-0.538473,-0.589749,-0.714939,-0.559032,0.304117,0.560832,0.190374,-0.235826,-0.650869,-0.535455,-0.563507,-0.419004,-0.475245,-0.481896,-0.716942,-0.493078,-0.523609,-0.608702,-0.469365,-0.666324,-0.000697349,-0.3489,-0.328557,-0.328839,0.929794,0.770818,0.301096,0.26692,-0.221577,-0.667949,-0.64261,-0.568519,-0.451564,-0.455277,-0.554362,-0.49306,-0.720724,0.580507,0.167484,-0.415749,-0.786463,-0.710885,-0.606544,-0.741302,0.367967,0.110002,0.103668,0.195178,0.0138578,-0.469859,-0.433341,-0.729256,-0.738428,-0.738539,-0.641394,-0.235051,-0.51649,-0.568632,-0.74105,-0.753411,-0.568581,-0.626222,-0.588943,-0.522983,-0.4673,-0.486714,-0.605982,-0.347385,-0.674721,-0.613691,-0.616951,-0.80281,-0.524113,-0.835343,-0.688962,-0.814812,-0.767994,-0.75487,-0.662009,-0.349938,1.16759,0.893021,-0.147024,-0.0769339,0.219933,-0.373138,-0.724883,-0.297975,-0.683617,-0.102745,0.0123806,0.0225863,0.226926,0.00970944,-0.0545367,0.697804,2.06032,-0.0175535,-0.0657814,0.957132,0.60047,0.308419,0.420303,-0.044618,-0.422183,-0.70263,-0.460633,-0.557438,3
