f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.75295,-0.681524,-0.433208,-0.196545,0.115316,0.44252,0.704835,0.958349,1.012,1.2967,1.25587,1.29511,1.37148,1.2998,1.12417,0.987188,0.887509,0.828574,0.625277,0.538258,0.267475,-0.0984598,-0.508826,-0.548228,-0.512263,-0.663248,-0.693428,-0.468921,-0.159659,0.205186,0.433633,0.792358,1.15444,1.48156,1.43318,1.30961,1.23249,1.28698,1.31129,1.29871,1.24246,1.36016,1.41902,1.52381,1.20616,0.764357,0.376542,0.000212519,-0.321793,-0.638098,-0.259085,-0.176006,-0.405627,-0.613535,-0.791095,-1.12936,-1.48063,-1.74556,-1.79593,-1.57858,-1.28312,-0.958343,-0.625607,-0.464478,-0.170305,-0.0568783,-0.241983,-0.499772,-0.742387,-0.962115,-1.25679,-1.39654,-1.57326,-1.71901,-1.5854,-1.47912,-1.15636,-0.899072,-0.714974,-0.404537,1
-0.692439,-0.607517,-0.528049,-0.238206,0.0792881,0.22171,0.469584,0.827304,1.19192,1.2632,1.39858,1.37896,1.32866,1.01783,0.792153,0.777305,0.618899,0.492992,0.0917121,-0.204797,-0.451383,-0.732211,-0.631759,-0.515094,-0.391157,-0.080633,0.131181,0.446932,0.739806,1.11093,1.42911,1.44093,1.23063,1.31282,1.18495,1.1145,1.20571,1.32964,1.41191,1.61002,1.76895,1.81865,1.46941,1.09374,0.691094,0.392237,0.141408,-0.093663,-0.412899,-0.690394,-0.272599,-0.450853,-0.61835,-0.848118,-1.07266,-1.35984,-1.53843,-1.52205,-1.54134,-1.36386,-1.13978,-0.907284,-0.672137,-0.536988,-0.451308,-0.503504,-0.670243,-0.820619,-0.947131,-1.1397,-1.19318,-1.41179,-1.6003,-1.57781,-1.37587,-1.09001,-0.856527,-0.58532,-0.384036,-0.302826,0
-0.758178,-0.664469,-0.441651,-0.131919,0.190417,0.458226,0.793385,0.901123,1.04717,1.17408,1.31393,1.48475,1.46129,1.42573,1.25206,1.1788,1.05325,0.908685,0.661261,0.392027,0.0460175,-0.224422,-0.370246,-0.416114,-0.572734,-0.807499,-0.638001,-0.363999,-0.407072,-0.254124,0.0360987,0.356517,0.6714,1.0373,1.33459,1.65567,1.59418,1.47855,1.41849,1.42085,1.52311,1.45077,1.54585,1.42726,1.12153,0.756395,0.369669,-0.0335526,-0.381919,-0.635316,-0.319063,-0.483464,-0.638111,-0.844872,-1.04166,-1.21949,-1.43279,-1.59541,-1.54493,-1.35235,-1.19094,-1.00056,-0.733134,-0.524948,-0.369479,-0.420991,-0.570925,-0.774015,-1.03662,-1.28881,-1.50863,-1.60329,-1.46901,-1.35429,-1.12129,-0.86756,-0.64233,-0.44598,-0.242013,-0.202283,0
-0.791748,-0.755816,-0.480617,-0.180228,0.16016,0.533688,0.789282,0.956684,1.16651,1.27558,1.39625,1.42332,1.42199,1.30199,1.22539,0.786126,0.525858,0.232996,0.197124,0.168111,-0.0516116,-0.393699,-0.771901,-0.869865,-0.780762,-0.868469,-0.624468,-0.293913,0.0345172,0.420428,0.695323,0.806702,1.19225,1.53142,1.43443,1.43255,1.39407,1.54866,1.56541,1.70671,1.69112,1.47983,1.22053,0.810283,0.605067,0.661576,0.306742,-0.062537,-0.449236,-0.722918,-0.241653,-0.307752,-0.535972,-0.806558,-0.909075,-1.15083,-1.47228,-1.57426,-1.54976,-1.47641,-1.20012,-0.820883,-0.550114,-0.323958,0.0221351,0.0967314,-0.00147599,-0.185994,-0.490328,-0.727471,-1.0085,-1.28054,-1.51409,-1.6751,-1.60342,-1.50937,-1.24965,-0.932686,-0.687836,-0.33367,1
-0.457678,-0.584141,-0.630943,-0.40472,-0.142197,0.252855,0.772742,1.09909,1.51568,1.76924,1.96541,1.81387,1.51541,1.14806,0.969453,1.04957,0.947275,0.588523,0.347726,-0.10128,-0.42183,-0.73731,-0.703363,-0.639452,-0.587219,-0.603514,-0.406531,-0.300254,-0.113591,0.110006,0.515922,0.646369,0.873768,1.04857,0.994981,0.787588,0.899296,0.96366,0.805421,0.801891,0.898844,0.906719,1.01879,1.19278,1.34848,0.936049,0.706115,0.390182,0.0751541,-0.169898,-0.068419,-0.307225,-0.605777,-0.976569,-1.33731,-1.67156,-1.92853,-1.91843,-1.70149,-1.30789,-0.864498,-0.327412,-0.253091,0.0422934,0.4139,0.801891,0.535837,0.162873,-0.254448,-0.627322,-1.01758,-1.38085,-1.67248,-1.84701,-1.85596,-1.71544,-1.40846,-0.876719,-0.529012,-0.174877,0
-0.794812,-0.706014,-0.679621,-0.405663,-0.203317,0.0855974,0.257269,0.526301,0.896623,1.20818,1.30214,1.43604,1.40923,1.30313,1.09117,0.908059,0.734218,0.405128,0.0315213,-0.230766,-0.516278,-0.600501,-0.732524,-0.878096,-0.761674,-0.576161,-0.32449,-0.0143437,0.272694,0.6063,0.903485,1.24131,1.60249,1.61996,1.55815,1.40595,1.42659,1.42999,1.4724,1.56472,1.68876,1.78753,1.55451,1.15433,0.758676,0.444189,0.0405535,-0.282848,-0.612818,-0.677568,-0.364724,-0.554108,-0.735633,-0.968653,-1.12625,-1.38222,-1.5226,-1.57017,-1.39585,-1.1798,-0.926366,-0.654929,-0.375223,-0.133522,0.0115213,0.23375,-0.0128188,-0.251411,-0.488888,-0.781908,-0.95704,-1.11346,-1.31596,-1.47232,-1.51584,-1.41332,-1.18355,-0.932524,-0.662378,-0.383493,1
-0.788716,-0.802499,-0.519899,-0.239181,-0.201394,0.0404606,0.00388323,0.190939,0.486718,0.789288,1.25767,1.6547,1.6578,1.48802,1.26143,1.07451,0.895591,0.653064,0.344644,0.0242563,-0.31516,-0.618873,-0.759602,-0.750323,-0.58001,-0.360008,-0.0945529,0.211648,0.542122,0.930218,1.17987,1.0926,1.10409,1.09845,1.05199,0.917443,0.981655,1.20798,1.3996,1.68046,1.91639,1.92608,1.54141,1.16131,0.788951,0.38539,0.0357539,-0.290013,-0.57732,-0.769082,0.0744829,-0.0599926,-0.247317,-0.486616,-0.875116,-1.18979,-1.53803,-1.74835,-1.72055,-1.44751,-1.25555,-0.880024,-0.538994,-0.295056,0.0233822,0.0691039,-0.0681957,-0.327061,-0.660762,-1.05928,-1.28123,-1.57976,-1.74695,-1.71476,-1.48194,-1.24929,-0.937782,-0.680866,-0.368614,-0.0373335,0
-0.842158,-0.670376,-0.47981,-0.315542,0.00747448,0.385532,0.715207,0.825858,0.872475,1.07164,1.27723,1.38663,1.2396,1.23858,1.21593,1.05365,0.906626,0.814247,0.733991,0.412511,0.0369586,-0.108242,-0.459775,-0.699461,-0.798785,-0.698892,-0.521817,-0.203866,0.116589,0.491686,0.820678,1.20813,1.2869,1.22036,1.24604,1.25935,1.24222,1.34206,1.48231,1.52813,1.574,1.76201,1.6649,1.26402,0.866897,0.5354,0.135827,-0.196581,-0.528192,-0.725132,-0.379348,-0.509067,-0.73219,-0.942051,-1.20246,-1.3579,-1.48995,-1.55736,-1.43395,-1.36325,-1.11736,-0.825594,-0.513507,-0.469793,-0.388341,-0.164251,-0.156282,-0.496089,-0.769643,-1.03415,-1.28038,-1.47698,-1.54613,-1.55593,-1.42057,-1.20399,-1.05202,-0.746078,-0.460686,-0.347701,0
-0.607538,-0.58307,-0.411511,-0.208492,0.087344,0.394186,0.683929,0.894978,1.0791,1.24263,1.29492,1.43446,1.55004,1.40267,1.23078,0.971499,0.889309,0.669333,0.539908,0.353894,0.103357,-0.200887,-0.460825,-0.651845,-0.641217,-0.575749,-0.409574,-0.19692,0.112379,0.395367,0.722143,1.03739,1.34617,1.5986,1.60327,1.52236,1.40224,1.45793,1.55132,1.43186,1.21316,1.26001,1.47347,1.29393,0.955014,0.640331,0.307178,-0.0311228,-0.343255,-0.496677,-0.661481,-0.751418,-0.836867,-0.960672,-1.02794,-1.08001,-1.17717,-1.23495,-1.28569,-1.19897,-1.0892,-1.02713,-1.00857,-0.920994,-0.828459,-0.82213,-0.906587,-0.983534,-1.04938,-1.16553,-1.19131,-1.28671,-1.32749,-1.24955,-1.1976,-1.06566,-0.929213,-0.74438,-0.657655,-0.661529,0
-0.677743,-0.631964,-0.409512,-0.181263,0.0424274,0.0728474,0.338898,0.62655,0.871991,1.07804,1.20364,1.24134,1.13185,1.00739,0.809466,0.628383,0.432487,0.100146,-0.228875,-0.473969,-0.416845,-0.605359,-0.788127,-0.708014,-0.546997,-0.257363,0.0418329,0.286828,0.643792,0.985496,1.35435,1.7134,1.83245,1.7346,1.46781,1.18075,1.07552,1.18759,1.38507,1.45859,1.66479,1.82195,1.7296,1.47469,1.11813,0.678423,0.330228,-0.0625561,-0.384393,-0.644549,-0.416349,-0.429677,-0.628001,-0.767616,-1.06111,-1.24041,-1.36836,-1.4564,-1.44581,-1.32974,-1.14504,-0.884985,-0.683441,-0.404261,-0.227389,-0.403666,-0.520193,-0.569093,-0.809629,-0.994676,-1.21416,-1.28951,-1.49095,-1.48867,-1.38332,-1.19112,-1.063,-0.796896,-0.594509,-0.43582,0
