f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.413666,-0.344162,-0.186995,0.0636039,0.344682,0.592005,0.840467,0.929697,1.09968,1.24813,1.3553,1.3986,1.39358,1.28395,1.16082,1.0613,0.942978,0.802368,0.6384,0.40329,0.1523,-0.102465,-0.350037,-0.414058,-0.456607,-0.280996,-0.0751191,0.174946,0.432167,0.582711,0.837939,1.10659,1.39126,1.40953,1.34109,1.27953,1.30912,1.28437,1.34255,1.37186,1.442,1.40472,1.29463,1.02854,0.771853,0.515201,0.251357,0.0394627,-0.202555,-0.422781,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,-1.10244,8
-0.426772,-0.364088,-0.180852,0.0498145,0.304586,0.55514,0.710503,0.901395,1.03038,1.22917,1.37762,1.495,1.43441,1.29119,1.2004,1.03783,0.85839,0.660022,0.430072,0.357221,0.175092,-0.0933169,-0.323715,-0.439811,-0.438794,-0.242699,-0.0399641,0.203951,0.455911,0.688223,0.90298,1.15638,1.35056,1.33465,1.29048,1.31703,1.33719,1.39222,1.38528,1.3947,1.46668,1.42523,1.21846,1.04925,0.793194,0.55206,0.31613,0.0367753,-0.183066,-0.352903,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,-1.10265,8
-0.445566,-0.42577,-0.233487,-0.0091525,0.173537,0.394438,0.571577,0.796297,0.989894,1.16431,1.27336,1.37205,1.36753,1.27006,1.13922,0.959703,0.83467,0.694396,0.565737,0.345157,0.0725988,-0.185168,-0.356724,-0.411171,-0.323645,-0.162356,0.0457441,0.294271,0.543439,0.79296,1.04254,1.29415,1.47469,1.42669,1.28696,1.27686,1.25992,1.35011,1.39862,1.35283,1.3733,1.4573,1.34099,1.15789,0.899224,0.629489,0.361391,0.121913,-0.0982191,-0.329965,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,-1.10615,8
-0.476551,-0.475101,-0.336227,-0.0983932,0.151992,0.407315,0.675941,0.961778,1.12419,1.25615,1.40958,1.4505,1.3782,1.24616,1.1002,0.937316,0.755517,0.490962,0.282526,0.00497417,-0.244965,-0.441408,-0.492729,-0.412818,-0.230461,-0.0269063,0.201724,0.439809,0.678256,0.920302,1.1597,1.40886,1.45245,1.44227,1.34964,1.39385,1.39937,1.43731,1.39525,1.38557,1.46138,1.36627,1.21386,0.952657,0.703303,0.491883,0.232795,0.00904639,-0.238327,-0.415022,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,-1.07466,8
-0.505197,-0.422455,-0.302429,-0.0699846,0.12706,0.272098,0.445653,0.671116,0.888871,1.09726,1.29765,1.39118,1.43617,1.33543,1.23516,1.12304,0.959769,0.754487,0.504045,0.245829,0.037371,-0.189614,-0.403101,-0.526172,-0.400521,-0.198977,0.0225166,0.271568,0.503284,0.76021,1.0175,1.25206,1.38277,1.41887,1.37123,1.35564,1.38082,1.42624,1.4012,1.38741,1.48209,1.4984,1.33652,1.11622,0.878516,0.599061,0.320863,0.0640031,-0.207578,-0.383979,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,-1.08197,8
-0.481672,-0.39234,-0.194923,0.0519774,0.221437,0.458761,0.716809,0.945785,1.11602,1.20423,1.30563,1.42895,1.33779,1.24214,1.1308,0.973971,0.824722,0.628935,0.455845,0.302279,0.0613823,-0.127259,-0.356178,-0.468122,-0.422241,-0.249637,-0.00405175,0.251395,0.488147,0.733932,0.956162,1.20203,1.37447,1.46154,1.40906,1.39591,1.37647,1.39631,1.42907,1.43604,1.50273,1.41889,1.27176,0.999213,0.753485,0.523508,0.270177,0.0312237,-0.214876,-0.405118,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,-1.09242,8
-0.385153,-0.315207,-0.144043,0.0655377,0.297314,0.554161,0.819231,0.945833,1.12545,1.27362,1.37564,1.36977,1.3115,1.21753,1.10889,0.919198,0.771339,0.564007,0.374203,0.122649,-0.0730444,-0.197398,-0.375136,-0.353481,-0.317598,-0.123241,0.0897255,0.312396,0.540843,0.785226,1.02397,1.22838,1.32922,1.31195,1.28387,1.31249,1.37199,1.45327,1.44848,1.4134,1.47017,1.40466,1.22727,1.03695,0.800592,0.543518,0.316579,0.0871075,-0.125802,-0.304906,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,-1.10976,8
-0.544122,-0.477394,-0.291924,-0.0927667,0.149165,0.395016,0.647743,0.912073,1.19289,1.34237,1.41376,1.46823,1.44873,1.30077,1.13954,0.958176,0.755378,0.565958,0.374174,0.112052,-0.140612,-0.339831,-0.488655,-0.514879,-0.385654,-0.192345,0.0116027,0.249241,0.491795,0.7327,0.974694,1.19585,1.40763,1.46733,1.42225,1.36495,1.41647,1.46102,1.49119,1.46123,1.46976,1.39982,1.22204,1.03638,0.770591,0.545178,0.247748,0.0251972,-0.179093,-0.396636,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,-1.06656,8
-0.519897,-0.444513,-0.256654,0.0106199,0.238126,0.480643,0.721084,0.981289,1.14692,1.38889,1.43149,1.42767,1.39831,1.30018,1.14436,0.933339,0.762356,0.567277,0.323196,0.0541779,-0.184218,-0.396773,-0.509429,-0.495741,-0.350899,-0.137622,0.0718357,0.314623,0.536685,0.777818,0.994645,1.23614,1.36552,1.4157,1.38143,1.40129,1.4175,1.42677,1.49625,1.43913,1.47375,1.391,1.23448,0.965496,0.737148,0.482688,0.245045,-0.00544362,-0.232468,-0.4434,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,-1.07126,8
-0.471819,-0.396355,-0.183379,0.0587338,0.144304,0.391773,0.65548,0.75464,0.843003,1.10973,1.31329,1.51567,1.56508,1.51662,1.38458,1.30797,1.09796,0.89575,0.717469,0.513016,0.310147,0.0536952,-0.193946,-0.424945,-0.542072,-0.4227,-0.259131,-0.0354741,0.227744,0.472592,0.736357,0.981954,1.19764,1.26167,1.28862,1.29389,1.33909,1.47116,1.38882,1.30831,1.35306,1.37321,1.28683,1.13444,0.867361,0.595765,0.330704,0.0870653,-0.165039,-0.345566,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,-1.09016,8
