f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,class
0.502055,0.542163,0.722383,1.42889,2.13652,2.28115,1.93627,1.46889,1.00885,0.380282,-0.29678,-0.513929,-0.255645,-0.107203,-0.287827,-0.418009,-0.319163,-0.260379,-0.350357,-0.505486,-0.710887,-0.82392,-0.899702,-1.15395,-1.22983,-1.04409,-1.20203,-1.39219,-1.13011,-1.17987,-1.64927,-1.72658,-1.60837,-1.6628,-1.65067,-1.69731,-1.8387,-1.8026,-1.78054,-1.82517,-1.64476,-1.42381,-1.39219,-1.36042,-1.20018,-0.918632,-0.685916,-0.667943,-0.512722,-0.101691,0.0639543,0.0826143,0.237607,0.174793,0.123205,0.503394,0.68387,0.474995,0.532797,0.72355,0.66442,0.647936,0.757054,0.732072,0.620215,0.606297,0.67795,0.689084,0.598807,0.542647,0.581807,0.630631,0.66442,0.686318,0.657382,0.650889,0.721738,0.739706,0.691481,0.695229,0.750115,0.853845,0.916019,0.82775,0.880906,1.08883,0.931043,0.610298,0.638894,0.684679,0.583238,0.640522,0.708585,0.705011,0.713815,0.433765,-1
0.147647,0.804668,0.367771,0.243894,0.0266139,-0.274402,0.0967306,-0.747731,-1.60978,-1.17959,-1.05593,-1.12878,-0.686039,-0.798789,-1.71428,-1.64986,-1.0327,-1.42392,-1.78243,-1.02513,-1.79891,-1.79361,-1.08548,-1.57439,-1.03606,-2.13002,-2.03862,-0.0550127,-1.14019,-0.704275,0.0487231,-0.475854,0.525865,0.244778,0.679932,0.928601,0.573041,1.23161,1.04332,1.58023,1.29057,0.750518,0.977567,1.14159,1.5299,0.847682,0.76676,0.565682,1.08463,1.05737,0.503084,0.953288,0.454198,1.19897,0.84972,-0.137715,0.63112,0.694075,0.515071,0.559229,0.555712,0.469694,0.388821,0.343129,0.535598,0.900708,0.656846,0.690033,0.952596,0.54777,-0.167693,0.0115319,-0.176488,-0.277706,-0.224836,-0.910723,-0.0379318,0.0716677,-1.04892,-0.636218,-0.386637,-0.507512,-0.716656,-0.463758,-0.460442,-0.770792,-0.533503,-0.400228,0.176084,1.11177,2.43843,2.73489,1.73605,0.0368566,-1.26507,-0.208024,1
0.316646,0.243199,0.370471,1.06374,1.67819,1.75956,1.69772,1.61216,1.16819,0.499957,-0.0223625,-0.235318,-0.118273,-0.0710274,-0.322986,-0.433562,-0.31866,-0.295655,-0.417733,-0.68248,-0.88184,-0.84332,-0.883652,-1.03002,-1.05527,-1.16864,-1.36399,-1.33761,-1.26129,-1.40978,-1.6345,-1.70324,-1.67702,-1.78263,-1.99687,-2.05637,-1.93788,-1.87941,-1.91543,-1.84551,-1.65814,-1.50948,-1.39343,-1.23287,-1.02435,-0.76864,-0.511294,-0.309564,-0.131962,0.0350541,0.142159,0.225807,0.34369,0.428589,0.469568,0.569782,0.675666,0.699885,0.732561,0.771665,0.738129,0.7237,0.806876,0.878985,0.855791,0.806384,0.792501,0.803814,0.781938,0.700439,0.73596,0.864162,0.70767,0.458756,0.600146,0.825136,0.800034,0.762821,0.755443,0.653766,0.526441,0.477339,0.574946,0.698425,0.722414,0.771598,0.764229,0.610621,0.5529,0.566786,0.604002,0.777068,0.812345,0.748848,0.818042,0.539347,-1
1.16887,2.0759,1.76014,1.60645,1.94905,1.30284,0.459332,0.516412,0.85218,0.989227,0.821253,0.576448,0.743089,0.85297,0.307458,-0.130391,-0.0622,-0.100727,-0.232818,-0.234465,-0.214756,-0.230413,-0.227551,-0.231002,-0.463479,-0.724215,-0.787885,-0.986687,-1.22467,-1.28814,-1.36415,-1.42822,-1.50177,-1.64808,-1.70584,-1.68679,-1.70572,-1.77768,-1.86931,-1.85838,-1.73772,-1.72915,-1.72811,-1.54604,-1.4591,-1.41075,-1.16343,-0.907419,-0.716211,-0.581763,-0.442526,-0.207046,-0.0264627,0.117036,0.220637,0.264315,0.405055,0.464974,0.434163,0.486807,0.439388,0.369611,0.413149,0.397895,0.318764,0.263717,0.288863,0.358244,0.326737,0.229215,0.204418,0.244386,0.262632,0.243885,0.227502,0.245785,0.232959,0.164611,0.171538,0.16669,0.0991414,0.146937,0.133414,0.125294,0.202713,0.186409,0.419006,0.723888,1.32395,2.13649,1.7466,1.47022,1.89351,1.25695,0.800407,0.73154,-1
0.648658,0.752026,2.63623,3.45572,2.11816,0.52062,-0.188627,0.780818,0.933775,0.701402,1.00613,0.395784,-0.369703,-0.738202,-0.729084,-0.90694,-0.870962,-1.06022,-1.19796,-0.981602,-1.2725,-1.28738,-1.2767,-1.5397,-1.34661,-1.53522,-1.76342,-1.68882,-1.80937,-1.86389,-1.99445,-1.88981,-1.92571,-1.83363,-1.66183,-1.34251,-1.01132,-0.672717,-0.216157,0.0528716,0.56209,0.70088,0.946927,1.005,1.02754,1.19166,0.968855,0.844618,0.779492,0.743938,0.673353,0.505276,0.662547,0.607703,0.546105,0.687163,0.543004,0.453148,0.485785,0.440679,0.539153,0.369571,0.377316,0.470113,0.321448,0.325513,0.251259,0.270571,0.277161,0.155171,0.120954,0.326395,0.473952,0.594736,0.698199,0.826781,0.575166,0.401196,0.349966,0.148053,-0.0332063,-0.114266,0.120345,-0.220102,-0.151226,-0.0774447,-0.0978688,-0.136787,-0.340237,-0.0894414,-0.0802973,-0.192584,-0.304704,-0.454556,0.31459,0.58219,1
0.404733,1.28086,2.51515,1.29952,1.45343,0.474275,-1.39656,-0.647081,0.431945,0.132445,-0.406609,0.230566,-0.121353,-0.91864,-1.24677,-1.34837,-1.19028,-1.01127,-2.00392,-1.32704,-0.976034,-1.86362,-1.48769,-1.61614,-1.95756,-1.70066,-1.51848,-1.89758,-2.17717,-1.87279,-1.77529,-1.66816,-1.93334,-1.48961,-1.15073,-1.07816,-0.773723,-0.520221,-0.205253,-0.0266082,0.299054,0.19432,0.701793,0.671891,0.853787,0.676852,0.898916,0.772258,0.649863,0.638816,0.67025,1.03744,0.433053,0.657159,0.529013,0.56207,1.02835,-0.0196865,1.17776,0.847904,0.169432,0.673434,0.635265,0.74822,0.640167,0.591316,0.431681,0.7175,0.595416,0.458488,0.483566,0.655713,0.490794,1.06687,0.929149,0.939026,1.31218,0.580604,0.570959,0.522775,0.446323,0.620682,0.0497134,0.269856,0.418918,-0.0643457,0.376469,0.277811,0.225676,0.159091,0.408354,0.540015,-0.0277912,0.203476,0.346964,0.339185,1
1.20501,2.03186,2.44729,2.73945,2.74589,2.27636,1.52537,0.760597,0.188448,-0.0290515,-0.0495237,-0.209964,-0.37415,-0.248638,-0.0950167,-0.0994792,-0.121416,-0.358549,-0.739135,-0.787652,-0.708941,-0.759756,-0.741058,-0.881707,-1.01891,-0.581383,-0.358993,-0.924218,-1.09481,-0.661364,-0.785124,-1.28816,-1.3345,-1.26779,-1.50214,-1.63997,-1.53396,-1.56686,-1.73099,-1.71967,-1.66849,-1.73551,-1.64729,-1.38756,-1.30961,-1.31965,-1.10039,-0.900458,-0.934342,-0.765193,-0.317504,-0.12712,-0.123939,0.0944179,0.288426,0.261347,0.289732,0.407278,0.436637,0.449308,0.570867,0.711178,0.672708,0.501022,0.504743,0.644095,0.569342,0.406378,0.450226,0.517524,0.502765,0.571933,0.634693,0.649309,0.703081,0.587693,0.355199,0.390963,0.558826,0.611008,0.692575,0.794446,0.896887,1.05148,0.939116,0.555741,0.447311,0.564641,0.4876,0.421003,0.549766,0.505463,0.281844,0.346831,0.526375,0.22789,-1
0.598241,1.09873,1.68353,2.47891,2.80241,2.4387,1.71766,1.00931,0.257351,-0.221559,-0.135582,-0.191269,-0.306972,-0.167641,-0.0980051,-0.0562596,-0.3234,-0.630181,-0.569719,-0.709407,-0.750323,-0.673327,-0.980101,-1.20711,-1.18138,-1.0264,-1.29949,-1.92888,-1.90764,-1.86883,-1.99061,-2.01164,-2.40265,-2.14403,-1.66181,-1.93936,-1.87227,-1.55469,-1.30119,-1.01645,-0.979277,-0.706255,-0.303372,-0.0126463,0.169673,0.0913297,0.25028,0.387265,0.257929,0.429292,0.517512,0.404675,0.511982,0.577329,0.521893,0.552562,0.602139,0.548175,0.413852,0.374041,0.518664,0.551018,0.414777,0.480801,0.595435,0.568737,0.721969,0.843128,0.616826,0.608018,0.7763,0.616821,0.59952,0.688926,0.530727,0.544621,0.65982,0.564855,0.472634,0.454204,0.406493,0.315726,0.155475,0.150124,0.354392,0.378693,0.39463,0.525782,0.279348,-0.0696578,0.027544,0.153025,0.0422319,0.134269,0.29615,0.0629318,-1
0.328008,1.21022,2.59765,2.21078,1.62167,-0.239321,-1.59871,-0.602136,-0.0866034,0.0265814,-0.303049,-0.37246,-0.27913,-0.949471,-0.964086,-0.954861,-1.2033,-1.34014,-1.37151,-1.17388,-1.41896,-1.55924,-1.30844,-1.81237,-1.69913,-1.50419,-2.00163,-1.85744,-1.95432,-1.71671,-2.16755,-1.67488,-1.81456,-1.50736,-0.999704,-1.04991,-0.514848,-0.298347,0.128876,0.379431,0.474602,0.606465,1.03553,0.907604,1.04288,0.919865,1.14083,0.850174,0.786888,1.01581,0.780875,0.801012,0.656214,0.696182,0.6779,0.901509,0.654916,0.814485,0.859142,0.683447,0.640212,0.791779,0.56014,0.633912,0.772007,0.41967,0.6348,0.535775,0.321296,0.482557,0.576306,0.289965,0.689769,0.855599,0.756531,0.860129,0.723878,0.445886,0.520915,0.597103,0.00415821,0.188739,0.358393,-0.169484,0.31336,0.125991,-0.0461152,0.0998015,-0.0528885,0.119056,0.061989,-0.0601222,-0.0309529,0.00111116,0.227718,0.23971,1
1.66821,2.84817,2.51698,2.17277,0.720467,0.725376,1.6386,1.2929,1.60957,1.39503,0.14928,-0.333226,-0.452782,-0.78509,-0.828533,-0.826571,-0.973497,-1.17011,-1.15055,-1.25753,-1.42035,-1.48459,-1.46578,-1.37794,-1.60425,-1.77564,-1.76153,-2.08092,-2.22711,-1.9579,-2.10895,-1.89408,-1.80032,-1.46423,-1.04806,-0.895175,-0.490699,-0.0173168,0.203454,0.278831,0.675024,0.655109,0.680488,0.719077,0.72019,0.656023,0.536043,0.668365,0.686193,0.559046,0.56085,0.659646,0.709409,0.615476,0.631255,0.567415,0.400708,0.457042,0.508303,0.411797,0.400527,0.36189,0.267917,0.321749,0.262688,0.225818,0.256686,0.146507,0.123445,0.105692,0.196015,0.0643464,0.0805978,0.333267,0.292943,0.382613,0.681508,0.6151,0.326993,0.165494,0.0962255,0.0183813,-0.036049,-0.0226878,-0.00613128,-0.0143226,-0.154365,-0.0178053,-0.00750626,0.00536246,-0.0265974,-0.0481921,-0.032347,-0.214054,0.0560309,0.147889,1
0.48223,0.986832,1.44377,2.18643,2.51754,1.87865,1.09269,0.352575,-0.293884,-0.115388,0.320088,0.20484,0.09906,0.229456,0.248233,0.18642,-0.18923,-0.5396,-0.457367,-0.559855,-0.680345,-0.531208,-0.557074,-0.708288,-0.792524,-0.808925,-0.892531,-1.18353,-1.3929,-1.42383,-1.65334,-1.85635,-1.87042,-2.26144,-2.45361,-2.20741,-2.25779,-2.17943,-1.96329,-1.8399,-1.52359,-1.35616,-1.01868,-0.473682,-0.344655,-0.173756,0.204822,0.299043,0.319699,0.589139,0.781993,0.653913,0.648016,0.816553,0.782818,0.770508,0.825533,0.678382,0.537924,0.535947,0.564895,0.554147,0.483415,0.437876,0.404304,0.395755,0.48235,0.517715,0.475986,0.538581,0.630275,0.618145,0.664343,0.864714,1.10879,1.23903,1.08997,0.842227,0.933019,0.893724,0.409134,0.299692,0.358683,0.169552,0.285761,0.321952,0.0331729,0.0068894,-0.0573858,-0.306332,-0.0674105,0.225194,0.0693869,0.058976,0.207199,0.133147,1
0.274827,0.481037,0.919264,1.53861,2.04662,2.24714,1.88133,1.22346,0.581009,-0.0138955,0.0752096,0.324722,-0.0998377,-0.169348,0.00273683,-0.0682187,-0.268853,-0.874514,-0.96354,-0.639269,-0.978178,-1.07228,-0.843348,-1.15844,-1.26101,-1.1862,-1.45521,-1.69296,-1.90151,-1.68184,-1.57098,-2.01638,-2.14185,-2.02696,-1.98968,-1.81548,-2.06736,-2.17498,-1.58971,-1.37257,-1.24776,-0.881251,-0.687248,-0.402124,-0.200596,-0.0715978,0.0316128,0.0803644,0.212874,0.335406,0.477434,0.53827,0.489879,0.517945,0.532206,0.484143,0.489559,0.51086,0.42389,0.495461,0.704774,0.560845,0.43955,0.581828,0.613668,0.637577,0.666343,0.634299,0.650316,0.707494,0.761928,0.755242,0.784698,0.919124,0.960937,0.914546,0.997065,1.02137,0.830716,0.754228,0.739926,0.53292,0.442391,0.506583,0.447827,0.428281,0.437378,0.342219,0.380302,0.368253,0.25368,0.292884,0.298164,0.31718,0.423035,0.261517,1
