f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,class
-0.112522,-2.8272,-3.7739,-4.34975,-4.37604,-3.47499,-2.18141,-1.81829,-1.25052,-0.477492,-0.363808,-0.491957,-0.421855,-0.309201,-0.495939,-0.342119,-0.355336,-0.367913,-0.316503,-0.412374,-0.471672,-0.413458,-0.364617,-0.449298,-0.471419,-0.424777,-0.462517,-0.552472,-0.475375,-0.6942,-0.701868,-0.593812,-0.660684,-0.713831,-0.769807,-0.672282,-0.653676,-0.639406,-0.559302,-0.59167,-0.493223,-0.463052,-0.301644,-0.232734,-0.125055,-0.153943,-0.0243574,-0.0656088,0.0349993,0.0619352,0.0711954,0.123925,0.103124,0.225228,0.128683,0.302483,0.257276,0.196352,0.179383,0.244729,0.341217,0.328204,0.406042,0.446605,0.424068,0.481512,0.477844,0.624083,0.574585,0.598013,0.564592,0.607979,0.620635,0.656253,0.684748,0.694273,0.665584,0.575796,0.638135,0.614917,0.569083,0.468576,0.442818,0.468274,0.432493,0.407958,0.418623,0.362531,0.410959,0.471666,0.372167,0.337875,0.221405,0.273997,0.298664,0.263564,0.342564,0.419505,0.586607,0.860624,1.17334,1.25818,1.43379,1.70053,1.99904,2.12534,1.99329,1.93225,1.79744,1.52228,1.25117,0.99873,0.483722,0.0231323,-0.194914,-0.220917,-0.243737,-0.254695,-0.291136,-0.25649,-0.227874,-0.322423,-0.289286,-0.31817,-0.363654,-0.393456,-0.266419,-0.256823,-0.288694,-0.162338,0.160348,0.792168,0.933541,0.796958,0.578621,0.25774,0.228077,0.123431,0.925286,0.193137,1
-1.10088,-3.99684,-4.28584,-4.50658,-4.02238,-3.23437,-1.56613,-0.992258,-0.75468,0.0423212,0.148951,0.183527,0.294876,0.190233,0.235575,0.253487,0.221742,0.0502333,0.178042,0.139563,0.0467944,0.0430071,0.106544,0.012654,0.00399485,0.0457242,-0.0459994,-0.072667,-0.0710779,-0.153866,-0.227254,-0.24927,-0.253489,-0.332835,-0.26433,-0.345825,-0.310781,-0.33416,-0.306178,-0.174563,-0.20616,-0.22448,-0.0486839,-0.0196212,0.0948052,0.116786,0.185186,0.230526,0.138027,0.244426,0.271695,0.259003,0.269202,0.127065,0.202073,0.255983,0.153115,0.210216,0.191082,0.190927,0.21051,0.207108,0.204888,0.200865,0.34692,0.348002,0.254537,0.331975,0.35669,0.34993,0.43038,0.467502,0.486063,0.403188,0.478956,0.397392,0.46412,0.451795,0.361361,0.379831,0.342785,0.399107,0.387508,0.255703,0.284034,0.284993,0.250108,0.173036,0.149423,0.141685,0.222261,0.172847,0.150779,0.176566,0.280942,0.489939,0.660889,0.893193,1.027,1.20239,1.55741,1.80843,2.16435,2.07075,1.90361,1.76446,1.50777,1.29343,0.894562,0.578016,0.244343,-0.286443,-0.515881,-0.732707,-0.832465,-0.803318,-0.836252,-0.777865,-0.774753,-0.733404,-0.721386,-0.832095,-0.711982,-0.751867,-0.75772,-0.85312,-0.766988,-0.688161,-0.519924,0.0394062,0.560327,0.538356,0.656881,0.78749,0.724046,0.555784,0.476333,0.77382,1.11962,-1.43625,1
-0.567088,-2.59345,-3.87423,-4.5841,-4.18745,-3.15146,-1.74294,-1.49066,-1.18358,-0.394229,-0.282897,-0.356926,-0.287297,-0.399489,-0.473244,-0.379048,-0.399039,-0.178594,-0.339522,-0.498447,-0.337251,-0.42548,-0.423952,-0.46317,-0.493253,-0.549749,-0.529831,-0.530935,-0.502365,-0.417368,-0.526346,-0.471005,-0.676784,-0.898612,-0.610571,-0.530164,-0.765674,-0.581937,-0.537848,-0.556386,-0.438023,-0.436248,-0.400114,-0.134987,-0.239347,-0.120244,-0.0019714,0.285,0.315646,0.107364,0.109521,0.158078,0.291898,0.261295,0.188407,0.140651,0.263365,0.287207,0.314317,0.177942,0.13829,0.321069,0.458168,0.251916,0.261353,0.277488,0.298793,0.459075,0.419147,0.520509,0.537761,0.603211,0.475634,0.521693,0.735248,0.729541,0.718523,0.498433,0.545441,0.604827,0.521296,0.394381,0.40502,0.597563,0.53113,0.377651,0.467701,0.457569,0.341116,0.407913,0.459127,0.403937,0.298191,0.461101,0.664659,0.587757,0.701325,0.917205,1.24799,1.50557,1.64011,1.81099,2.1854,2.26298,2.05292,1.89049,1.79303,1.56478,1.23462,0.900302,0.551957,0.258222,-0.128587,-0.0925853,-0.168606,-0.495989,-0.395034,-0.328238,-0.448138,-0.26823,-0.456415,-0.357867,-0.317508,-0.434112,-0.549203,-0.324615,-0.268082,-0.220384,-0.117429,0.614059,1.28483,0.886073,0.531452,0.311377,-0.021919,-0.713683,-0.532197,0.321097,0.904227,-0.421797,1
0.490473,-1.91441,-3.61636,-4.31882,-4.26802,-3.88111,-2.99328,-1.67113,-1.33388,-0.965629,-0.183319,-0.101657,-0.273874,-0.127818,-0.195983,-0.213523,-0.176473,-0.156932,-0.149172,-0.18151,-0.180074,-0.246151,-0.27426,-0.14096,-0.277449,-0.382549,-0.311937,-0.360093,-0.405968,-0.571433,-0.524106,-0.537886,-0.606778,-0.661446,-0.683375,-0.746683,-0.635662,-0.625231,-0.540094,-0.674995,-0.653949,-0.566916,-0.524045,-0.414711,-0.387787,-0.284437,-0.0727446,-0.160125,-0.0921595,0.0671649,0.0814721,0.0561817,0.0246922,0.0743951,0.152888,0.0910332,0.11016,0.117278,0.113832,0.141808,0.271492,0.249743,0.197608,0.243939,0.386538,0.30002,0.309801,0.34467,0.38971,0.44285,0.43343,0.54871,0.525037,0.521975,0.623954,0.549159,0.669189,0.629928,0.539573,0.599283,0.497853,0.638093,0.611737,0.491908,0.573949,0.516245,0.57263,0.484591,0.374382,0.461773,0.414661,0.371639,0.44517,0.48417,0.556061,0.658724,0.861158,1.0164,1.13561,1.21697,1.55308,1.77216,2.00077,1.925,1.89843,1.72095,1.50171,1.42249,1.02323,0.776341,0.504426,0.0563819,-0.233161,-0.406388,-0.327528,-0.460868,-0.402536,-0.345752,-0.354207,-0.439959,-0.425326,-0.439789,-0.451835,-0.395926,-0.448762,-0.391789,-0.376307,-0.461069,-0.253524,0.213006,0.491173,0.350816,0.499111,0.600345,0.842069,0.952074,0.990133,1.0868,1.40301,-0.383564,1
0.800232,-0.874252,-2.38476,-3.97329,-4.33822,-3.80242,-2.53451,-1.78342,-1.59445,-0.753199,-0.298107,-0.428928,-0.491351,-0.361304,-0.339296,-0.324952,-0.290113,-0.363051,-0.525684,-0.597423,-0.575523,-0.567503,-0.504555,-0.618406,-0.682814,-0.743849,-0.815588,-0.826902,-0.782374,-0.929462,-0.999672,-1.06097,-1.00788,-1.02873,-1.12263,-1.02865,-1.04651,-1.06337,-1.12242,-0.983242,-0.855865,-0.791266,-0.588754,-0.518306,-0.397298,-0.354333,-0.207425,-0.088266,-0.168734,-0.0675921,-0.0327723,0.0718995,0.0814852,0.0672253,0.13272,0.0702409,0.100432,0.150418,0.109887,0.14886,0.208748,0.228236,0.273664,0.299524,0.327062,0.242314,0.386105,0.419087,0.439718,0.488954,0.541715,0.573869,0.633555,0.411671,0.440917,0.588705,0.530865,0.558964,0.606874,0.614729,0.537772,0.599294,0.640463,0.568399,0.54471,0.557959,0.537762,0.472292,0.466596,0.634417,0.425175,0.420777,0.440523,0.361028,0.359299,0.321366,0.421326,0.505122,0.677489,0.908693,0.98223,1.15536,1.33625,1.62753,1.71759,1.69649,1.74169,1.67408,1.54693,1.33174,1.11017,0.92221,0.521777,0.154852,-0.123861,-0.202998,-0.247956,-0.219122,-0.214695,-0.319215,-0.198597,-0.151618,-0.129593,-0.0749389,-0.196807,-0.174795,-0.208833,-0.210754,-0.100485,0.197446,0.966606,1.14888,0.958434,1.05903,1.37168,1.27739,0.960304,0.97102,1.61439,1.42146,1
-1.50767,-3.57455,-4.47801,-4.40828,-3.32124,-2.10517,-1.48105,-1.30136,-0.49824,-0.286928,-0.390031,-0.263842,-0.318024,-0.185916,-0.26979,-0.322245,-0.309253,-0.391101,-0.303259,-0.319292,-0.407918,-0.421579,-0.48138,-0.447518,-0.52485,-0.469118,-0.582607,-0.679036,-0.652052,-0.846853,-0.766682,-0.735148,-0.788465,-0.851277,-0.83701,-0.843501,-0.827042,-0.878061,-0.755095,-0.809921,-0.679415,-0.583418,-0.45742,-0.377785,-0.360629,-0.231726,-0.236842,-0.0477106,-0.0526324,-0.0743549,-0.0944089,-0.0826842,0.00675431,-0.0829252,-0.061499,0.0216669,-0.0408226,0.0380883,0.0411128,-0.107166,0.0347013,0.0857038,0.121856,0.0888913,0.185678,0.229907,0.183204,0.286845,0.279562,0.418591,0.394609,0.42764,0.444844,0.468299,0.515425,0.636295,0.633252,0.64466,0.627545,0.530041,0.492823,0.479208,0.41336,0.475624,0.436494,0.406842,0.4433,0.317684,0.361321,0.361001,0.241426,0.318115,0.325151,0.478305,0.47608,0.532063,0.795485,0.945169,1.10494,1.29065,1.48922,1.7553,1.96092,2.04244,1.90283,1.90287,1.75807,1.42578,1.21022,0.928397,0.641264,0.175525,-0.10691,-0.132043,-0.165836,-0.0985705,-0.266022,-0.237294,-0.137688,-0.100675,-0.107499,-0.210362,-0.130104,-0.107631,-0.161146,-0.101316,-0.0952555,-0.0691722,0.154878,0.695656,1.21493,1.08907,0.983369,1.01412,0.952629,0.749326,1.00708,1.63499,1.49337,-0.783134,1
-0.297161,-2.76663,-4.10218,-4.58967,-4.21936,-3.65044,-2.30052,-1.29392,-1.06566,-0.49052,0.0507514,-0.0766474,-0.0946469,-0.15818,-0.0686917,-0.140832,-0.0691769,-0.134276,-0.0591989,-0.131379,-0.181208,-0.215965,-0.217554,-0.25406,-0.331247,-0.304923,-0.273794,-0.347935,-0.387429,-0.404003,-0.425048,-0.5077,-0.582168,-0.532917,-0.637873,-0.655938,-0.549653,-0.686732,-0.583037,-0.636512,-0.620849,-0.468289,-0.423524,-0.324705,-0.263587,-0.127558,0.0111747,0.0243809,0.0847728,0.0599356,0.164471,0.162214,0.125991,0.143627,0.0782589,0.178519,0.126597,0.175044,0.169457,0.299697,0.242495,0.297169,0.238402,0.249156,0.22552,0.267184,0.236626,0.257426,0.416508,0.426576,0.459036,0.416595,0.409127,0.396777,0.557269,0.535007,0.590076,0.585844,0.568131,0.554986,0.457562,0.462704,0.49947,0.45014,0.37201,0.428521,0.304604,0.244125,0.294067,0.206718,0.372457,0.394604,0.394449,0.404254,0.459898,0.677242,0.811424,0.889528,1.13039,1.28521,1.65237,1.83934,1.9485,1.94069,1.8161,1.72732,1.55123,1.21192,1.13342,0.745919,0.360933,-0.128518,-0.394218,-0.436601,-0.506477,-0.455147,-0.457866,-0.545299,-0.506097,-0.376529,-0.457805,-0.49546,-0.458693,-0.332812,-0.410334,-0.406518,-0.337232,-0.386479,-0.0825801,0.220316,0.594978,0.581779,0.684406,0.911651,0.979483,1.05346,0.974787,1.11041,1.28817,-0.823386,1
0.446769,-1.5074,-3.18747,-4.50746,-4.6042,-3.63612,-2.3116,-1.59773,-1.36245,-0.669216,-0.173393,-0.205116,-0.230787,-0.177121,-0.23851,-0.205079,-0.230544,-0.209159,-0.29294,-0.255069,-0.25399,-0.35198,-0.427739,-0.465948,-0.460286,-0.475062,-0.449746,-0.56228,-0.532781,-0.635797,-0.636588,-0.749548,-0.806785,-0.696292,-0.855282,-0.896255,-0.905672,-0.908456,-0.830084,-0.838837,-0.692125,-0.645769,-0.488872,-0.406459,-0.356379,-0.226578,-0.205745,-0.0718025,-0.0663723,0.00750198,0.0306317,0.0209699,0.0339682,0.16489,0.0830239,0.045059,-0.00476668,0.123816,0.108044,0.0739355,0.112569,0.0556729,0.123751,0.220325,0.234111,0.322792,0.215138,0.338967,0.334785,0.328084,0.512283,0.498768,0.602774,0.653275,0.680932,0.728414,0.680483,0.640504,0.620502,0.658008,0.713632,0.621672,0.488162,0.455283,0.424584,0.50447,0.428133,0.450838,0.44836,0.389913,0.391585,0.34957,0.414673,0.472314,0.564531,0.735093,0.799751,1.12599,1.16413,1.28185,1.55273,1.69164,1.88281,1.76031,1.82587,1.61933,1.3949,1.13279,0.928352,0.598844,0.229243,-0.144708,-0.270069,-0.323193,-0.349598,-0.298163,-0.251843,-0.291941,-0.413346,-0.307455,-0.330825,-0.432389,-0.289935,-0.324933,-0.309288,-0.252567,-0.282586,-0.169345,0.258729,0.896627,1.0882,1.00131,1.29206,1.37867,1.01476,0.820793,1.03439,1.25843,0.961215,-0.999476,1
0.0876306,-1.75349,-3.30447,-4.70466,-4.68642,-3.61182,-2.26727,-1.57089,-1.41779,-0.500788,-0.225177,-0.308834,-0.214733,-0.214509,-0.223121,-0.262336,-0.211816,-0.299099,-0.259956,-0.31611,-0.258668,-0.287147,-0.366855,-0.30598,-0.416708,-0.402303,-0.381554,-0.519897,-0.520952,-0.596919,-0.6507,-0.679636,-0.751527,-0.725224,-0.830701,-0.807317,-0.848388,-0.744554,-0.699973,-0.754353,-0.621918,-0.533942,-0.396596,-0.22089,-0.179316,-0.00948034,-0.024018,0.0414597,0.0944925,0.0832121,0.0990313,0.0459143,0.109519,0.168162,0.263469,0.136101,0.158838,0.0898031,0.146604,0.196769,0.268983,0.237263,0.186356,0.241417,0.278426,0.383156,0.389577,0.393549,0.577386,0.587749,0.581883,0.544917,0.657885,0.601777,0.642734,0.699062,0.68011,0.69864,0.716175,0.668626,0.671827,0.575045,0.529212,0.543338,0.603281,0.554714,0.56362,0.489034,0.44695,0.456432,0.393252,0.441439,0.447389,0.274055,0.364609,0.401219,0.44789,0.547809,0.64209,0.788328,0.749801,0.820852,0.96416,1.06188,1.34086,1.13781,0.864013,0.68398,0.628424,0.501134,0.491292,0.461937,0.329812,0.120415,-0.141968,-0.195177,-0.102652,-0.0763084,-0.116511,-0.191686,-0.234292,-0.161127,-0.145363,-0.212182,-0.135684,-0.13344,-0.170077,-0.0359136,0.332243,1.06325,1.57575,1.70905,2.14293,2.39353,1.92555,1.02762,0.573453,0.192971,-0.648683,-2.44107,1
-0.832281,-1.70037,-2.2573,-2.85367,-2.8533,-2.70149,-2.28573,-1.55551,-1.26662,-1.08596,-0.694641,-0.588517,-0.662469,-0.768004,-0.772551,-0.621054,-0.614187,-0.630124,-0.669577,-0.684154,-0.692942,-0.611302,-0.647007,-0.621362,-0.641071,-0.65907,-0.620977,-0.674921,-0.664164,-0.736943,-0.769237,-0.699657,-0.800302,-0.727423,-0.750435,-0.789065,-0.732957,-0.765487,-0.697089,-0.767281,-0.716417,-0.645843,-0.573178,-0.560256,-0.616434,-0.614316,-0.551939,-0.40994,-0.46597,-0.428364,-0.422839,-0.371389,-0.394724,-0.422018,-0.354855,-0.408413,-0.425342,-0.387021,-0.409996,-0.427261,-0.386903,-0.372272,-0.388014,-0.320932,-0.361698,-0.304216,-0.220826,-0.265227,-0.253163,-0.176786,-0.180337,-0.135434,-0.102187,-0.0697722,-0.0120259,0.0193928,0.00235022,0.0256845,0.1062,0.0606283,0.141005,0.0986272,0.10026,0.124969,0.131513,0.15842,0.101961,0.169026,0.198306,0.165139,0.197859,0.119464,0.244109,0.360003,0.465326,0.50421,0.556118,0.687189,0.822998,0.923512,1.07694,1.15865,1.15589,1.13769,1.02176,0.918581,0.831133,0.680506,0.540296,0.463925,0.135769,0.0408059,0.0555511,0.0189176,0.148973,0.395338,0.779733,0.941393,1.00077,0.98593,0.973722,1.03448,1.06226,1.06098,1.1162,1.22435,1.42124,1.64465,2.00718,2.1186,2.0283,2.1105,2.20367,2.22754,2.17173,2.04594,2.12637,2.12685,1.6793,0.965814,1
