f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,class
0.00991339,0.0334289,-0.0057636,-0.0292791,-0.0527946,0.00991339,-0.0214406,-0.0292791,-0.0606331,-0.0919871,-0.0136021,-0.0606331,-0.0136021,-0.0763101,-0.0606331,-0.123341,-0.0841486,-0.0684716,-0.0371176,-0.0763101,-0.0606331,-0.123341,-0.0606331,-0.0919871,-0.0684716,-0.107664,-0.0998256,-0.146857,-0.0292791,0.00991339,0.0961369,0.127491,0.166683,0.292099,0.417515,0.119652,-0.0841486,-0.0763101,-0.217403,-0.193888,-0.272273,-0.240919,-0.311465,-0.303627,-0.240919,-0.209565,-0.154695,-0.217403,-0.0919871,0.660509,2.83177,5.02655,0.919179,-4.93618,-6.11979,-4.33261,-2.42002,-1.0718,-0.444719,-0.33498,-0.146857,-0.123341,-0.0527946,0.0020749,-0.0057636,-0.0449561,0.0255904,0.127491,0.0647829,0.119652,0.158845,0.252907,0.33913,0.354807,0.425354,0.676186,0.762409,0.879987,1.13082,1.09163,1.26407,1.15433,1.1465,0.989726,0.762409,0.55077,0.362646,0.229391,0.119652,0.0804599,0.0255904,0.0334289,0.0491059,0.00991339,0.0647829,0.0961369,0.0961369,0.119652,0.143168,0.190199,0.119652,0.0726214,0.198037,0.0961369,0.103975,0.0412674,-0.0136021,0.00991339,0.0804599,-0.0136021,-0.0214406,0.00991339,-0.0763101,-0.146857,-0.0606331,0.0334289,-0.0606331,-0.0057636,-0.0606331,0.0020749,-0.0684716,0.00991339,-0.0292791,-0.0292791,-0.0527946,-0.0371176,-0.0919871,0.0020749,-0.0449561,-0.0606331,-0.0684716,0.0020749,-0.0292791,-0.115503,0.0020749,0.0255904,1
0.073039,0.0322451,0.0404039,0.0485627,0.0322451,0.052642,0.0404039,0.0159276,0.0159276,0.00368944,-0.000389941,-0.00854871,-0.0167075,-0.0126281,-0.00854871,-0.0493425,-0.0207869,-0.0452632,-0.0534219,-0.0575013,-0.0615807,-0.086057,-0.0901364,-0.0575013,-0.0738188,-0.0901364,-0.0738188,-0.106454,-0.0819776,-0.0778982,-0.0982951,-0.0982951,-0.0656601,-0.0167075,0.0485627,0.0567214,0.0811977,0.158706,-0.0982951,-0.151327,-0.188042,-0.212518,-0.188042,-0.26555,-0.26555,-0.241074,-0.269629,-0.26555,-0.249232,-0.273709,-0.249232,-0.188042,0.073039,1.59057,1.10104,-1.53832,-4.53666,-5.27095,-3.4801,-1.86875,-0.808108,-0.371614,-0.228835,-0.118692,-0.0738188,-0.0126281,0.00368944,0.0485627,0.0404039,0.121992,0.187262,0.228056,0.285167,0.346358,0.419787,0.538089,0.652311,0.815487,1.03577,1.29685,1.60689,1.9414,2.28814,2.61042,2.87558,2.96532,2.84702,2.45132,1.89652,1.25606,0.689026,0.346358,0.109753,-0.033025,-0.114613,-0.139089,-0.163565,-0.159486,-0.147248,-0.13093,-0.114613,-0.086057,-0.106454,-0.106454,-0.0901364,-0.0738188,-0.0982951,-0.147248,-0.139089,-0.163565,-0.216597,-0.183962,-0.232915,-0.241074,-0.277788,-0.269629,-0.290026,-0.281867,-0.306344,-0.33082,-0.314502,-0.338979,-0.355296,-0.355296,-0.363455,-0.355296,-0.371614,-0.371614,-0.420566,-0.363455,-0.387931,-0.387931,-0.404249,-0.387931,-0.375693,-0.404249,1
1.90879,0.368965,0.340811,0.322041,0.350195,0.350195,0.37835,0.331426,0.37835,0.275118,0.350195,0.293887,0.387734,0.312657,0.350195,0.312657,0.303272,0.246964,0.237579,0.20004,0.209425,0.265733,0.237579,0.256349,0.181271,0.181271,0.228194,0.190656,0.181271,0.171886,0.171886,0.134348,0.162502,0.115578,0.05927,0.05927,0.350195,0.312657,0.415888,0.0311159,-0.128424,-0.165963,-0.203501,-0.297348,-0.184732,-0.0158075,0.0123465,-0.0908851,-0.0439616,-0.0251922,0.0217312,-0.0251922,0.0123465,0.00296184,0.0217312,0.697429,0.472196,-3.40368,-6.16278,-5.9657,-4.2483,-2.56844,-1.5549,-0.747814,-0.184732,-0.0533463,0.0874241,0.0874241,0.0874241,0.124963,0.181271,0.0498853,0.134348,0.124963,0.143732,0.284503,0.387734,0.415888,0.481581,0.67866,0.856969,1.04466,1.21359,1.36374,1.46697,1.45759,1.37313,0.969585,0.650506,0.284503,0.20004,0.0311159,-0.0533463,0.00296184,0.05927,-0.0721157,-0.062731,-0.0815004,-0.10027,-0.137809,-0.0439616,-0.0345769,0.124963,0.0686547,0.0686547,0.0217312,0.115578,0.0311159,0.0498853,-0.0721157,-0.0345769,-0.10027,-0.00642285,-0.0345769,0.0498853,-0.128424,0.0217312,-0.147193,-0.0345769,-0.0345769,0.0405006,-0.0439616,-0.0908851,-0.062731,-0.0251922,-0.10027,-0.062731,-0.0815004,0.0217312,0.153117,0.143732,0.331426,0.00296184,-0.297348,-0.278579,-0.353656,2
-0.480461,-0.470177,-0.377624,-0.429042,-0.429042,-0.44961,-0.377624,-0.315922,-0.44961,-0.315922,-0.408475,-0.336489,-0.336489,-0.264503,-0.28507,-0.28507,-0.274787,-0.264503,-0.213085,-0.213085,-0.182233,-0.130815,-0.130815,-0.0382614,-0.0793963,-0.0793963,-0.0999637,0.0131571,-0.00741032,0.0337245,0.0440082,0.0542919,0.136562,0.280534,0.280534,0.311385,0.136562,0.0234408,-0.017694,-0.08968,-0.017694,0.198264,0.157129,0.146845,0.208548,0.218831,0.239399,0.239399,0.280534,0.331952,0.887272,1.40146,-2.61947,-5.46806,-5.93083,-3.93579,-2.40351,-1.29287,-0.459894,0.157129,0.321668,0.455357,0.496491,0.517059,0.54791,0.558194,0.54791,0.681598,0.619896,0.609612,0.712449,0.7433,0.805003,0.90784,1.07238,1.26777,1.45288,1.64827,1.87451,1.96706,1.94649,1.79224,1.46316,1.0621,0.702166,0.455357,0.311385,0.27025,0.218831,0.18798,0.177696,0.146845,0.136562,0.0645756,0.229115,0.198264,0.208548,0.136562,0.157129,0.167413,0.136562,0.10571,0.136562,0.126278,0.10571,0.0542919,0.0748594,0.0440082,0.0542919,0.0234408,0.00287339,0.00287339,0.00287339,-0.0382614,-0.0485452,-0.0793963,-0.0588289,-0.08968,-0.0999637,-0.120531,-0.120531,-0.141099,-0.110247,-0.110247,0.0440082,0.126278,-0.110247,-0.233652,-0.336489,-0.408475,-0.583298,-0.511312,-0.387908,-0.36734,-0.377624,-0.36734,2
0.335308,0.298158,0.298158,0.28887,0.307445,0.223857,0.242432,0.261008,0.158844,0.261008,0.25172,0.21457,0.233145,0.158844,0.21457,0.205282,0.205282,0.223857,0.17742,0.205282,0.21457,0.158844,0.205282,0.140269,0.158844,0.121694,0.084544,0.103119,0.130982,0.084544,0.0473938,0.0659689,0.195995,0.316733,0.32602,0.279583,-0.101207,-0.268383,-0.268383,-0.231233,-0.156932,-0.0361941,-0.0733444,-0.101207,-0.101207,-0.017619,-0.017619,-0.0454817,-0.0269066,0.000956071,-0.00833148,0.307445,1.27335,-1.92157,-5.37654,-6.05453,-4.14129,-2.55312,-1.46648,-0.69561,-0.156932,0.0288187,0.140269,0.140269,0.17742,0.168132,0.223857,0.21457,0.21457,0.25172,0.32602,0.261008,0.409608,0.381746,0.548922,0.521059,0.660372,0.74396,0.938999,1.1619,1.32908,1.64485,1.86775,2.08137,2.24854,2.15567,1.9049,1.42195,0.892561,0.493196,0.205282,0.0566814,-0.017619,-0.101207,-0.0640568,-0.101207,-0.20337,-0.101207,-0.0269066,-0.0919195,-0.101207,-0.0547692,-0.0733444,-0.0640568,-0.0640568,-0.119782,-0.0826319,-0.194083,-0.017619,-0.156932,-0.194083,-0.156932,-0.231233,-0.16622,-0.212658,-0.221945,-0.231233,-0.286958,-0.175507,-0.231233,-0.314821,-0.286958,-0.268383,-0.286958,-0.342683,-0.259095,-0.305533,-0.379834,-0.333396,-0.351971,-0.324108,-0.314821,-0.351971,-0.324108,-0.379834,-0.407696,1
0.246891,0.246891,0.272247,0.251962,0.20632,0.196178,0.241819,0.196178,0.186035,0.120108,0.109965,0.109965,0.140393,0.0896801,0.0491096,0.0947514,0.125179,0.0491096,0.0947514,0.0846088,0.0186818,0.0136105,0.054181,0.00346788,0.0440383,0.038967,0.0440383,0.0693949,0.125179,0.186035,0.241819,0.251962,0.312818,0.277318,0.130251,-0.00667474,-0.0624591,-0.163885,-0.128386,-0.158814,-0.199384,-0.199384,-0.163885,-0.158814,-0.174028,-0.1436,-0.163885,0.115037,1.61614,3.80695,1.96099,-3.01396,-6.39145,-5.40762,-3.41459,-1.79177,-0.767371,-0.422522,-0.250097,-0.163885,-0.0827443,-0.0827443,-0.0421739,0.00853919,0.038967,0.0338957,0.109965,0.140393,0.287461,0.373673,0.525813,0.733736,0.94166,1.1648,1.35244,1.47415,1.56543,1.5705,1.43865,1.14451,0.850376,0.59174,0.333103,0.216463,0.109965,0.0491096,-0.0168173,-0.02696,-0.0675304,-0.011746,-0.0218887,-0.02696,0.0186818,0.00853919,0.0288244,0.0338957,0.0237531,0.0592523,0.038967,0.0237531,0.00346788,-0.0371026,-0.011746,-0.0371026,-0.0675304,-0.0573878,-0.0472452,-0.113172,-0.108101,-0.108101,-0.138529,-0.108101,-0.128386,-0.128386,-0.133457,-0.128386,-0.108101,-0.158814,-0.133457,-0.179099,-0.179099,-0.0827443,0.00853919,0.0592523,0.0846088,0.120108,0.20632,-0.0421739,-0.174028,-0.174028,-0.305882,-0.270383,-0.331238,-0.331238,-0.321096,-0.326167,2
-0.532593,-0.482851,-0.499432,-0.482851,-0.45798,-0.474561,-0.433109,-0.45798,-0.424819,-0.4414,-0.4414,-0.424819,-0.424819,-0.424819,-0.424819,-0.44969,-0.408238,-0.433109,-0.408238,-0.491142,-0.482851,-0.391658,-0.408238,-0.424819,-0.408238,-0.399948,-0.375077,-0.424819,-0.350206,-0.408238,-0.375077,-0.391658,-0.408238,-0.225851,-0.109786,-0.084915,-0.20927,-0.424819,-0.590626,-0.648658,-0.68182,-0.590626,-0.399948,-0.416529,-0.358496,-0.358496,-0.350206,-0.308754,-0.292174,-0.283883,-0.242432,-0.283883,-0.142947,0.77728,-1.00514,-3.99796,-6.12857,-4.44563,-3.26012,-2.09947,-1.12121,-0.491142,-0.142947,-0.084915,-0.00201163,0.0228594,0.0974725,0.130634,0.114053,0.188666,0.130634,0.180376,0.28815,0.346183,0.420796,0.52028,0.603183,0.793861,0.967958,1.16693,1.34931,1.44051,1.63948,1.6229,1.34931,1.05915,0.785571,0.536861,0.379344,0.354473,0.337892,0.329602,0.263279,0.263279,0.296441,0.337892,0.379344,0.362763,0.453957,0.437376,0.437376,0.453957,0.462247,0.578312,0.570022,0.536861,0.545151,0.578312,0.561732,0.586603,0.636345,0.661216,0.686087,0.619764,0.611474,0.669506,0.603183,0.661216,0.578312,0.628054,0.669506,0.694377,0.710958,0.694377,0.644635,0.694377,0.76899,0.727538,0.843603,0.951378,0.992829,0.835313,0.752409,0.603183,0.578312,0.495409,2
0.162301,0.123085,0.151097,0.117483,0.173506,0.111881,0.13429,0.145495,0.100676,0.100676,0.100676,0.0670626,0.0782672,0.0334489,0.0782672,0.0782672,0.0278466,0.0446535,0.0614603,0.0166421,0.0110398,0.0614603,0.0222444,0.0110398,0.0334489,0.055858,0.0334489,0.00543751,-0.0113693,-0.0505853,-0.0393807,0.0166421,0.00543751,-0.0281762,0.095074,0.173506,0.162301,0.20712,0.307961,0.156699,-0.0225739,-0.0785967,-0.196245,-0.0673921,-0.25787,-0.252267,-0.224256,-0.201847,-0.252267,-0.190642,-0.213051,-0.151426,-0.151426,0.0166421,1.09788,3.12031,1.05306,-3.24949,-6.00021,-4.96939,-2.92456,-1.35031,-0.549188,-0.274677,-0.179438,-0.117813,-0.044983,-0.0169716,0.055858,0.0894717,0.0390512,0.0726649,0.0838694,0.201517,0.263142,0.313563,0.414404,0.504041,0.593677,0.795359,0.952223,1.25475,1.48444,1.79257,2.01105,2.25195,2.26316,2.15671,2.03346,1.57408,1.09228,0.683314,0.313563,0.117483,-0.0281762,-0.129017,-0.168233,-0.123415,-0.162631,-0.117813,-0.0617899,-0.106608,-0.0673921,-0.0673921,-0.0225739,-0.0225739,-0.0954036,-0.0505853,-0.106608,-0.123415,-0.129017,-0.168233,-0.18504,-0.168233,-0.218654,-0.218654,-0.224256,-0.25787,-0.285881,-0.30829,-0.30829,-0.341904,-0.369915,-0.347506,-0.38112,-0.38112,-0.403529,-0.353108,-0.386722,-0.420336,-0.442745,-0.448347,-0.425938,-0.425938,-0.43154,-0.409131,1
0.210713,0.231658,0.236894,0.252602,0.247366,0.263074,0.226422,0.215949,0.200241,0.179297,0.153117,0.168825,0.126936,0.137408,0.116464,0.126936,0.0955198,0.0955198,0.116464,0.0902837,0.0955198,0.0745755,0.0693395,0.0693395,0.0902837,0.0745755,0.0588673,0.0745755,0.0641034,0.137408,0.221186,0.263074,0.304963,0.346851,0.399212,0.195005,0.0536312,0.0483952,-0.0563263,-0.00396556,-0.108687,-0.0877427,-0.0877427,-0.0667984,-0.0877427,-0.0406181,-0.0301459,-0.0301459,-0.00920163,0.68196,2.69261,3.49897,-0.0772706,-4.95205,-6.47575,-4.45986,-2.68483,-1.16114,-0.496156,-0.286713,-0.181992,-0.108687,-0.0877427,-0.0510902,0.0169787,0.0693395,0.0955198,0.168825,0.200241,0.294491,0.373032,0.514406,0.666252,0.85475,1.06419,1.26316,1.42025,1.50402,1.51973,1.47784,1.28411,1.00136,0.697668,0.456809,0.26831,0.153117,0.0483952,0.00650659,-0.00920163,-0.0301459,-0.0510902,-0.0510902,-0.0615623,-0.0144377,-0.0406181,0.00650659,0.0326869,0.0483952,0.0222148,0.0117427,-0.0406181,-0.0144377,-0.0563263,-0.00396556,-0.113923,-0.150576,-0.108687,-0.0877427,-0.124395,-0.124395,-0.192464,-0.161048,-0.17152,-0.218645,-0.218645,-0.202936,-0.202936,-0.223881,-0.286713,-0.244825,-0.250061,-0.302422,-0.297186,-0.302422,-0.239589,-0.103451,-0.103451,-0.0772706,-0.0406181,0.0326869,-0.192464,-0.239589,-0.31813,-0.428087,-0.401907,-0.443796,2
0.233848,0.233848,0.189356,0.278341,0.216051,0.233848,0.198254,0.22495,0.207153,0.171559,0.198254,0.22495,0.180457,0.153762,0.144863,0.127066,0.171559,0.144863,0.16266,0.16266,0.171559,0.144863,0.109269,0.135964,0.153762,0.118167,0.16266,0.0736747,0.127066,0.0736747,0.0736747,0.0469791,0.0380805,0.296138,0.331732,0.349529,0.135964,-0.086499,-0.273368,-0.246673,-0.068702,-0.068702,-0.0242093,-0.0598034,-0.068702,-0.00641218,-0.0242093,-0.0598034,0.0113849,0.0380805,0.0202834,0.0202834,0.376225,1.21269,-2.40902,-5.38113,-5.85275,-4.25102,-2.20435,-1.2967,-0.575919,-0.068702,0.0647761,0.153762,0.118167,0.260544,0.22495,0.278341,0.233848,0.331732,0.322834,0.269443,0.394022,0.429616,0.420718,0.46521,0.58979,0.732167,0.856746,1.02582,1.22159,1.46185,1.7377,1.94237,2.19153,2.19153,2.24492,1.84448,1.34617,0.803355,0.394022,0.127066,0.0113849,-0.104296,-0.113195,-0.068702,-0.113195,-0.130992,-0.0242093,-0.0598034,-0.148789,-0.086499,-0.068702,-0.0242093,-0.0331078,-0.0509049,-0.122093,-0.157687,-0.122093,-0.13989,-0.175484,-0.184383,-0.219977,-0.219977,-0.300064,-0.228876,-0.237774,-0.317861,-0.273368,-0.32676,-0.300064,-0.362354,-0.282267,-0.300064,-0.317861,-0.371252,-0.389049,-0.389049,-0.308963,-0.32676,-0.344557,-0.371252,-0.424644,-0.371252,-0.344557,-0.486933,1
