f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,class
253.625,253.604,253.563,253.717,253.769,253.527,253.5,253.645,253.736,253.536,253.591,253.386,253.156,252.995,253.252,257.078,263.289,270.091,277.524,282.227,284.246,285.635,285.423,285.816,287.663,290.602,292.944,294.135,294.997,296.148,299.527,305.711,318.441,335.418,353.626,372.333,390.466,405.611,420.003,432.147,443.28,452.068,459.256,466.275,471.564,477.51,481.448,485.685,488.402,489.163,490.969,491.274,491.286,491.999,492.206,492.241,492.177,491.9,491.727,492.014,492.061,491.697,491.273,491.298,491.488,490.948,491.054,491.077,491.648,491.402,491.322,491.778,492.011,492.124,492.115,491.79,491.716,491.782,491.846,492.036,492.179,492.454,492.228,492.589,492.87,492.448,492.186,492.713,492.835,492.633,492.947,492.673,492.979,492.436,492.047,492.161,491.675,490.832,489.26,486.308,481.891,475.547,467.624,457.58,446.013,432.753,417.974,402.186,386.182,369.728,354.905,340.615,328.257,315.724,306.156,298.696,291.733,285.868,281.718,279.135,277.95,277.328,277.678,277.337,277.539,277.773,277.751,277.857,277.62,277.554,276.88,276.205,275.97,275.325,274.486,273.536,272.509,270.519,268.559,264.463,256.311,246.871,237.459,230.153,229.095,231.291,238.207,244.925,249.385,251.247,1
255.317,255.751,255.588,255.486,255.63,256.008,256.313,256.298,256.33,256.405,256.336,256.661,256.467,256.45,256.194,256.044,256.167,256.818,259.108,263.374,269.277,275.036,280.657,284.8,287.38,288.415,288.767,288.213,288.544,290.486,291.681,292.54,292.879,294.237,295.979,298.142,301.395,305.824,314.297,327.698,343.35,358.522,377.234,395.457,407.129,420.546,432.041,442.882,449.93,455.148,459.437,462.826,463.309,463.148,463.024,464.317,464.363,464.05,463.704,463.449,463.064,463.108,463.249,463.911,464.498,464.703,464.195,464.366,464.677,465.041,464.977,465.278,465.36,465.563,464.812,465.246,464.605,464.503,464.587,464.946,464.753,464.798,463.985,464.192,463.67,463.491,463.785,463.283,463.273,463.648,463.686,464.302,464.345,464.289,463.563,463.119,461.548,459.638,456.688,450.925,442.988,436.279,423.68,412.336,396.712,381.556,364.935,349.364,335.52,322.932,311.675,301.852,295.463,292.317,288.569,286.006,284.558,284.353,284.047,283.841,283.549,283.232,282.814,283.057,282.77,283.233,282.749,282.44,281.995,280.843,280.319,277.67,274.777,267.078,261.646,253.875,250.007,249.466,250.431,251.953,253.661,255.039,256.187,256.515,257.58,257.924,258.444,258.513,258.677,258.41,1
329.291,330.015,330.936,332.613,337.488,346.544,358.241,371.4,383.051,392.318,399.263,402.424,403.806,403.637,403.622,406.013,409.295,409.227,407.484,403.963,400.132,398.985,398.844,398.466,397.389,396.919,397.292,400.289,406.889,414.147,424.339,442.373,471.453,508.496,548.104,590.032,631.668,667.273,698.06,725.31,750.916,774.378,794.203,810.582,824.211,835.477,844.956,853.729,861.135,867.596,872.908,877.131,879.196,880.478,881.165,881.492,881.225,881.332,881.548,881.695,881.431,880.771,879.653,877.933,874.924,870.498,864.226,856.154,845.426,831.496,814.734,795.846,774.823,752.808,729.221,705.441,681.202,656.489,631.277,604.069,576.342,548.315,520.316,496.358,474.84,456.603,440.898,428.198,419.911,415.375,412.787,411.285,411.898,413.218,413.739,413.917,413.736,411.864,409.197,409.488,411.088,410.872,409.081,406.739,404.863,401.999,401.537,401.323,398.975,395.894,391.964,388.584,387.339,386.267,383.81,379.032,372.648,366.294,354.578,348.995,343.466,337.212,329.566,321.729,314.117,308.253,304.184,301.699,300.562,300.482,300.726,301.263,301.82,302.168,302.778,303.062,303.361,303.336,303.518,303.809,303.858,304.173,304.667,305.644,307,309.743,313.055,317.635,322.551,326.638,1
322.348,323.369,324.861,327.026,329.392,332.3,337.075,345.397,355.71,367.104,381.554,390.969,396.793,398.755,397.966,392.395,391.082,393.324,392.622,390.037,387.124,387.712,389.735,390.622,390.384,389.925,389.864,389.689,393.911,399.428,405.06,413.151,426.402,444.689,466.05,500.134,533.59,565.574,599.736,634.093,665.866,692.919,717.981,743.015,764.411,782.774,797.126,808.206,816.984,824.456,830.968,836.605,840.765,844.203,846.118,847.818,849.019,850.276,851.083,851.925,852.716,853.155,853.583,853.751,853.866,853.87,852.996,852.038,850.228,847.193,842.128,835.405,827.166,815.99,802.155,785.962,767.51,746.818,725.075,702.092,676.202,648.558,619.856,589.121,558.219,526.249,498.147,473.438,454.524,440.397,429.31,420.491,412.915,408.692,405.499,404.09,403.909,404.268,404.992,405.301,405.186,403.094,401.568,400.532,398.24,395.271,394.371,393.779,390.414,386.748,385.486,382.744,381.938,382.431,381.982,381.301,377.849,375.14,374.111,372.988,373.801,367.895,360.912,350.792,338.012,332.475,327.563,323.724,320.534,318.327,317.331,316.92,317.374,318.131,319.275,321.131,322.485,323.799,324.836,325.336,325.784,325.928,325.884,325.9,325.694,325.456,325.276,324.845,324.245,323.941,1
811.551,811.366,811.184,810.639,809.621,807.914,806.986,808.274,815.011,829.566,850.73,875.943,900.549,922.065,938.365,946.793,947.376,944.799,940.265,934.432,928.825,922.098,915.99,912.99,911.989,912.197,914.296,916.764,918.336,918.785,919.759,920.661,920.546,920.853,923.546,929.38,939.056,955.431,885.291,883.11,880.823,879.572,877.856,1147.67,1172.2,1195.98,1220.42,1249.23,1275.24,1300.15,1322.76,1341.21,1354.71,1364.06,1368.39,1369.9,1370.94,1371.25,1371.7,1371.97,1372.37,1372.45,1372.19,1372.16,1371.73,1370.66,1368.24,1363.13,1353.28,1336.42,1311.72,1279.4,1243.84,1205.21,1165.21,1125.12,1087.52,1052.02,1021.5,993.551,970.897,955.03,942.998,934.839,929.396,926.028,924.722,925.206,926.779,929.078,931.618,932.492,932.461,932.91,934.475,936.731,938.266,939.965,943.573,948.504,954.49,960.062,963.439,961.774,953.755,938.316,918.339,897.636,874.737,852.205,833.507,821.07,815.3,813.895,815.681,819.198,823.369,826.159,826.346,825.332,824.403,823.897,823.726,823.72,823.687,823.611,823.572,823.468,823.365,823.234,823.057,822.712,822.248,821.826,821.336,820.809,820.214,819.772,819.495,819.286,819.125,818.977,818.919,818.857,818.85,818.843,818.856,818.919,818.961,818.964,1
826.479,826.485,826.495,826.643,826.779,827.074,827.419,827.795,828.189,828.702,829.137,829.526,829.897,830.2,830.64,831.241,831.772,833.214,836.503,844.098,858.335,878.082,899.043,917.999,932.064,939.802,941.578,937.893,931.435,924.992,920.054,917.604,916.651,919.717,926.43,927.778,925.332,924.67,925.268,926.24,928.193,934.023,882.478,881.258,879.63,877.577,876.233,873.842,871.905,1165.95,1192.54,1220.18,1248.91,1275.54,1298.37,1318.56,1318.56,1347.46,1354.44,1358.27,1359.99,1360.72,1360.74,1360.57,1360.75,1360.52,1360.24,1359.71,1359.41,1359.1,1358.95,1358.77,1358.89,1358.74,1358.87,1358.82,1358.44,1356.89,1352.6,1340.81,1319.98,1290.53,1255.76,1218.79,1181.24,884.664,889.601,894.544,898.586,1014.23,988.885,969.019,954.113,941.759,933.513,928.499,926.77,927.249,929.37,933.157,936.672,938.583,942.318,945.87,948.553,950.305,951.986,953.316,958.425,967.187,974.735,981.53,983.555,977.524,964.652,944.758,920.38,894.372,869.398,849.319,836.369,830.831,830.376,828.385,826.213,826.09,827.914,830.265,831.193,831.163,830.894,830.78,831.225,832.253,833.36,834.644,836.339,838.405,841.135,843.292,844.72,845.765,846.299,846.482,846.603,846.54,846.527,846.592,846.697,846.788,1
346.29,347.157,348.016,349.061,350.402,352.83,356.998,364.227,374.07,385.991,397.771,407.659,414.277,417.31,417.296,415.49,412.745,410.463,409.722,410.057,408.708,405.34,402.142,400.172,399.032,397.109,396.152,396.795,396.745,396.026,395.763,395.801,397.005,397.981,397.282,396.274,396.514,396.761,397.622,400.573,407.354,417.372,431.188,451.023,475.358,504.281,540.527,578.297,613.878,650.661,684.459,713.802,741.431,765.74,787.593,804.81,817.07,826.859,835.408,842.704,849.723,856.278,862.148,866.949,869.595,871.811,873.061,873.569,873.757,873.907,874.021,874.515,874.897,875.992,876.823,877.475,878.028,878.408,878.52,878.619,878.62,878.166,877.189,874.535,869.785,862.266,851.539,837.385,820.831,801.528,779.487,754.892,728.086,700.664,672.558,643.615,614.878,584.645,555.061,525.868,499.514,476.523,458.303,444.366,433.81,425.191,420.002,416.513,413.823,411.968,411.046,409.733,408.227,406.783,406.202,406.863,406.093,405.888,406.731,407.88,406.997,405.12,402.701,399.086,396.251,393.628,390.584,386.78,382.242,378.363,373.619,369.24,366.584,359.479,349.64,341.176,334.959,328.571,321.956,316.544,313.422,313.656,317.213,322.472,327.168,330.591,332.586,334.083,335.814,337.418,1
337.144,337.01,336.935,337.041,337.093,337.677,339.798,344.973,354.789,369.356,386.046,402.8,414.756,420.862,425.89,426.438,425.609,423.465,421.988,420.724,418.634,416.32,414.363,413.913,414.365,413.144,410.612,408.643,408.486,410.556,415.994,424.114,439.775,460.867,485.983,515.434,552.948,593.223,635.536,677.548,714.683,747.409,775.55,798.675,816.513,829.426,839.186,846.469,852.041,856.134,858.87,861.73,864.435,866.855,868.868,870.861,871.807,872.363,872.784,873.047,873.275,873.763,874.015,874.114,874.131,873.949,873.916,873.985,873.816,873.799,873.186,871.124,867.017,860.694,851.059,837.255,821.308,802.474,781.51,759.701,736.208,712.179,688.996,665.445,641.846,618.869,595.825,572.437,547.821,524.462,504.023,485.345,468.775,454.981,443.37,434.535,430.661,427.175,424.382,422.705,421.953,420.391,419.854,419.615,418.986,418.47,417.716,416.559,414.901,412.774,409.99,406.809,403.825,400.861,396.884,392.051,388.05,384.714,381.946,379.994,378.197,375.663,372.035,366.444,358.9,349.66,339.778,331.278,325.189,322.644,323.15,325.194,327.706,330.164,332.426,334.036,335.186,336.043,336.558,337.024,336.977,336.886,336.78,337.085,337.674,338.307,339.083,339.912,340.919,342.048,1
831.36,831.147,830.849,830.732,830.669,830.563,830.477,830.255,829.97,829.741,829.414,829.182,828.98,828.773,829.218,831.33,836.095,845.217,859.431,878.957,901.833,924.619,943.568,956.853,965.349,969.301,968.684,965.078,958.64,950.178,939.881,931.634,925.875,923.841,926.142,928.072,928.933,928.842,929.105,930.122,932.507,938.692,895.633,894.757,892.913,889.654,887.665,883.47,880.096,1192.07,1221.85,1251.88,1277.71,1298.56,1318.02,1333.97,1345.86,1353.71,1357.63,1359.53,1360.71,1361.13,1361.39,1362.21,1362.43,1362.76,1362.88,1362.97,1362.8,1362.7,1361.93,1358.43,1349.31,1332.27,1306.71,1274.43,1237.81,1199.4,897.567,902.43,906.34,910.429,1025.25,998.372,979.407,966.711,957.48,951.144,947.058,944.545,942.548,940.844,939.538,939.537,941.071,942.656,944.38,946.061,947.023,946.516,944.993,942.994,940.588,938.594,938.396,939.141,939.132,939.039,941.498,945.79,950.851,954.185,956.437,958.353,964.915,974.14,982.868,990.319,994.215,991.686,982.39,965.682,942.203,913.133,882.387,854.019,830.939,816.535,810.736,811.503,815.739,814.849,812.206,811.448,812.146,813.927,815.795,817.403,819.093,820.736,822.392,823.741,825.513,827.444,828.652,829.006,829.261,829.563,829.972,830.131,1
265.897,265.902,265.967,266.168,266.035,266.086,266.122,266.188,266.237,266.28,266.256,266.507,266.585,266.533,266.536,266.584,266.653,266.609,266.867,266.92,267.033,267.11,267.121,267.601,270.219,272.987,276.493,278.341,279.074,279.847,278.861,278.286,278.919,281.197,283.473,284.98,285.662,285.906,287.306,291.046,298.577,310.919,326.176,345.759,368.896,388.571,408.237,426.093,443.031,459.263,474.912,487.06,493.449,497.338,498.666,498.84,498.955,499.206,499.533,499.446,499.361,499.492,499.541,499.355,499.164,499.487,499.17,499.129,498.9,497.862,496.419,493.632,487.847,479.692,469.597,457.357,443.881,429.568,415.705,401.924,389.081,374.975,361.267,348.281,335.794,324.5,314.937,306.511,300.558,296.43,293.217,291.151,289.909,289.23,288.94,288.56,288.478,287.784,287.289,286.7,286.611,286.718,286.962,287.317,288.134,289.252,290.836,292.331,293.364,292.271,289.693,286.678,282.764,278.709,275.112,272.468,270.438,269.102,268.597,268.452,268.326,268.373,268.621,268.988,269.524,270.178,270.307,270.351,270.407,270.277,270.114,269.924,269.888,270.07,270.066,270.492,270.646,270.995,271.316,271.718,272.138,272.435,272.894,273.046,273.002,273.012,273.275,273.236,273.336,273.489,1
