f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,class
333.245,333.312,333.144,333.24,333.259,333.253,333.416,333.208,333.255,333.193,333.24,333.149,333.095,333.025,332.89,332.704,332.536,332.427,332.271,332.174,332.183,332.279,332.42,332.488,332.524,332.572,332.664,332.757,332.914,332.787,332.835,332.913,332.917,332.921,332.822,332.958,333.055,333.009,333.058,333.651,336.7,344.046,355.857,371.196,391.64,408.105,414.862,425.783,435.086,444.367,455.7,469.653,485.446,502.978,519.215,533.828,541.955,546.621,549.785,552.06,552.989,553.039,554.065,553.745,553.464,553.512,553.487,554.111,553.647,553.781,553.83,552.963,552.527,552.564,552.756,552.635,552.328,551.99,551.341,550.849,549.955,548.77,547.374,542.049,532.044,516.693,498.134,481.307,464.669,448.311,430.21,418.119,402.595,382.214,366.212,351.879,339.616,328.572,319.496,313.191,310.763,310.033,310.264,310.936,312.109,313.414,314.244,315.792,316.854,318.288,319.55,320.655,321.946,322.259,322.617,322.906,323.055,323.646,324.207,325.122,325.961,326.79,327.322,327.594,327.796,327.654,327.375,327.282,327.16,327.137,327.471,327.571,327.842,328.321,328.583,328.715,328.69,328.509,328.418,328.541,328.77,328.98,329.247,329.63,329.765,329.835,330.007,330.178,330.138,330.229,1
301.49,301.532,301.506,301.43,301.525,301.634,301.716,301.728,301.667,301.658,301.819,301.848,301.888,301.861,302.065,302.204,302.215,302.444,302.422,302.474,302.516,302.79,302.679,302.897,302.933,303.052,303.029,303.226,303.358,303.448,303.444,303.484,303.67,303.716,303.664,303.799,303.811,303.856,304.07,304.111,303.974,304.014,303.971,303.982,304.169,304.419,304.569,304.703,304.75,304.91,305.086,305.336,305.753,305.894,306.327,306.629,306.58,306.79,307.044,307.164,307.109,307.191,307.218,307.219,307.422,307.535,308.516,312.109,318.751,326.477,341.533,359.542,359.542,359.542,359.542,416.5,427.332,433.798,442.325,459.376,479.896,500.687,518.267,530.379,535.404,539.728,541.605,541.19,542.392,543.814,544.28,544.362,544.499,544.591,544.587,544.423,544.375,545.625,544.704,544.539,543.685,544.315,543.936,540.656,538.374,532.595,524.04,511.915,498.437,484.685,471.27,457.849,447.64,437.827,423.267,416.865,409.955,388.488,370.688,354.025,337.742,326.73,317.178,309.544,302.665,298.437,295.811,294.571,294.319,294.99,295.709,296.127,296.919,297.381,298.485,299.671,300.811,302.263,303.468,304.326,304.778,305.111,305.332,305.932,306.578,307.563,308.376,309.272,309.868,310.396,1
936.26,936.221,936.19,936.07,935.891,935.763,935.644,935.564,935.505,936.813,943.445,959.871,986.087,1020.44,1063.05,1104.82,1143.58,1177.57,1208.1,1235.59,1261.51,1283.62,1303.8,1325.55,1343.39,1358.68,1371.36,1381.7,1388.32,1392.48,1393.65,1393.67,1394.02,1394.65,1395.6,1396.96,1397.54,1396.78,1395,1389.58,1379.54,1363.57,1341.2,1314.31,1284.94,1255.75,1228.26,1203.69,1183.57,1166.18,1149.44,1130.77,1110.03,1087.57,1064.1,1040.45,1016.03,990.651,966.951,944.479,925.149,915.984,915.548,917.707,919.336,919.908,920.113,920.381,920.764,921.206,921.718,922.316,922.868,923.501,924.061,924.382,924.595,924.683,924.659,924.544,924.246,924.244,924.209,924.14,924.081,923.93,923.67,923.254,922.994,922.935,922.792,922.809,923.19,923.426,923.678,923.845,923.903,923.92,923.939,923.888,923.715,923.442,923.135,922.698,922.357,922,921.528,921.015,920.652,920.039,919.53,918.941,918.204,917.558,916.928,916.274,915.654,915.269,914.898,914.76,914.662,914.675,914.501,914.335,914.255,914.271,914.395,914.591,914.794,914.896,914.968,915.087,915.172,915.247,915.265,915.254,915.217,915.054,914.884,914.702,914.587,914.362,914.106,913.862,913.715,913.546,913.365,913.237,913.106,913.008,1
321.988,321.909,321.924,321.874,321.781,321.888,322.044,322.019,322.089,322.246,322.112,322.28,322.501,322.579,322.571,322.654,322.656,322.697,322.574,322.567,322.463,322.563,322.23,322.392,322.28,322.175,322.054,322.075,322.068,322.184,321.989,322,321.923,321.755,321.818,321.868,321.896,321.685,321.612,321.652,321.499,321.405,321.303,321.239,321.269,322.76,327.107,335.909,355.696,386.071,386.071,386.071,386.071,448.802,461.454,474.784,489.755,505.705,521.759,530.494,535.258,535.552,537.707,537.815,538.486,539.49,540.456,540.439,540.357,539.745,540.576,540.632,541.178,540.568,540.905,540.877,540.823,540.91,540.64,540.148,539.903,539.851,539.231,538.291,537.211,535.253,531.8,527.032,518.948,508.378,495.586,484.506,474.007,464.768,455.628,446.355,436.806,424.484,407.934,389.234,366.665,349.205,333.892,322.572,313.307,305.888,299.832,297.365,296.799,296.918,298.157,300.63,302.585,304.314,305.952,306.935,308.06,309.016,309.487,309.858,310.437,310.455,311.015,310.954,310.93,310.732,311.068,311.141,311.329,311.541,311.654,311.944,312.008,312.312,312.351,312.384,312.491,312.482,312.416,312.594,312.586,312.555,312.54,312.52,312.589,312.576,312.557,312.648,312.664,312.566,1
249.097,248.607,248.906,249.547,250.065,250.955,252.618,254.015,255.229,255.938,256.606,257.011,258.005,258.902,260.34,261.781,262.285,262.472,261.733,260.221,259.097,258.253,258.163,258.506,259.757,260.457,261.766,264.358,265.656,265.199,264.973,265.431,267.79,271.009,274.777,279.431,282.335,283.872,285.929,288.981,295.203,306.01,321.928,336.754,358,381.483,407.553,424.087,441.636,460.525,479.114,495.658,510.84,519.935,525.185,526.729,527.796,527.742,527.02,526.862,526.958,526.497,525.819,525.589,525.736,525.546,525.426,524.616,523.991,522.042,517.582,509.273,496.398,480.238,462.646,442.944,423.642,405.316,386.752,371.661,356.161,341.165,330.357,319.485,310.538,305.378,301.606,299.109,297.365,295.896,295.878,295.386,295.002,294.349,293.6,292.948,291.97,291.795,291.6,291.945,291.902,291.062,290.033,289.012,286.834,282.902,278.052,273.103,269.463,267.423,266.856,266.983,267.423,267.203,266.852,266.818,266.897,267.191,267.486,268.335,269.349,269.628,270.432,271.361,272.085,272.314,272.424,272.462,272.4,272.428,272.149,271.736,271.598,271.209,271.032,270.898,270.694,270.831,270.83,270.875,270.966,270.979,271.1,271.223,271.319,271.328,271.303,271.09,271.085,270.818,1
295.124,295.015,294.774,294.887,294.865,294.716,294.236,293.545,292.909,292.58,292.412,292.079,291.591,291.246,290.217,289.276,288.047,287.104,286.334,285.705,285.649,285.554,285.599,285.633,285.897,285.853,286.15,286.511,286.513,286.875,287.18,287.807,289.212,292.025,297.246,306.176,315.336,326.879,335.696,335.696,335.696,397.543,422.36,434.074,445.726,457.657,472.621,489.23,503.991,518.625,526.097,529.661,531.005,532.962,534.224,534.525,535.252,535.969,536.843,536.899,537.18,537.374,536.575,537.033,537.749,537.148,536.698,535.029,533.114,529.632,524.33,516.718,508.318,497.001,485.506,474.377,463.001,453.283,442.879,430.21,420.448,409,399.51,380.24,354.222,335.628,320.663,308.277,293.598,281.436,274.348,271.292,270.895,271.571,273.108,274.814,276.555,278.459,280.49,282.907,283.837,284.262,284.311,284.413,284.377,284.299,284.132,284.215,284.254,284.205,284.067,283.928,283.73,283.398,283.1,282.749,282.468,281.824,281.708,281.348,281.051,280.302,280.189,279.863,279.659,279.425,279.357,279.142,278.957,279.033,278.843,278.747,278.849,278.736,278.74,278.862,278.995,279.318,279.52,279.617,280.173,280.189,280.576,280.835,281.172,281.604,282.07,282.492,282.503,282.546,1
330.393,330.2,330.164,330.253,330.223,330.402,330.475,330.445,330.532,330.685,330.732,330.672,330.611,330.778,330.837,330.853,331.174,331.564,332.068,332.635,333.187,334.447,334.712,335.051,335.248,335.538,335.99,336.15,336.236,336.391,336.67,336.641,336.57,336.682,336.772,336.714,336.602,336.504,336.337,336.168,335.713,335.505,335.561,336.797,341.114,349.284,363.746,382.498,412.457,428.583,438.539,448.825,459.757,470.581,482.433,496.462,511.312,524.219,532.003,535.958,537.911,539.207,539.955,540.091,540.593,541.516,541.561,542.09,542.775,543.346,543.14,543.195,543.431,543.66,543.637,543.741,544.264,544.117,543.719,543.783,543.923,543.837,543.597,542.401,539.831,536.444,530.984,522.592,510.368,497.596,485.042,473.398,462.795,454.003,443.83,432.018,421.069,401.624,376.801,355.341,337.029,321.608,310.527,304.27,301.022,300.036,300.103,300.961,301.861,303.026,303.889,304.506,304.714,305.047,305.319,305.475,305.812,306.367,307.05,308.122,308.71,309.116,309.412,309.391,309.469,309.699,309.762,309.639,309.661,309.594,309.581,309.478,309.323,309.205,309.325,309.395,309.752,309.934,310.332,310.548,310.689,310.958,311.176,311.193,311.251,311.189,311.06,310.937,310.992,311.263,1
913.709,913.814,913.901,914.118,914.3,914.413,914.545,914.811,915.133,915.281,915.327,915.743,918.954,929.186,949.905,977.725,1011.08,1049.12,1087.34,1123.17,1155.72,1185.35,1213.86,1240.78,1265.96,1290.31,1314.38,1334.71,1351.64,1365.8,1377.51,1387.37,1394.03,1399.11,1398.95,1398.32,1398.14,1397.89,1397.96,1398.17,1398.29,1397.86,1397.25,1396.99,1396.45,1395.3,1392.23,1384.83,1371.22,1352.7,1329.45,1302.56,1273.68,1244.66,1216.66,1192.29,1171.94,1154.01,1138.35,1121.24,1102.85,1083.79,1064.45,1045.78,1027.83,1010.2,991.381,972.659,952.69,932.23,914.797,905.842,904.46,906.322,909.37,911.261,911.738,912.104,912.868,913.746,914.583,915.273,915.851,916.118,916.324,916.652,917.078,917.612,918.288,918.662,918.892,918.945,918.858,918.702,918.539,918.363,918.136,918.042,917.916,917.8,917.719,917.533,917.248,916.906,916.679,916.458,916.399,916.426,916.438,916.625,916.733,916.826,917.055,917.34,917.578,917.958,918.351,918.636,918.845,919.07,919.227,919.372,919.511,919.573,919.627,919.689,919.719,919.802,919.943,920.028,920.12,920.207,920.329,920.449,920.579,920.813,921.053,921.34,921.717,922.174,922.569,922.839,922.999,923.215,923.257,923.2,923.111,923.113,923.106,923.132,1
334.726,334.756,334.739,334.827,334.69,334.549,334.298,334.163,333.664,333.32,333.384,333.056,332.992,333.075,333.175,333.073,333.424,333.184,333.282,333.192,333.183,333.087,333.299,333.145,333.131,333.11,333.013,332.851,333.278,333.06,333.013,333.193,332.957,332.924,332.562,332.639,332.368,332.525,332.475,332.429,332.496,332.473,332.405,333.325,336.469,343.374,358.105,377.742,377.742,377.742,377.742,445.224,463.562,475.374,491.223,505.552,519.94,530.689,538.715,543.066,545.676,544.366,546.217,547.11,547.517,547.426,547.836,547.868,548.013,546.952,547.99,547.88,547.025,548.272,548.125,548.656,546.402,547.574,546.345,546.511,546.228,545.284,542.499,537.569,530.438,520.05,508.104,495.889,484.952,474.269,464.634,454.779,444.353,438.5,427.236,410.431,396.623,384.126,371.289,358.136,346.228,336.137,328.967,324.095,322.006,322.233,324.304,326.687,328.916,331.132,332.789,333.332,334.022,334.515,334.982,336.027,337.451,339.112,340.93,342.45,343.794,344.697,345.295,345.393,345.553,345.364,345.358,345.517,345.79,346.361,347.494,348.657,349.277,349.728,350.116,350.203,350.235,350.007,349.786,349.387,349.525,349.35,349.379,349.294,349.278,349.31,348.962,348.264,346.997,346.178,1
269.019,269.442,269.704,270.049,270.917,271.637,272.847,274.639,276.567,278.516,280.777,282.741,284.277,285.726,286.759,287.51,288.287,288.511,289.027,289.754,289.425,288.747,288.135,286.908,284.571,282.396,279.37,276.809,275.448,276.913,279.885,283.701,287.943,289.731,291.797,295.424,300.615,309.79,322.081,337.528,359.901,380.204,398.497,415.655,433.22,450.821,470.45,489.223,509.44,521.61,526.371,529.092,530.302,531.194,531.503,531.885,532.355,532.813,533.149,533.734,533.566,533.625,533.612,533.277,533.097,532.309,530.077,525.45,515.032,503.18,486.655,468.924,448.631,428.007,407.783,389.185,369.719,353.64,336.971,325.151,314.378,306.157,299.176,294.695,291.65,289.216,287.193,285.824,284.934,283.836,283.12,282.793,282.171,282.002,281.538,280.57,279.966,280.181,282.463,284.795,287.518,289.855,290.22,290.06,287.817,284.645,279.949,273.527,267.055,262.887,261.34,260.767,261.182,261.881,262.557,263.347,263.708,263.669,263.682,263.615,263.506,263.325,262.844,262.324,261.861,261.163,260.433,259.99,259.701,259.437,259.171,259.229,259.259,259.13,259.072,259.238,259.536,259.893,260.863,261.859,262.557,263.543,264.2,264.186,264.362,264.534,264.289,264.339,264.36,264.556,1
