f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,class
253.625,253.604,253.563,253.717,253.769,253.527,253.5,253.645,253.736,253.536,253.591,253.386,253.156,252.995,253.252,257.078,263.289,270.091,277.524,282.227,284.246,285.635,285.423,285.816,287.663,290.602,292.944,294.135,294.997,296.148,299.527,305.711,318.441,335.418,353.626,372.333,390.466,405.611,420.003,432.147,443.28,452.068,459.256,466.275,471.564,477.51,481.448,485.685,488.402,489.163,490.969,491.274,491.286,491.999,492.206,492.241,492.177,491.9,491.727,492.014,492.061,491.697,491.273,491.298,491.488,490.948,491.054,491.077,491.648,491.402,491.322,491.778,492.011,492.124,492.115,491.79,491.716,491.782,491.846,492.036,492.179,492.454,492.228,492.589,492.87,492.448,492.186,492.713,492.835,492.633,492.947,492.673,492.979,492.436,492.047,492.161,491.675,490.832,489.26,486.308,481.891,475.547,467.624,457.58,446.013,432.753,417.974,402.186,386.182,369.728,354.905,340.615,328.257,315.724,306.156,298.696,291.733,285.868,281.718,279.135,277.95,277.328,277.678,277.337,277.539,277.773,277.751,277.857,277.62,277.554,276.88,276.205,275.97,275.325,274.486,273.536,272.509,270.519,268.559,264.463,256.311,246.871,237.459,230.153,229.095,231.291,238.207,244.925,249.385,251.247,1
238.233,245.279,250.956,252.293,251.568,250.214,249.826,249.762,250.601,251.184,252.353,252.557,252.369,252.514,252.734,254.221,257.523,263.218,273.135,282.494,288.184,292.021,293.021,293.773,292.067,291.112,291.771,293.023,295.542,297.611,299.593,301.579,304.066,310.145,325.071,338.913,356.277,375.226,391.926,406.435,420.443,432.121,442.005,451.814,460.163,467.577,473.891,479.212,482.543,484.917,486.099,486.25,486.743,486.887,486.591,486.447,486.683,487.261,487.008,487.05,487.049,487.05,486.421,485.804,486.025,485.568,485.88,485.552,485.519,485.84,485.527,485.115,485.125,484.709,484.958,484.773,484.873,484.992,484.592,484.687,484.551,484.627,484.723,484.231,483.575,483.478,482.751,481.964,480.025,477.706,473.238,466.591,457.57,446.586,434.379,420.026,404.645,389.059,375.225,359.05,344.561,331.916,319.544,308.621,300.428,293.882,289.446,286.036,283.954,283.366,282.936,282.842,282.88,282.035,281.123,280.25,279.195,278.721,278.351,278.031,278.022,278.236,277.229,276.676,276.619,276.659,276.184,275.717,273.86,271.359,266.622,259.15,250.639,241.125,233.775,231.436,232.699,236.841,242.743,246.551,249.623,251.116,251.481,251.069,251.651,251.82,253.263,253.9,254.195,253.811,1
297.556,297.531,297.281,297.07,297.143,297.126,297.119,296.947,296.974,296.669,296.74,296.542,296.504,296.412,296.55,296.55,296.581,296.477,296.439,296.37,296.381,296.414,296.395,296.53,296.408,296.402,296.282,296.19,296.472,300.572,308.489,322.595,342.881,364.309,388.671,411.665,432.288,451.534,464.723,473.468,478.768,481.851,482.496,482.253,481.045,479.27,478.012,477.622,477.636,478.381,478.61,478.575,478.446,478.6,478.303,479.245,479.142,479.314,479.382,479.293,479.429,478.707,478.922,479.595,478.809,478.235,477.716,477.803,477.798,477.995,477.631,477.511,477.369,477.851,477.515,477.847,478.147,477.936,478.137,478.501,478.484,478.599,478.763,478.869,478.805,479.125,479.121,479.804,479.389,479.594,479.905,479.074,479.178,479.191,479.402,479.253,478.823,479.561,479.27,479.61,478.906,480.028,479.64,478.662,478.294,476.856,473.63,471.829,468.289,465.291,461.589,454.929,446.912,437.438,425.918,409.109,389.186,365.727,344.045,323.279,307.025,292.814,284.965,282.641,281.707,281.93,282.973,284.81,288.297,291.112,294.051,295.577,295.881,296.357,295.966,295.789,295.68,295.042,294.5,294.775,294.929,295.186,295.301,295.41,295.516,295.389,295.497,295.486,295.422,295.604,1
294.553,294.566,294.457,294.622,294.777,294.735,294.677,294.754,295.093,294.915,295.044,294.995,295.23,295.415,295.535,296.432,299.183,305.737,316.414,331.272,350.926,371.609,393.97,417.149,435.54,453.562,465.436,473.937,479.831,482.961,485.729,486.061,487.352,486.872,488.055,488.47,489.246,489.928,490.756,491.058,490.785,490.489,490.31,490.075,491.406,490.658,491.193,491.291,490.895,491.348,491.823,492.144,492.235,492.221,491.918,491.946,491.905,492.346,492.664,492.501,492.725,491.901,492.348,493.597,493.456,493.309,493.044,494.078,494.283,493.314,493.251,492.727,492.662,492.993,493.317,493.411,492.885,493.346,493.271,492.569,492.332,492.088,492.38,491.756,492.026,491.593,490.416,489.912,488.016,486.248,482.627,480.656,475.899,471.633,467.085,461.402,456.129,451.528,444.837,437.451,427.305,416.937,403.601,390.291,375.011,360.292,344.92,329.8,317.339,307.03,298.958,294.977,293.995,293.92,295.44,297.037,298.645,300.076,300.904,301.201,301.262,301.176,300.951,300.625,300.272,300.019,299.773,299.305,299.358,299.374,299.406,299.567,299.518,299.448,299.137,299.312,299.421,299.466,299.411,299.362,299.312,299.395,299.204,299.567,299.492,299.307,299.513,299.605,299.625,299.469,1
292.898,293.039,293.235,293.387,293.599,293.894,293.941,294.078,293.881,293.996,293.978,294.069,294.251,293.982,294.167,294.184,294.213,294.172,294.435,294.429,294.294,294.283,294.388,294.325,294.506,294.906,294.88,294.793,294.905,294.801,294.885,294.659,295.127,295.209,295.531,295.899,296.249,297.694,300.556,306.782,316.954,336.754,357.331,376.574,396.078,410.631,421.885,429.428,438.788,452.624,471.006,490.608,511.238,528.361,539.738,541.396,541.377,542.439,542.557,540.947,540.896,541.484,540.557,540.978,541.023,541.009,540.465,540.737,539.796,539.834,540.103,538.776,532.8,522.395,508.584,493.078,477.363,463.368,448.496,430.598,409.704,383.984,357.859,336.686,312.632,297.339,285.485,280.069,279.251,280.086,282.439,284.242,285.585,286.411,287.209,287.746,288.524,289.631,290.972,292.973,295.012,297.413,299.051,299.523,299.284,298.489,297.408,296.027,294.583,293.523,292.971,292.595,292.447,292.394,292.504,292.543,292.551,292.321,292.637,292.107,291.888,291.732,291.727,291.289,291.294,290.775,290.288,289.834,289.411,288.769,288.709,288.168,288.017,287.7,287.715,287.539,287.472,287.471,287.554,287.854,287.767,288.384,288.864,289.451,290.026,290.616,291.037,291.567,292.126,292.41,1
298.45,298.314,298.176,298.383,298.285,298.509,298.594,298.584,298.773,298.701,298.892,298.743,298.757,298.718,298.754,298.579,298.769,299.897,304.672,314.533,329.719,351.18,374.801,400.502,426.612,446.344,466.533,479.35,489.089,495.5,497.822,500.746,500.845,501.752,502.035,500.739,502.756,501.516,502.9,502.696,502.629,502.841,502.737,503.091,503.496,502.144,501.759,501.446,502.221,502.038,501.665,501.757,501.639,501.662,501.498,501.979,501.388,501.44,501.629,501.045,501.524,501.539,501.419,501.389,501.509,501.611,501.708,501.462,501.391,501.553,501.326,501.381,501.503,501.189,500.754,500.438,500.887,501.183,501.285,501.069,500.925,500.792,500.739,500.759,500.597,500.282,500.611,500.521,500.647,500.299,500.132,500.228,499.804,500.472,500.099,500.245,500.572,500.401,500.339,500.277,500.233,499.863,499.832,500.06,499.87,499.804,499.535,499.333,499.339,498.881,499.1,499.018,498.819,499.327,498.315,498.702,498.233,497.982,498.16,496.306,494.051,490.157,487.717,482.588,477.947,469.119,461.541,450.54,440.102,425.15,408.923,389.717,370.148,351.254,331.656,315.006,301.454,291.545,286.404,284.386,284.612,286.246,288.911,291.795,295.595,296.729,298.889,299.889,300.449,300.758,1
297.025,296.919,297.122,297.143,296.905,297.146,296.997,297.14,297.068,296.986,296.922,296.835,296.886,296.564,296.898,296.869,296.863,296.691,296.643,296.713,296.765,296.962,296.783,296.942,296.57,300.005,304.64,314.708,330.464,350.601,371.708,394.405,416.913,436.736,453.719,466.459,477.299,481.843,486.667,488.386,488.1,489.03,488.473,487.77,487.5,487.35,487.989,488.186,488.269,488.296,488.172,488.207,488.174,488.025,487.311,487.271,487.116,487.27,486.709,486.364,486.161,486.622,486.406,486.683,486.355,486.409,486.403,485.784,485.74,486.014,485.726,486.024,485.774,485.957,485.605,485.47,485.517,485.405,485.099,485.2,485.732,485.566,485.263,485.699,485.603,485.691,485.712,485.328,485.246,485.321,483.334,481.853,481.914,480.081,478.043,473.935,472.452,470.032,465.275,460.199,453.101,445.005,435.862,424.426,410.834,396.434,380.635,365.557,352.1,338.245,325.539,315.872,307.255,300.66,296.076,293.387,292.679,292.673,293.089,294.43,296.047,296.79,297.44,298.091,298.219,298.218,298.671,298.657,298.736,298.854,298.741,298.863,298.828,299.025,299.01,298.935,299.012,298.823,298.822,298.793,298.631,298.594,298.593,298.301,298.433,298.584,298.618,298.308,298.76,298.55,1
293.825,296.015,297.253,298.635,299.736,299.942,300.323,300.536,300.481,300.462,300.435,300.475,300.433,300.363,300.345,300.339,300.214,300.242,300.074,299.902,299.814,299.606,299.343,299.417,299.19,299.171,299.336,300.02,302.159,307.966,315.879,327.21,342.963,364.153,385.03,405.906,425.908,443.3,458.794,471.061,479.995,486.239,489.791,492.447,494.125,494.642,496.158,496.031,497.724,496.735,497.125,497.21,497.405,497.731,497.188,497.743,496.824,496.922,496.893,497.051,497.282,497.074,496.825,496.529,496.338,495.318,495.208,494.822,495.258,494.548,494.642,494.527,494.678,494.263,494.169,494.27,494.366,493.624,493.55,493.157,493.629,493.536,493.767,493.447,493.497,493.254,493.458,493.488,493.468,492.874,493.058,493.13,492.69,492.404,492.787,492.829,492.841,492.925,492.701,492.921,493.089,492.854,492.988,493.549,492.661,493.026,492.904,492.992,493.301,493.324,493.008,493.319,492.771,492.827,493.001,492.966,492.887,493.136,492.481,492.892,492.73,493.562,493.604,492.57,492.855,492.22,491.534,491.191,489.666,488.119,485.829,483.772,481.352,478.367,474.188,468.049,460.102,449.483,435.688,420.476,401.378,380.882,360.219,339.873,323.496,310.223,298.606,292.402,289.622,288.88,1
345.219,344.543,342.882,341.855,340.994,339.749,339.384,338.971,338.492,338.757,339.328,340.138,341.178,342.755,344.142,345.254,345.731,346.412,346.663,346.823,346.793,346.012,345.496,344.805,343.223,342.65,342.106,341.833,341.592,341.407,341.294,341.195,341.059,340.714,340.141,339.647,339.32,339.174,338.946,338.648,338.6,338.578,338.639,339.36,340.25,343.317,349.459,359.495,383.249,383.249,383.249,383.249,449.948,467.487,481.649,495.504,510.025,521.922,532.27,536.862,540.195,539.576,540.752,542.06,544.595,545.675,545.899,548.023,548.561,548.688,549.981,548.637,548.798,548.808,548.334,549.024,548.898,548.292,545.796,545.427,543.01,539.063,534.031,528.13,519.857,510.81,499.715,487.959,476.897,467.32,458.619,451.348,443.797,435.837,428.46,418.284,401.328,384.467,370.966,356.575,344.343,334.88,327.735,323.663,322.306,322.675,324.733,327.467,329.699,331.506,332.74,333.267,333.164,333.311,333.297,333.205,333.469,333.942,334.5,334.878,335.725,335.938,336.154,336.333,336.532,336.599,336.862,337.046,337.256,337.451,337.679,338.195,338.799,339.3,339.638,339.965,340.422,340.679,340.809,341.065,341.066,341.042,341.037,341.058,341.096,341.067,341.054,341.118,341.224,341.133,1
265.897,265.902,265.967,266.168,266.035,266.086,266.122,266.188,266.237,266.28,266.256,266.507,266.585,266.533,266.536,266.584,266.653,266.609,266.867,266.92,267.033,267.11,267.121,267.601,270.219,272.987,276.493,278.341,279.074,279.847,278.861,278.286,278.919,281.197,283.473,284.98,285.662,285.906,287.306,291.046,298.577,310.919,326.176,345.759,368.896,388.571,408.237,426.093,443.031,459.263,474.912,487.06,493.449,497.338,498.666,498.84,498.955,499.206,499.533,499.446,499.361,499.492,499.541,499.355,499.164,499.487,499.17,499.129,498.9,497.862,496.419,493.632,487.847,479.692,469.597,457.357,443.881,429.568,415.705,401.924,389.081,374.975,361.267,348.281,335.794,324.5,314.937,306.511,300.558,296.43,293.217,291.151,289.909,289.23,288.94,288.56,288.478,287.784,287.289,286.7,286.611,286.718,286.962,287.317,288.134,289.252,290.836,292.331,293.364,292.271,289.693,286.678,282.764,278.709,275.112,272.468,270.438,269.102,268.597,268.452,268.326,268.373,268.621,268.988,269.524,270.178,270.307,270.351,270.407,270.277,270.114,269.924,269.888,270.07,270.066,270.492,270.646,270.995,271.316,271.718,272.138,272.435,272.894,273.046,273.002,273.012,273.275,273.236,273.336,273.489,1
