sample_idx,y_true,y_pred,pred_correct,axp_json,intervals_json,n_constrained,coverage_convB,fsc_s,their_cov,solver_status,solver_wall_s,total_wall_s,timeout_s
0,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.860000,ok,0.0794,0.0799,60
1,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.770000,ok,0.0213,0.0214,60
2,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.370000,ok,0.0232,0.0233,60
3,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.840000,ok,0.0384,0.0385,60
4,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.760000,ok,0.0183,0.0183,60
5,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.010000,ok,3.3381,3.3382,60
6,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.370000,ok,0.0277,0.0278,60
7,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.360000,ok,0.0926,0.0927,60
8,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.710000,ok,0.0322,0.0323,60
9,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.490000,ok,0.0242,0.0243,60
10,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.270000,ok,0.1065,0.1066,60
11,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.930000,ok,0.0338,0.0339,60
12,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.010000,ok,0.0204,0.0205,60
13,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.280000,ok,2.1735,2.1736,60
14,1,1,True,"[8, 9, 14, 17, 19, 21]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""21"": [null, true, 1.391, false]}",6,0.845139,1.386294,91.250000,ok,0.2699,0.2701,60
15,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.730000,ok,0.0491,0.0492,60
16,1,1,True,"[7, 8, 9, 17, 19]","{""7"": [-0.536, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.7, true, null, true]}",5,0.855556,1.609438,91.370000,ok,0.4526,0.4527,60
17,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,92.010000,ok,3.4886,3.4888,60
18,1,1,True,"[8, 17, 19, 20, 21]","{""8"": [-0.807, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true], ""21"": [null, true, 1.391, false]}",5,0.863399,2.197225,90.100000,ok,2.1959,2.1960,60
19,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.200000,ok,0.0264,0.0265,60
20,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,92.730000,ok,4.5698,4.5699,60
21,1,1,True,"[5, 8, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true]}",5,0.866375,3.295837,89.080000,ok,0.4555,0.4556,60
22,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.170000,ok,0.0265,0.0267,60
23,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,91.950000,ok,4.5358,4.5360,60
24,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.620000,ok,0.0393,0.0394,60
25,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.970000,ok,5.4009,5.4010,60
26,1,1,True,"[8, 9, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true]}",4,0.880556,0.000000,90.770000,ok,1.2751,1.2753,60
27,1,1,True,"[7, 17, 19, 20]","{""7"": [-0.626, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.502, true, null, true]}",4,0.895016,3.401197,88.010000,ok,0.1936,0.1937,60
28,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.610000,ok,0.0239,0.0240,60
29,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,92.660000,ok,3.2067,3.2069,60
30,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.180000,ok,2.7773,2.7775,60
31,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,92.090000,ok,3.0737,3.0738,60
32,1,1,True,"[6, 7, 8, 9, 19, 20]","{""6"": [-1.137, true, null, true], ""7"": [-0.735, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""19"": [1.027, true, null, true], ""20"": [0.528, true, null, true]}",6,0.837010,3.583519,88.500000,ok,0.5033,0.5034,60
33,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.590000,ok,0.0268,0.0269,60
34,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.120000,ok,0.0260,0.0261,60
35,1,1,True,"[8, 9, 14, 17, 19, 21]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""21"": [null, true, 1.391, false]}",6,0.845139,1.386294,91.140000,ok,0.4376,0.4377,60
36,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.000000,ok,0.0261,0.0262,60
37,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.173, true, null, true], ""19"": [1.242, true, null, true]}",5,0.873611,1.098612,91.370000,ok,5.5267,5.5268,60
38,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.210000,ok,0.0344,0.0345,60
39,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.940000,ok,3.9412,3.9413,60
40,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.390000,ok,0.0259,0.0261,60
41,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.500000,ok,0.0385,0.0386,60
42,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.180000,ok,0.0292,0.0293,60
43,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.210000,ok,0.0501,0.0502,60
44,1,1,True,"[8, 9, 14, 17, 19, 21]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""21"": [null, true, 1.391, false]}",6,0.845139,1.386294,90.850000,ok,0.5487,0.5489,60
45,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.090000,ok,0.0294,0.0295,60
46,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.560000,ok,0.0482,0.0483,60
47,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.190000,ok,3.6710,3.6712,60
48,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.530000,ok,0.0473,0.0474,60
49,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.508, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.857744,4.969813,93.050000,ok,3.6537,3.6538,60
50,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.120000,ok,0.0250,0.0251,60
51,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.820000,ok,0.0287,0.0288,60
52,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.500000,ok,0.0239,0.0240,60
53,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.050000,ok,0.0253,0.0254,60
54,1,1,True,"[8, 9, 14, 17, 19, 21]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""21"": [null, true, 1.391, false]}",6,0.845139,1.386294,93.240000,ok,0.5528,0.5529,60
55,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.040000,ok,0.0211,0.0212,60
56,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.350000,ok,0.0282,0.0283,60
57,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.810000,ok,0.0230,0.0231,60
58,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.520000,ok,0.0247,0.0248,60
59,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.590000,ok,0.0173,0.0174,60
60,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.400000,ok,0.0251,0.0252,60
61,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.940000,ok,0.0873,0.0874,60
62,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.080000,ok,0.0316,0.0317,60
63,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.110000,ok,0.0142,0.0142,60
64,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.509, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.494, true, null, true]}",6,0.867548,5.337538,92.510000,ok,2.1762,2.1763,60
65,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.660000,ok,0.0304,0.0305,60
66,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.100000,ok,0.0227,0.0228,60
67,1,1,True,"[8, 9, 14, 17, 19, 21]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""21"": [null, true, 1.391, false]}",6,0.845139,1.386294,91.730000,ok,0.5410,0.5411,60
68,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.950000,ok,0.0208,0.0210,60
69,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.720000,ok,0.0263,0.0264,60
70,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.080000,ok,0.0198,0.0199,60
71,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.220000,ok,0.0210,0.0211,60
72,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.210000,ok,0.0430,0.0431,60
73,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.350000,ok,1.4615,1.4616,60
74,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.700000,ok,2.0787,2.0788,60
75,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.940000,ok,0.0255,0.0257,60
76,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.930000,ok,2.5281,2.5282,60
77,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.120000,ok,0.0407,0.0408,60
78,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.260000,ok,5.1395,5.1396,60
79,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,90.740000,ok,3.1752,3.1753,60
80,1,1,True,"[7, 14, 17, 19, 20]","{""7"": [-0.735, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.502, true, null, true]}",5,0.878350,3.688879,87.890000,ok,0.3758,0.3759,60
81,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.030000,ok,0.0275,0.0277,60
82,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.370000,ok,0.0589,0.0590,60
83,2,1,False,"[0, 6, 7, 14, 17, 19, 20]","{""0"": [null, true, 0.006, false], ""6"": [-1.137, true, null, true], ""7"": [-1.126, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.737, true, null, true], ""20"": [0.502, true, null, true]}",7,0.838766,5.634790,85.470000,ok,0.1116,0.1117,60
84,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.930000,ok,0.0251,0.0252,60
85,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.640000,ok,0.0239,0.0240,60
86,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.540000,ok,0.0377,0.0378,60
87,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,92.320000,ok,4.1986,4.1987,60
88,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.520000,ok,0.0247,0.0247,60
89,2,1,False,"[8, 9, 14, 17, 19, 21]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""21"": [null, true, 1.391, false]}",6,0.845139,1.386294,91.920000,ok,0.2655,0.2656,60
90,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.960000,ok,0.0593,0.0594,60
91,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",6,0.851792,4.682131,92.060000,ok,2.8659,2.8660,60
92,1,2,False,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.170000,ok,0.0346,0.0347,60
93,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true]}",5,0.859722,0.000000,92.340000,ok,1.4110,1.4112,60
94,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,95.700000,ok,0.0430,0.0431,60
95,1,1,True,"[5, 8, 14, 17, 19, 20]","{""5"": [-1.502, true, null, true], ""8"": [-0.907, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true]}",6,0.862208,3.988984,90.440000,ok,0.4451,0.4452,60
96,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.180000,ok,0.0215,0.0216,60
97,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.080000,ok,2.6977,2.6978,60
98,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.060000,ok,1.9418,1.9420,60
99,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.570000,ok,3.2708,3.2710,60
100,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.000000,ok,0.0343,0.0345,60
101,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.430000,ok,0.0385,0.0386,60
102,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.540000,ok,0.3011,0.3012,60
103,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.070000,ok,0.0235,0.0236,60
104,1,1,True,"[0, 14, 16, 17, 19, 20]","{""0"": [null, true, 0.006, false], ""14"": [-0.337, true, null, true], ""16"": [null, true, 0.539, false], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.494, true, null, true]}",6,0.857925,3.258097,85.090000,ok,0.2998,0.2999,60
105,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.840000,ok,0.0577,0.0578,60
