f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.537901,-0.471137,-0.324187,-0.0787172,0.156827,0.404876,0.584112,0.817643,1.06099,1.19936,1.27223,1.29597,1.31215,1.22183,1.16114,0.999211,0.720147,0.407525,0.189785,-0.082497,-0.36527,-0.532531,-0.641225,-0.526385,-0.370003,-0.158021,0.0627222,0.333944,0.612902,0.90274,1.19219,1.44434,1.5342,1.42614,1.42643,1.30343,1.28972,1.31865,1.44879,1.50619,1.56045,1.56603,1.29512,1.06089,0.799345,0.494459,0.187771,-0.0651173,-0.255305,-0.461565,-0.538466,-0.610881,-0.785314,-0.881255,-1.0541,-1.23404,-1.40119,-1.54122,-1.53578,-1.38399,-1.2232,-1.05343,-0.89867,-0.753133,-0.624305,-0.53133,-0.645499,-0.787363,-0.927742,-1.06017,-1.18879,-1.2552,-1.35784,-1.40389,-1.33781,-1.2256,-1.06586,-0.942049,-0.811207,-0.641048,2
-0.609238,-0.621048,-0.431347,-0.202926,0.0471413,0.384237,0.607368,0.840447,1.09216,1.29123,1.3422,1.3759,1.44413,1.46962,1.38412,1.16992,0.83883,0.534425,0.233062,-0.0411742,-0.246029,-0.417235,-0.590468,-0.663028,-0.565121,-0.354129,-0.0773444,0.191055,0.45444,0.751529,1.0447,1.33507,1.50305,1.47427,1.37124,1.34549,1.40385,1.39234,1.44249,1.43043,1.5721,1.58443,1.26301,0.979784,0.679079,0.404158,0.118029,-0.130449,-0.37394,-0.545529,-0.64064,-0.707446,-0.873719,-0.996944,-1.07307,-1.22339,-1.28672,-1.33743,-1.29761,-1.20372,-1.12664,-1.02435,-0.888105,-0.696293,-0.558956,-0.523005,-0.622007,-0.748795,-0.87983,-1.03303,-1.13055,-1.24055,-1.29798,-1.30853,-1.28433,-1.22199,-1.10598,-0.973735,-0.893339,-0.727668,2
-0.691474,-0.605158,-0.416438,-0.141992,0.154507,0.418641,0.71222,1.00546,1.13519,1.23089,1.28528,1.31264,1.35842,1.33972,1.11392,0.822203,0.48747,0.13674,-0.15367,-0.364568,-0.558941,-0.713837,-0.750923,-0.638921,-0.474893,-0.217312,0.0330622,0.318441,0.614226,0.93141,1.24182,1.56597,1.71226,1.57125,1.55944,1.44732,1.26164,1.25083,1.21834,1.39284,1.55727,1.61225,1.36569,1.07457,0.735484,0.458833,0.146245,-0.120405,-0.381961,-0.574875,-0.406499,-0.47216,-0.59466,-0.708247,-0.884916,-1.09395,-1.26602,-1.43728,-1.45065,-1.34622,-1.24478,-1.06326,-0.932779,-0.762943,-0.586771,-0.474893,-0.540181,-0.695326,-0.845749,-0.994713,-1.16784,-1.32407,-1.41323,-1.41643,-1.30423,-1.18033,-1.05335,-0.884295,-0.707812,-0.523533,2
-0.721367,-0.6702,-0.454352,-0.20406,0.0478513,0.328445,0.637316,0.883528,1.08203,1.19003,1.22656,1.33136,1.41718,1.36751,1.26642,1.03647,0.730618,0.519909,0.209512,-0.103096,-0.372883,-0.613023,-0.716415,-0.619158,-0.430621,-0.184502,0.0728899,0.364009,0.633205,0.899909,1.2355,1.49598,1.4804,1.35471,1.3141,1.25855,1.23323,1.32706,1.56324,1.671,1.69124,1.51435,1.32737,0.982717,0.656686,0.388737,0.0982398,-0.193814,-0.44476,-0.599849,-0.409444,-0.406081,-0.519159,-0.69692,-0.908315,-1.06107,-1.23955,-1.35577,-1.42032,-1.42338,-1.26421,-1.07272,-0.887543,-0.756153,-0.683934,-0.812801,-0.891125,-1.02578,-1.1294,-1.22597,-1.23338,-1.22743,-1.20074,-1.22077,-1.18405,-1.1436,-0.997694,-0.898007,-0.682096,-0.532364,2
-0.829908,-0.824301,-0.641229,-0.415677,-0.104653,0.241411,0.561734,0.931572,1.23292,1.4534,1.40516,1.40084,1.46068,1.51675,1.57928,1.49114,1.26499,1.01136,0.689821,0.370845,0.0486084,-0.266701,-0.56069,-0.824975,-0.889369,-0.783062,-0.632334,-0.441014,-0.161014,0.126155,0.432031,0.752705,1.07308,1.40758,1.51378,1.4313,1.37901,1.35583,1.37146,1.43022,1.51782,1.59168,1.39411,1.03022,0.705562,0.383595,0.0228672,-0.283413,-0.537186,-0.765029,-0.356189,-0.399262,-0.540124,-0.691687,-0.905272,-1.16045,-1.35422,-1.42163,-1.39492,-1.24023,-1.02595,-0.875218,-0.676674,-0.521445,-0.389612,-0.431957,-0.529989,-0.697321,-0.786081,-1.00724,-1.19705,-1.32692,-1.35142,-1.36058,-1.25999,-1.13716,-0.91573,-0.696539,-0.519531,-0.448615,3
-0.990218,-0.976087,-0.791973,-0.490441,-0.131945,0.22031,0.55827,0.916243,1.18157,1.39436,1.38858,1.42102,1.49883,1.5846,1.47518,1.27862,0.988849,0.682039,0.37553,0.0608841,-0.244112,-0.559995,-0.835273,-0.976279,-0.936553,-0.704108,-0.444089,-0.150969,0.137394,0.470735,0.811691,1.15765,1.4202,1.62749,1.60797,1.45759,1.418,1.39216,1.41333,1.55134,1.72124,1.52549,1.18212,0.853286,0.527863,0.201066,-0.108824,-0.404308,-0.665262,-0.893198,-0.266326,-0.297639,-0.466055,-0.666692,-0.919068,-1.05328,-1.21139,-1.32279,-1.313,-1.24719,-1.05504,-0.847617,-0.718019,-0.515211,-0.392816,-0.422343,-0.451182,-0.589962,-0.776192,-0.995084,-1.17117,-1.24644,-1.30954,-1.23732,-1.2347,-1.07987,-0.885363,-0.653688,-0.474468,-0.378383,3
-0.7832,-0.714382,-0.630292,-0.370399,-0.0931215,0.224276,0.472293,0.802181,1.08382,1.44596,1.47405,1.39568,1.40344,1.4925,1.56525,1.55723,1.33336,1.01562,0.752005,0.447874,0.0898225,-0.191013,-0.492255,-0.721978,-0.759048,-0.737651,-0.547593,-0.330975,-0.0783308,0.209833,0.497782,0.743767,1.05146,1.37829,1.46923,1.40263,1.36786,1.36305,1.39835,1.36519,1.45185,1.54011,1.36011,1.0322,0.698887,0.394756,0.0541164,-0.235545,-0.459143,-0.687823,-0.28885,-0.458956,-0.648827,-0.743669,-0.948839,-1.18873,-1.4016,-1.5439,-1.46999,-1.29403,-1.10571,-0.928593,-0.750302,-0.558024,-0.379547,-0.36941,-0.479925,-0.640349,-0.879647,-1.08648,-1.28111,-1.40323,-1.42559,-1.37683,-1.27707,-1.09993,-0.941244,-0.720293,-0.506324,-0.305085,3
-0.787353,-0.714188,-0.587204,-0.334668,-0.0528612,0.259599,0.55118,0.835524,1.09658,1.38401,1.4609,1.4119,1.45838,1.56768,1.60763,1.42522,1.2609,0.996579,0.70354,0.401658,0.10661,-0.20178,-0.492732,-0.675193,-0.757881,-0.69449,-0.50635,-0.258086,0.0203041,0.241885,0.566808,0.837534,1.14859,1.36919,1.42497,1.37974,1.40311,1.41215,1.45813,1.40864,1.43954,1.46642,1.29281,0.969443,0.649496,0.334422,0.0270377,-0.264367,-0.505823,-0.681224,-0.324015,-0.374291,-0.51625,-0.681525,-0.907805,-1.09527,-1.32207,-1.50041,-1.57011,-1.37227,-1.18195,-0.999086,-0.822403,-0.625922,-0.462858,-0.393914,-0.515119,-0.719188,-0.946222,-1.14225,-1.26936,-1.3733,-1.37499,-1.31949,-1.25265,-1.10715,-0.962051,-0.771575,-0.569013,-0.391401,3
-0.913202,-0.799982,-0.582589,-0.319314,-0.00456619,0.346058,0.664928,0.978673,1.24607,1.45308,1.45798,1.48116,1.56895,1.59257,1.50255,1.30066,1.04976,0.734451,0.437975,0.122581,-0.186062,-0.490515,-0.7699,-0.890206,-0.849049,-0.70002,-0.485992,-0.221826,0.0690124,0.390913,0.665597,0.954162,1.24384,1.51035,1.57073,1.38088,1.43013,1.51146,1.3693,1.32896,1.42924,1.53374,1.24897,0.931211,0.625509,0.291486,-0.0243535,-0.332528,-0.602532,-0.822443,-0.352962,-0.168503,-0.205693,-0.343759,-0.508163,-0.678784,-0.905938,-1.09082,-1.2208,-1.40265,-1.43627,-1.3637,-1.19548,-1.01541,-0.830643,-0.67308,-0.502592,-0.525009,-0.666105,-0.791826,-0.985065,-1.1377,-1.35713,-1.41776,-1.33714,-1.16656,-1.04244,-0.836794,-0.714371,-0.554712,3
-0.408524,-0.443165,-0.284305,-0.0975316,0.194826,0.359563,0.603014,0.91304,1.08968,1.14903,1.19774,1.20412,1.21398,1.16956,1.05466,0.807147,0.578348,0.326275,0.0934174,-0.172071,-0.377054,-0.545618,-0.522344,-0.378562,-0.184752,-0.0131723,0.233604,0.503229,0.780973,1.02941,1.32811,1.50011,1.58718,1.57257,1.38019,1.26861,1.19685,1.21027,1.2763,1.36476,1.57187,1.53433,1.37269,1.17853,0.875346,0.588709,0.312357,0.059202,-0.169906,-0.331317,-0.607206,-0.720484,-0.78617,-0.88986,-1.03677,-1.19471,-1.32954,-1.42441,-1.40213,-1.29601,-1.27012,-1.12276,-0.971822,-0.81938,-0.708847,-0.750949,-0.824367,-0.933972,-1.0099,-1.1603,-1.25441,-1.37893,-1.39348,-1.40903,-1.29812,-1.17155,-1.06623,-0.994594,-0.839948,-0.685302,1
