f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.537901,-0.471137,-0.324187,-0.0787172,0.156827,0.404876,0.584112,0.817643,1.06099,1.19936,1.27223,1.29597,1.31215,1.22183,1.16114,0.999211,0.720147,0.407525,0.189785,-0.082497,-0.36527,-0.532531,-0.641225,-0.526385,-0.370003,-0.158021,0.0627222,0.333944,0.612902,0.90274,1.19219,1.44434,1.5342,1.42614,1.42643,1.30343,1.28972,1.31865,1.44879,1.50619,1.56045,1.56603,1.29512,1.06089,0.799345,0.494459,0.187771,-0.0651173,-0.255305,-0.461565,-0.538466,-0.610881,-0.785314,-0.881255,-1.0541,-1.23404,-1.40119,-1.54122,-1.53578,-1.38399,-1.2232,-1.05343,-0.89867,-0.753133,-0.624305,-0.53133,-0.645499,-0.787363,-0.927742,-1.06017,-1.18879,-1.2552,-1.35784,-1.40389,-1.33781,-1.2256,-1.06586,-0.942049,-0.811207,-0.641048,1
-0.609238,-0.621048,-0.431347,-0.202926,0.0471413,0.384237,0.607368,0.840447,1.09216,1.29123,1.3422,1.3759,1.44413,1.46962,1.38412,1.16992,0.83883,0.534425,0.233062,-0.0411742,-0.246029,-0.417235,-0.590468,-0.663028,-0.565121,-0.354129,-0.0773444,0.191055,0.45444,0.751529,1.0447,1.33507,1.50305,1.47427,1.37124,1.34549,1.40385,1.39234,1.44249,1.43043,1.5721,1.58443,1.26301,0.979784,0.679079,0.404158,0.118029,-0.130449,-0.37394,-0.545529,-0.64064,-0.707446,-0.873719,-0.996944,-1.07307,-1.22339,-1.28672,-1.33743,-1.29761,-1.20372,-1.12664,-1.02435,-0.888105,-0.696293,-0.558956,-0.523005,-0.622007,-0.748795,-0.87983,-1.03303,-1.13055,-1.24055,-1.29798,-1.30853,-1.28433,-1.22199,-1.10598,-0.973735,-0.893339,-0.727668,1
-0.672358,-0.620574,-0.462002,-0.25596,0.0291951,0.28799,0.502693,0.814335,1.13408,1.37799,1.39224,1.37761,1.40757,1.42961,1.3788,1.1772,0.875812,0.59885,0.332894,0.0381385,-0.210024,-0.372662,-0.497681,-0.542898,-0.477574,-0.291234,-0.115493,0.14277,0.411696,0.712018,1.00055,1.29549,1.47671,1.48424,1.47789,1.42136,1.38005,1.38155,1.42642,1.5885,1.50738,1.36485,1.17091,0.999175,0.697508,0.389462,0.11916,-0.13707,-0.350241,-0.548277,-0.483797,-0.5737,-0.689463,-0.805508,-0.934436,-1.11459,-1.25843,-1.40296,-1.40499,-1.33836,-1.22913,-1.0835,-0.970304,-0.855291,-0.764169,-0.699439,-0.821018,-0.939752,-1.08366,-1.18741,-1.27241,-1.36982,-1.33197,-1.29558,-1.18876,-1.04538,-0.904135,-0.787215,-0.667136,-0.546338,0
-0.702323,-0.665425,-0.515592,-0.232218,0.0740027,0.415047,0.673334,0.969735,1.20844,1.26921,1.30351,1.37321,1.45757,1.4241,1.26423,0.997118,0.68744,0.369077,0.0810836,-0.222095,-0.488513,-0.683487,-0.673336,-0.566348,-0.328419,-0.0826344,0.127192,0.404841,0.692529,0.978476,1.27142,1.50487,1.53834,1.47002,1.43406,1.35938,1.19668,1.26202,1.39091,1.51178,1.67664,1.46946,1.21555,0.924871,0.63107,0.367943,0.0871134,-0.174382,-0.419336,-0.586927,-0.67245,-0.756785,-0.799823,-0.901722,-1.02459,-1.1737,-1.26127,-1.32152,-1.29278,-1.18457,-1.05061,-0.927003,-0.841368,-0.777391,-0.672921,-0.674138,-0.780628,-0.814207,-0.935107,-1.09512,-1.22379,-1.2809,-1.31966,-1.27765,-1.19909,-1.11896,-1.01294,-0.893507,-0.793794,-0.663212,0
-0.654831,-0.594725,-0.469764,-0.226774,0.0697745,0.28629,0.543527,0.797203,1.09988,1.4094,1.4644,1.45419,1.49277,1.49533,1.53375,1.47412,1.18765,0.909905,0.604692,0.3015,0.0114017,-0.258191,-0.509107,-0.599185,-0.632977,-0.492837,-0.284313,0.0105674,0.232474,0.515095,0.720635,0.978515,1.24236,1.38648,1.39903,1.41373,1.43728,1.4033,1.41174,1.33774,1.33658,1.36909,1.25382,0.994143,0.692428,0.397612,0.108379,-0.146741,-0.389249,-0.563565,-0.554965,-0.625468,-0.788071,-0.950192,-1.08311,-1.23917,-1.34598,-1.41844,-1.373,-1.25152,-1.10583,-0.951732,-0.858285,-0.725558,-0.616033,-0.578102,-0.694751,-0.817305,-0.954139,-1.12059,-1.21821,-1.27662,-1.32471,-1.28685,-1.22916,-1.13407,-1.05115,-0.926124,-0.795034,-0.66035,0
-0.691474,-0.605158,-0.416438,-0.141992,0.154507,0.418641,0.71222,1.00546,1.13519,1.23089,1.28528,1.31264,1.35842,1.33972,1.11392,0.822203,0.48747,0.13674,-0.15367,-0.364568,-0.558941,-0.713837,-0.750923,-0.638921,-0.474893,-0.217312,0.0330622,0.318441,0.614226,0.93141,1.24182,1.56597,1.71226,1.57125,1.55944,1.44732,1.26164,1.25083,1.21834,1.39284,1.55727,1.61225,1.36569,1.07457,0.735484,0.458833,0.146245,-0.120405,-0.381961,-0.574875,-0.406499,-0.47216,-0.59466,-0.708247,-0.884916,-1.09395,-1.26602,-1.43728,-1.45065,-1.34622,-1.24478,-1.06326,-0.932779,-0.762943,-0.586771,-0.474893,-0.540181,-0.695326,-0.845749,-0.994713,-1.16784,-1.32407,-1.41323,-1.41643,-1.30423,-1.18033,-1.05335,-0.884295,-0.707812,-0.523533,1
-0.561135,-0.496708,-0.409063,-0.209449,0.0430297,0.286497,0.604479,0.855358,1.11934,1.31686,1.31022,1.30376,1.31376,1.37009,1.31474,1.16417,0.922583,0.702026,0.441859,0.155738,-0.119159,-0.363427,-0.532658,-0.526538,-0.432097,-0.266802,-0.044615,0.161581,0.423869,0.696952,0.995036,1.29826,1.45685,1.50036,1.48111,1.40038,1.30539,1.30714,1.40487,1.47185,1.5388,1.52404,1.29278,0.995774,0.695106,0.416919,0.180924,-0.0951722,-0.323048,-0.507164,-0.682669,-0.700474,-0.814566,-0.924045,-1.06711,-1.22708,-1.33373,-1.37329,-1.35816,-1.24323,-1.14605,-0.99945,-0.849962,-0.734241,-0.648902,-0.711945,-0.795192,-0.872934,-0.980845,-1.07996,-1.19033,-1.3174,-1.37608,-1.40012,-1.31851,-1.19165,-1.06031,-0.911683,-0.831388,-0.744174,0
-0.813992,-0.741937,-0.548234,-0.283359,0.0540898,0.342671,0.645794,0.958289,1.20626,1.37711,1.38049,1.42048,1.50227,1.55732,1.42359,1.20496,0.870967,0.601678,0.345164,0.0437555,-0.248903,-0.51936,-0.723632,-0.812278,-0.708156,-0.535095,-0.266975,-0.0320121,0.216479,0.524924,0.803379,1.12421,1.44047,1.56588,1.51369,1.42229,1.4641,1.38231,1.36231,1.4628,1.56744,1.48279,1.21587,0.904982,0.5969,0.292999,-0.00433281,-0.290396,-0.54652,-0.708468,-0.699847,-0.552856,-0.395141,-0.204527,-0.167293,-0.359983,-0.574122,-0.751882,-0.964514,-1.1758,-1.40513,-1.55534,-1.40844,-1.22659,-1.07225,-0.980301,-0.868156,-0.768734,-0.70504,-0.644904,-0.6132,-0.805761,-0.970772,-1.12096,-1.33268,-1.52071,-1.4394,-1.2599,-1.0508,-0.900068,0
-0.555587,-0.558043,-0.453387,-0.231052,0.0093828,0.294213,0.579015,0.73364,1.03447,1.32226,1.48063,1.50574,1.47677,1.54437,1.59955,1.46932,1.19867,0.938095,0.653596,0.348955,0.147894,-0.145849,-0.380572,-0.550427,-0.544109,-0.480178,-0.388988,-0.225754,-0.017464,0.263338,0.561026,0.845525,1.07387,1.36778,1.42738,1.40945,1.3217,1.36778,1.41883,1.45304,1.4696,1.44256,1.41634,1.10856,0.816498,0.499192,0.206305,-0.0574445,-0.308723,-0.47993,-0.721662,-0.79707,-0.872479,-0.970071,-1.09636,-1.20953,-1.27302,-1.30636,-1.22299,-1.12823,-1.03406,-0.931994,-0.853357,-0.773203,-0.688497,-0.771051,-0.850378,-0.920764,-1.01678,-1.07862,-1.14818,-1.18542,-1.25481,-1.23824,-1.22866,-1.14509,-1.07354,-0.969078,-0.889365,-0.778998,0
-0.721367,-0.6702,-0.454352,-0.20406,0.0478513,0.328445,0.637316,0.883528,1.08203,1.19003,1.22656,1.33136,1.41718,1.36751,1.26642,1.03647,0.730618,0.519909,0.209512,-0.103096,-0.372883,-0.613023,-0.716415,-0.619158,-0.430621,-0.184502,0.0728899,0.364009,0.633205,0.899909,1.2355,1.49598,1.4804,1.35471,1.3141,1.25855,1.23323,1.32706,1.56324,1.671,1.69124,1.51435,1.32737,0.982717,0.656686,0.388737,0.0982398,-0.193814,-0.44476,-0.599849,-0.409444,-0.406081,-0.519159,-0.69692,-0.908315,-1.06107,-1.23955,-1.35577,-1.42032,-1.42338,-1.26421,-1.07272,-0.887543,-0.756153,-0.683934,-0.812801,-0.891125,-1.02578,-1.1294,-1.22597,-1.23338,-1.22743,-1.20074,-1.22077,-1.18405,-1.1436,-0.997694,-0.898007,-0.682096,-0.532364,1
