f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.50175,-0.440701,-0.260056,-0.0358578,0.253357,0.516014,0.75887,0.96189,1.14418,1.37687,1.47087,1.47373,1.51055,1.50054,1.40349,1.18975,0.908454,0.715013,0.446154,0.171255,-0.0816446,-0.324429,-0.456553,-0.483021,-0.411499,-0.263576,-0.0851653,0.116658,0.343786,0.577707,0.802476,1.04213,1.28322,1.46515,1.41726,1.38098,1.42387,1.43781,1.3833,1.35614,1.45282,1.34845,1.1608,0.937227,0.673659,0.435557,0.184462,-0.0600201,-0.271082,-0.412303,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,-1.06456,8
-0.418014,-0.435762,-0.279931,-0.0453021,0.205123,0.462538,0.707016,0.97072,1.19366,1.40221,1.39728,1.36129,1.38781,1.47608,1.5831,1.4721,1.28117,1.02698,0.809338,0.566376,0.33063,0.0370176,-0.220814,-0.370452,-0.413468,-0.380927,-0.250666,-0.0762904,0.133809,0.351863,0.595508,0.826764,1.05785,1.25806,1.2842,1.18817,1.18912,1.26431,1.29651,1.26564,1.26943,1.32625,1.29026,1.07319,0.835856,0.583972,0.327467,0.0776092,-0.16005,-0.337285,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,-1.09258,8
-0.418709,-0.362733,-0.18372,0.0394231,0.252654,0.516536,0.737438,0.906723,1.09659,1.31581,1.29524,1.30039,1.33205,1.41699,1.42089,1.24281,1.05176,0.822965,0.593302,0.39535,0.151128,-0.0939982,-0.298017,-0.42533,-0.347433,-0.212572,-0.0402019,0.18144,0.375382,0.619563,0.861893,1.07932,1.30985,1.3849,1.35529,1.35611,1.29051,1.30039,1.28208,1.32506,1.40938,1.38038,1.22204,0.962925,0.734826,0.486162,0.255246,0.02036,-0.174898,-0.329706,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,-1.10646,8
-0.380697,-0.412335,-0.294163,-0.0737237,0.198663,0.45045,0.696632,0.977708,1.16846,1.39864,1.41475,1.39812,1.35648,1.42692,1.51467,1.38578,1.15647,0.931605,0.696632,0.492388,0.21138,-0.0539798,-0.229156,-0.383045,-0.432902,-0.34354,-0.19738,-0.00676233,0.220018,0.452901,0.69766,0.941031,1.18869,1.34054,1.28398,1.24439,1.29992,1.37978,1.30729,1.24233,1.26204,1.38373,1.26547,1.01953,0.767758,0.538235,0.291539,0.0534806,-0.124626,-0.297642,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,8
-0.462901,-0.402057,-0.216628,0.0164362,0.263373,0.495189,0.737636,0.95393,1.17359,1.40874,1.45102,1.40733,1.45928,1.51787,1.47478,1.30868,1.12204,0.847947,0.612688,0.403059,0.178148,-0.0886201,-0.300263,-0.501134,-0.502825,-0.39793,-0.230259,-0.0287634,0.201261,0.442681,0.683417,0.907562,1.14922,1.33244,1.27204,1.25573,1.35499,1.45123,1.40029,1.33083,1.35438,1.39083,1.26459,0.990774,0.738159,0.479425,0.23585,-0.0129989,-0.22291,-0.386192,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,-1.07713,8
-0.418634,-0.370753,-0.215533,0.00257517,0.247341,0.492159,0.756975,0.986254,1.26863,1.42723,1.37875,1.31588,1.36702,1.4766,1.46044,1.29279,1.07612,0.788233,0.565756,0.335109,0.0642727,-0.187348,-0.340828,-0.37807,-0.335394,-0.212372,-0.0564228,0.126663,0.330581,0.572398,0.797645,1.03474,1.20115,1.32955,1.34074,1.28497,1.2935,1.29723,1.29936,1.27467,1.33914,1.3601,1.23862,0.992648,0.755555,0.514075,0.2659,0.047099,-0.158915,-0.32456,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,-1.09999,8
-0.482855,-0.434845,-0.270129,-0.0356387,0.225823,0.461731,0.706829,0.945729,1.13132,1.36597,1.39519,1.45009,1.45275,1.48321,1.42601,1.28486,1.04526,0.761728,0.514983,0.272133,0.0247328,-0.175224,-0.403676,-0.465641,-0.424361,-0.286688,-0.103554,0.118894,0.34391,0.578082,0.828316,0.9475,1.1609,1.38174,1.37235,1.31373,1.36987,1.42955,1.43787,1.34508,1.35287,1.39573,1.20623,1.02454,0.759072,0.487392,0.243409,0.00199386,-0.231239,-0.379786,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,-1.07846,8
-0.411043,-0.363551,-0.247077,-0.0152523,0.239453,0.48419,0.723005,0.911868,1.13337,1.38197,1.40444,1.3365,1.34078,1.4287,1.39981,1.26338,1.04955,0.837143,0.619835,0.396714,0.120928,-0.158941,-0.327009,-0.42317,-0.362445,-0.270921,-0.103709,0.0968881,0.316942,0.546627,0.778647,1.0096,1.16404,1.36289,1.45598,1.29423,1.26748,1.29191,1.28995,1.30172,1.2698,1.36753,1.30689,1.09092,0.851767,0.587681,0.336274,0.0931072,-0.121882,-0.299652,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,-1.10159,8
-0.497439,-0.47073,-0.320724,-0.105645,0.150251,0.411608,0.681205,0.946634,1.15506,1.36734,1.46634,1.4233,1.44916,1.49876,1.51593,1.33241,1.12032,0.86039,0.636375,0.368495,0.108817,-0.113306,-0.280622,-0.461312,-0.513534,-0.361077,-0.202059,0.0373557,0.280398,0.524001,0.757665,0.973265,1.19732,1.38606,1.35769,1.30307,1.37139,1.40323,1.36734,1.40053,1.39493,1.34437,1.1896,0.947792,0.707817,0.459139,0.207393,-0.0360936,-0.249784,-0.435568,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,-1.06849,8
-0.439897,-0.430374,-0.264724,-0.0348945,0.229603,0.518281,0.772827,0.970415,1.14821,1.41909,1.39074,1.37415,1.44013,1.49809,1.43353,1.252,1.01054,0.813664,0.580214,0.318214,0.0766323,-0.135008,-0.344865,-0.432264,-0.41518,-0.292187,-0.111879,0.105129,0.339185,0.584066,0.835599,1.07474,1.2709,1.33706,1.24379,1.23969,1.37023,1.39591,1.27875,1.20367,1.23292,1.38432,1.3194,1.04941,0.797615,0.528927,0.277591,0.0400392,-0.166893,-0.344491,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,-1.09142,8
