f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,class
0.39815,0.503921,0.525904,0.607302,0.572887,0.804101,0.721741,0.688301,-0.419047,-0.853947,-0.924635,-0.59134,-0.45592,-0.0588582,-0.0111062,0.19553,0.276457,0.267343,0.340661,0.392721,0.412565,0.522523,0.702703,0.71322,0.793135,0.786384,0.840024,0.828899,0.861255,0.871353,0.868995,0.90895,0.845082,0.871103,0.881453,0.849616,0.890539,0.785365,0.498801,0.402727,-0.49187,-0.12686,-0.077103,-0.19989,-0.706619,-0.935359,-0.904999,-0.945364,-0.965731,-0.980951,-0.884037,-0.786521,-7.51771,-0.650792,-0.628479,-0.528847,-0.333676,-0.142343,-0.0953471,-0.0458284,-0.0706105,-0.271782,0.0685687,0.00275354,0.132073,0.27793,-0.0354199,-0.264086,-0.282185,-0.181551,-0.181551,-0.192027,-0.180507,-0.144955,-0.103166,-0.105779,0.0209679,0.10877,0.130787,0.172185,0.173916,0.210307,0.259983,0.288846,2
-1.09437,-1.25131,-1.4177,-1.50149,-1.35448,-1.19375,-1.03656,-0.804107,-0.760073,-0.489427,-0.372904,-0.243955,-0.147961,0.0556762,0.182703,0.346242,0.487967,0.555664,0.580593,0.553299,0.588893,0.560407,0.558513,0.687233,0.708528,0.764076,0.745181,0.747542,0.759354,0.839612,0.833549,0.915602,0.910302,1.01964,1.02492,1.02317,1.08183,1.09637,1.14275,1.14275,1.1568,1.17552,1.18487,1.21644,1.24238,1.278,1.31274,1.35527,1.36109,1.36109,1.33197,1.28995,1.03441,0.490495,0.00737306,-0.309275,-0.435491,-0.774744,-0.958585,-1.10725,-1.20054,-1.34148,-1.46485,-1.52797,-1.56975,-1.6284,-1.5817,-1.5802,-1.41522,-1.36811,-1.29508,-1.21192,-1.10989,-1.08156,-0.831042,-0.716078,-0.635516,-0.431121,-0.254227,-0.0929789,0.0542445,0.174153,0.288964,0.362948,2
0.0816999,0.0575797,0.0193091,-0.0179979,-0.0450129,-0.0581989,-0.122842,-0.421939,-0.41229,-0.304506,-0.174943,-0.0503429,0.102927,0.108716,0.25344,0.395462,0.586111,0.494431,0.613127,0.563149,0.591405,0.61139,0.530207,0.574313,0.411671,0.4374,0.231056,0.0366751,-0.0128519,0.162746,0.108716,0.0488967,-0.0583927,0.417845,0.643229,0.732765,0.730707,0.688254,0.678927,0.630879,0.573762,0.526678,0.494003,0.454123,0.392374,0.345291,0.28946,0.250867,0.206485,0.147585,0.097964,-0.0167119,-0.116282,-0.173014,-0.232833,-0.285576,-0.323526,-0.352471,-0.388491,-0.421167,-0.477898,-0.529999,-0.55977,-0.59818,-0.60057,-0.653497,-0.74805,-0.096471,0.320977,0.398164,-8.40928,0.0990674,0.102927,0.0305647,-0.213536,-0.385918,0.0250965,0.192977,0.221922,0.180499,0.169178,0.122224,0.0535274,0.0238113,1
-1.42548,-1.45166,-1.48676,-1.53528,-1.55861,-1.58289,-1.62002,-1.60212,-1.51867,-1.33172,-1.067,-0.819644,-0.545947,-0.301711,-0.0769816,0.168319,0.427476,0.645166,0.955128,1.12311,1.3216,1.4551,1.51549,1.63035,1.68209,1.80941,1.98457,1.89219,1.81687,1.76851,1.72507,1.65026,1.5158,1.37866,1.21837,1.02561,0.870725,0.671109,0.520283,0.386653,0.277556,0.208981,0.115671,0.0509172,-0.014238,-0.0680324,-0.117403,-0.157825,-0.190403,-0.214294,-0.234846,-0.25918,-0.29168,-0.326523,-0.361739,-0.393715,-0.417243,-0.450047,-0.481897,-0.51445,-0.55017,-0.575157,-0.607886,-0.637447,-0.672815,-0.69657,-0.725076,-0.750532,-0.772586,-0.800458,-0.845585,-0.854635,-0.853429,-0.883231,-0.893247,-0.900335,0.190807,0.708513,0.192089,0.060067,0.179722,0.382959,0.416918,0.495045,1
-0.500857,-0.529616,-0.56982,-0.624989,-0.678105,-0.712733,-0.744573,-0.769077,-0.799596,-0.822486,-0.846696,-0.869146,-0.887985,-0.907001,-0.910523,-0.924022,-0.931065,-0.47235,0.218112,0.35633,0.549131,0.682193,0.879395,1.06239,1.20413,1.3039,1.44535,1.59736,1.72671,1.77813,1.85795,1.94942,1.98766,1.97049,1.91547,1.31294,0.992486,0.865844,0.731368,0.626017,0.499244,0.409152,0.255792,0.146508,0.0637533,-0.0171235,-0.140727,-0.189206,-0.217232,-0.263451,-0.311871,-0.341804,-0.345325,-0.379953,-0.40343,-4.05984,-0.440405,-0.472099,-0.493227,-0.52316,-0.54018,-0.553533,-0.614132,-0.649933,-0.640689,-0.654863,-0.676785,-0.692191,-0.708478,-0.729167,-0.753817,-0.768783,-0.777587,-0.786391,-0.786919,-0.79314,-0.799009,0.200505,0.513916,0.642451,0.911844,1.08792,1.10764,1.17361,1
-0.185213,-0.114951,0.119722,0.127739,0.287097,0.118319,-0.339426,-0.402731,-0.379598,-0.317626,-0.0918304,-0.0431801,0.0217993,0.435161,0.547925,0.68072,0.833127,0.776266,0.862224,0.458862,0.767243,0.542716,0.542715,0.502191,0.509242,0.519109,0.563843,0.616611,0.616606,0.640958,0.634539,0.620476,0.610831,0.657018,0.688622,0.793068,0.808641,0.860238,0.882363,0.897498,0.946826,0.952408,0.991438,0.985867,0.971935,0.988188,1.03601,1.0207,1.0381,1.04157,1.09259,1.11113,1.14188,1.14307,1.06444,0.910299,0.790233,0.125664,-0.354768,-0.471915,-0.772944,-1.10428,-1.25473,-1.43157,-1.62758,-1.72286,-1.85524,-1.8788,-1.97561,-1.91849,-1.93763,-1.89245,-1.71051,-1.77726,-1.755,-1.73275,-1.44298,-1.18177,-1.03655,-0.972125,-0.853856,-0.631341,-0.445969,-0.282301,2
-0.0268303,-0.058356,-0.0515826,-0.15076,-0.111278,-0.154695,-0.0201052,-0.0684674,-0.198724,-0.400815,-0.446466,-0.5016,-0.478329,0.670046,0.844613,0.981975,1.05306,0.940311,0.969796,0.953707,0.96293,0.993322,1.00554,1.0248,0.998492,1.02069,1.02918,1.08888,1.09568,1.09512,1.08888,1.0763,1.09099,1.10912,1.1463,1.17775,1.22925,1.25667,1.24826,1.30614,1.31453,1.3712,1.40118,1.40676,1.42885,1.42153,1.43048,-0.0380775,-0.245609,-0.475082,-0.730608,-0.619281,-0.917129,-1.00942,-1.08964,-0.627811,-0.564526,-0.675176,-0.915038,-1.06433,-1.1976,-1.28337,-1.29966,-1.34966,-1.46441,-1.43356,-1.44874,-1.36923,-1.29751,-1.24695,-1.20666,-1.04798,-0.939525,-0.886613,-0.886999,-0.924878,-0.924875,-0.89929,-0.935711,-0.906793,-0.867482,-0.925652,-0.934069,-0.915406,2
-1.5141,-1.50338,-1.54438,-1.58764,-1.61759,-1.63989,-1.66365,-1.62591,-1.52108,-1.30305,-0.904554,-0.538053,-0.286472,0.00315797,0.258622,0.507097,0.719855,0.892234,1.06927,1.2137,1.42801,1.57244,1.6858,1.74365,1.80538,1.68425,1.52274,1.56312,1.61786,1.61048,1.59418,1.59495,1.53633,1.41054,1.25656,1.05995,0.888353,0.715972,0.568772,0.454296,0.348073,0.272599,0.191843,0.131666,0.0715997,0.0101472,-0.0279019,-0.080314,-0.118751,-0.15509,-0.184907,-0.199815,-0.253082,-0.289577,-0.32452,-0.367536,-0.404109,-0.448369,-0.490532,-0.5365,-0.568668,-0.59396,-0.63589,-0.672495,-0.714425,-0.744209,-0.786528,-0.817588,-0.845541,-0.875492,-0.911431,-0.926295,-0.945376,-0.95669,-0.976923,-0.969002,0.384413,0.338755,-0.190187,-0.199505,0.0116996,0.239402,0.167307,0.31586,1
0.592068,0.444566,0.333153,0.245489,0.139555,0.0446384,0.0209397,-0.113879,-0.107826,0.0183026,0.0116328,0.138819,0.448946,0.829884,1.1811,1.18141,1.05028,1.09863,1.12425,1.14506,1.04653,1.16013,0.414553,0.44331,0.503793,0.525847,0.551244,0.562917,0.561043,0.559707,0.571182,0.57371,0.601863,0.632372,0.663418,0.671175,0.691337,0.71961,0.675054,0.670528,0.668589,0.67796,0.715735,0.778744,0.913319,0.902281,0.935768,0.910201,0.878003,0.878003,0.872216,0.838336,0.815997,0.748399,0.374232,-0.158945,-0.552147,-0.890979,-1.13983,-1.34852,-1.5066,-1.70924,-1.84999,-1.93267,-1.94168,-1.98827,-2.01038,-2.02297,-1.9847,-1.89466,-1.83506,-1.7101,-1.59515,-1.42997,-1.20155,-1.00992,-0.826732,-0.701168,-0.582416,-0.438239,-0.244098,-0.0951958,0.000437074,0.0666279,2
-0.267913,-0.302348,-0.331589,-0.358379,-0.379215,-0.396024,-0.413534,-0.434195,-0.452346,-0.470731,-0.485323,-0.493494,-0.466062,-0.333865,-0.0624683,0.206303,0.478357,0.683561,0.89676,1.05639,1.1203,1.26694,1.38469,1.48508,1.54053,1.67593,1.70643,1.73576,1.72729,1.68527,1.61232,1.59831,1.45736,1.29539,1.16524,1.06777,1.07886,-0.100114,-0.321901,-0.551859,-0.648599,-0.780066,-0.813101,-0.725553,-0.845668,-0.922623,-0.998351,-1.0592,-1.11707,-1.16732,-0.334741,-0.230384,-0.184159,-0.189996,-0.195978,-0.213342,-3.86927,-0.210424,-0.210132,-0.23231,-0.243692,-0.265578,-0.277397,-0.288049,-0.304975,-0.294469,-0.311979,-0.301473,-0.306726,-0.110619,-0.64641,-0.483134,-0.348165,-0.211007,-0.00775083,0.153482,0.0688531,0.0859249,0.176536,0.254162,-3.86927,0.387818,0.424821,0.363888,1
