f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,class
2.48394,2.27629,2.06752,1.92189,1.71878,1.50843,1.30068,1.09029,0.882733,0.672301,0.463383,0.254525,0.0457384,-0.156189,-0.208985,-0.394913,-0.594162,-0.797171,-0.974597,-1.12816,-1.24714,-1.35083,-1.4283,-1.47654,-1.45461,-1.31884,-1.11998,-1.1041,-1.20813,-1.29451,-1.39318,-1.4104,-1.33368,-1.24348,-1.11457,-0.966537,-0.802491,-0.644422,-0.457249,-0.259533,-0.054255,0.143517,0.33845,0.502352,0.630603,0.802583,0.924996,1.01857,0.941606,0.786402,0.636068,0.491153,0.337626,0.204799,0.0793927,-0.0390215,-0.163099,-0.261878,-0.368195,-0.444798,-0.515532,-0.578858,-0.604171,-0.440134,-0.241605,-0.044281,0.157949,0.361403,0.5659,0.772892,0.980212,1.16321,1.2201,1.24482,1.25767,1.11385,0.949495,0.743041,0.539382,0.335197,0.132404,-0.0745594,-0.278558,-0.476485,-0.573086,-0.521204,-0.455704,-0.361561,-0.271026,-0.186352,-0.0749277,0.0601741,0.187535,0.310688,0.45322,0.597458,0.750491,0.8775,0.860533,0.728972,0.565174,0.417365,0.272961,0.0616885,-0.129862,-0.31681,-0.491465,-0.676339,-0.82939,-0.969788,-1.13161,-1.25445,-1.33363,-1.40729,-1.3468,-1.24442,-1.14508,-1.07106,-1.25794,-1.40854,-1.43857,-1.38452,-1.30686,-1.2137,-1.09705,-0.960141,-0.775782,-0.581697,-0.385488,-0.205275,-0.116994,0.0902792,0.297792,0.505507,0.713395,0.91586,1.12045,1.32635,1.53221,1.73992,1.94573,2.15399,2.36123,2.48394,1
2.60332,2.3407,2.08228,1.82562,1.56771,1.3122,1.05719,0.801716,0.546683,0.291849,0.0366201,-0.0761458,-0.0773454,-0.327159,-0.553852,-0.777401,-0.98744,-1.17724,-1.3417,-1.48776,-1.59138,-1.53984,-1.36175,-1.1602,-0.944457,-0.724193,-0.492965,-0.256541,-0.018474,0.229068,0.475847,0.727388,0.979849,1.21466,1.35309,1.42968,1.22981,0.974865,0.724107,0.473934,0.224473,-0.0265012,-0.277013,-0.523586,-0.768432,-1.01098,-1.25825,-1.49426,-1.72405,-1.94425,-2.10248,-1.89029,-1.57386,-1.24275,-0.911613,-0.580455,-0.401822,-0.236612,0.0800878,0.129462,0.227202,0.341617,0.512348,0.54215,0.603805,0.470661,0.309674,0.140812,-0.0152944,-0.155687,-0.255515,-0.0982475,0.145961,0.371018,0.175757,-0.0812468,-0.335955,-0.240189,-0.0771189,-0.234805,-0.317426,-0.18653,0.0275554,0.323819,0.595115,0.480473,0.288884,0.456031,0.60415,0.592329,0.338923,0.0594114,-0.247761,-0.554472,-0.86047,-1.1503,-1.38895,-1.56479,-1.652,-1.40129,-1.15978,-0.915154,-0.668307,-0.419827,-0.170107,0.0767609,0.326287,0.578575,0.831323,1.08445,1.32391,1.24202,1.12275,0.895639,0.634772,0.378189,0.124934,-0.123513,-0.365471,-0.598588,-0.826467,-1.03667,-1.16468,-1.11173,-1.03018,-0.927159,-0.79056,-0.635387,-0.465536,-0.279973,-0.0640313,0.0110873,-0.058284,0.174144,0.427274,0.676066,0.921299,1.17172,1.4189,1.66361,1.91583,2.16247,2.40528,2.60529,4
2.75732,2.57667,2.36332,2.15158,1.94022,1.72943,1.51943,1.30955,1.10025,0.891493,0.683162,0.482842,0.298635,0.135672,-0.0448493,-0.239307,-0.431527,-0.626913,-0.813971,-0.997326,-1.18132,-1.35829,-1.46597,-1.50895,-1.49686,-1.47821,-1.41221,-1.32392,-1.19189,-1.04465,-0.897045,-0.713318,-0.516016,-0.30552,-0.106258,0.0436199,0.110293,0.171954,0.224522,0.226481,0.0624734,-0.0976321,-0.253302,-0.401338,-0.540695,-0.667066,-0.778706,-0.880961,-0.822913,-0.669114,-0.427322,-0.146678,0.119587,0.396115,0.590199,0.749911,0.811053,0.764219,0.712065,0.679347,0.657649,0.638661,0.612403,0.473542,0.271318,0.0544517,-0.195017,-0.382116,-0.53878,-0.561132,-0.723742,-0.535097,-0.628415,-0.651604,-0.563214,-0.630903,-0.415406,-0.242403,-0.00983671,0.198526,0.399029,0.598177,0.606952,0.625974,0.64696,0.675878,0.70707,0.748467,0.724612,0.546738,0.343734,0.0868547,-0.180822,-0.42481,-0.54122,-0.681926,-0.795951,-0.678769,-0.560631,-0.428456,-0.292591,-0.146905,0.00538456,0.14491,0.134075,0.0567569,0.00418143,-0.133171,-0.316913,-0.505062,-0.683324,-0.869736,-1.02417,-1.159,-1.27749,-1.38245,-1.46212,-1.50588,-1.52124,-1.51434,-1.46524,-1.35371,-1.18401,-1.00892,-0.81948,-0.636882,-0.45117,-0.271196,-0.0802037,0.0833509,0.233701,0.395126,0.561279,0.750142,0.954268,1.15734,1.36332,1.56633,1.76986,1.97386,2.17829,2.38084,2.58494,2.75913,6
0.916063,0.720145,0.522445,0.325826,0.134381,-0.0540119,-0.235525,-0.409605,-0.574453,-0.782353,-1.00532,-1.22799,-1.44269,-1.64488,-1.83066,-1.91958,-1.80354,-1.57592,-1.33277,-1.11735,-0.890069,-0.661376,-0.425178,-0.185914,-0.104358,0.0217354,0.0912754,0.0176006,0.180527,0.161358,0.107642,0.0377721,-0.0349705,-0.127621,-0.241672,-0.343593,-0.449143,-0.54789,-0.630571,-0.684933,-0.718658,-0.735322,-0.752345,-0.758706,-0.705807,-0.525259,-0.336314,-0.151021,0.0408727,0.223694,0.443558,0.618236,0.807066,0.987339,1.12209,1.16899,1.36109,1.56536,1.76431,1.9637,2.15568,2.34829,2.53406,2.65948,2.45481,2.21208,1.97065,1.73652,1.50909,1.28782,1.14329,1.10942,0.92075,0.701374,0.487748,0.279564,0.0746588,-0.128759,-0.328256,-0.524141,-0.655584,-0.711926,-0.729304,-0.724641,-0.712768,-0.681295,-0.62749,-0.558144,-0.451771,-0.360193,-0.251391,-0.14599,-0.0667337,-0.01229,0.024303,-0.113239,-0.0512023,-0.0797869,-0.079004,-0.221939,-0.279545,-0.420773,-0.619803,-0.818604,-1.01773,-1.21546,-1.41244,-1.60857,-1.80076,-1.86111,-1.78423,-1.65534,-1.50515,-1.33765,-1.16237,-0.971737,-0.764771,-0.568062,-0.407041,-0.226472,-0.0544435,0.134102,0.301596,0.493903,0.710093,0.813405,0.734303,0.656732,0.576479,0.522695,0.55844,0.77279,0.794096,0.987738,1.1334,0.984352,0.760642,0.541502,0.517342,0.582836,0.658641,0.757901,0.853401,0.916217,5
2.65614,2.38814,2.1186,1.84968,1.57658,1.31017,1.1097,0.930998,0.750668,0.539333,0.280109,0.202769,0.225087,0.190427,-0.0639837,-0.331682,-0.603219,-0.848439,-1.07836,-1.27341,-1.44649,-1.58415,-1.66705,-1.70106,-1.61886,-1.40741,-1.20487,-1.29316,-1.37485,-1.46562,-1.39695,-1.22158,-1.01583,-0.817346,-0.653438,-0.474111,-0.650892,-0.455141,-0.184814,0.0863196,0.0412232,0.22912,0.356262,0.483767,0.559157,0.682152,0.818026,0.946656,0.982478,0.761459,0.555834,0.34053,0.436915,0.654899,0.604009,0.404236,0.166365,-0.00673287,-0.229742,-0.419169,-0.573619,-0.723551,-0.855717,-0.969597,-1.05665,-0.819121,-0.646091,-0.570673,-0.305507,-0.0389563,0.145073,0.132646,0.298854,0.55353,0.844992,1.12451,1.38118,1.32795,1.05,0.796895,0.528492,0.253333,0.00540815,-0.238341,-0.476986,-0.718489,-0.956323,-0.879292,-0.750359,-0.602993,-0.445259,-0.27794,-0.0575221,0.156385,0.388832,0.557583,0.424678,0.376797,0.597895,0.83371,1.04123,0.892982,0.756373,0.632506,0.500499,0.415973,0.295355,0.0852256,0.122572,-0.164772,-0.434789,-0.538044,-0.620523,-0.788246,-1.03862,-1.22759,-1.36677,-1.38394,-1.30081,-1.25201,-1.50506,-1.5541,-1.51452,-1.40616,-1.2591,-1.0994,-0.835727,-0.570562,-0.30431,-0.0454487,0.218445,0.184337,0.190445,0.408353,0.636663,0.792403,0.986072,1.17894,1.39268,1.66032,1.92924,2.19916,2.46999,2.65552,2
2.7168,2.52086,2.31962,2.11644,1.91364,1.71125,1.50933,1.30465,1.10362,0.899584,0.695865,0.503446,0.337,0.174658,0.026848,-0.14056,-0.296803,-0.484202,-0.669047,-0.850846,-1.029,-1.21119,-1.38288,-1.55827,-1.60907,-1.63042,-1.60446,-1.58233,-1.49663,-1.40221,-1.27064,-1.12936,-0.995539,-0.808575,-0.629259,-0.440013,-0.24243,-0.0563325,0.0543369,0.0989683,0.189226,0.221619,0.124358,-0.0345933,-0.16796,-0.304053,-0.432334,-0.551849,-0.661607,-0.760526,-0.760445,-0.59386,-0.397951,-0.124836,0.130978,0.373611,0.558994,0.722978,0.758149,0.722976,0.684263,0.655287,0.636265,0.627307,0.589851,0.383395,0.178364,-0.049425,-0.268749,-0.456178,-0.546939,-0.441283,-0.623459,-0.538105,-0.483729,-0.594606,-0.431194,-0.572487,-0.355097,-0.170275,0.0628958,0.284475,0.489598,0.625175,0.640407,0.65756,0.686136,0.724205,0.761223,0.767523,0.611223,0.433163,0.190264,-0.0890094,-0.339755,-0.443723,-0.598054,-0.700149,-0.585123,-0.456768,-0.321944,-0.181104,-0.0297656,0.131724,0.22918,0.175554,0.113027,0.140952,-0.00383756,-0.183236,-0.4002,-0.605639,-0.800912,-0.977409,-1.13819,-1.27781,-1.38363,-1.46774,-1.51988,-1.53784,-1.49358,-1.41885,-1.24499,-1.07425,-0.893684,-0.711002,-0.530945,-0.345955,-0.155972,0.0216526,0.188707,0.359175,0.525989,0.729802,0.936229,1.14319,1.35063,1.55861,1.76716,1.97624,2.18588,2.39676,2.6089,2.71483,6
2.68228,2.49724,2.29471,2.09254,1.89067,1.68965,1.48793,1.28715,1.08684,0.886228,0.686396,0.489314,0.308318,0.138326,-0.0194779,-0.191889,-0.379643,-0.562884,-0.749032,-0.922225,-1.09912,-1.281,-1.44968,-1.59119,-1.62816,-1.64176,-1.60392,-1.54725,-1.4593,-1.32441,-1.16478,-1.00437,-0.827266,-0.627144,-0.414426,-0.202748,-0.0216913,0.0828243,0.152029,0.219924,0.260698,0.1456,-0.00703493,-0.149783,-0.278495,-0.408663,-0.531616,-0.640256,-0.737817,-0.833434,-0.735199,-0.564823,-0.338822,-0.0555661,0.17324,0.429953,0.603933,0.757973,0.785803,0.733218,0.690029,0.670432,0.65127,0.638039,0.586543,0.440957,0.246866,0.0797083,-0.168109,-0.351703,-0.497236,-0.423764,-0.582028,-0.438065,-0.506969,-0.438578,-0.510187,-0.287751,-0.0688272,0.177004,0.377187,0.57767,0.616529,0.636623,0.646837,0.676993,0.712834,0.74114,0.738847,0.566134,0.390456,0.139345,-0.120322,-0.303982,-0.412457,-0.56363,-0.643428,-0.545759,-0.424809,-0.295218,-0.157918,-0.0148564,0.127537,0.190812,0.132283,0.0836641,-0.0196051,-0.168862,-0.367915,-0.574217,-0.768793,-0.945064,-1.09774,-1.23278,-1.35723,-1.45646,-1.51993,-1.55426,-1.57116,-1.54614,-1.45595,-1.29117,-1.12114,-0.946807,-0.778005,-0.605107,-0.420859,-0.248267,-0.0745077,0.0713658,0.227937,0.389518,0.566832,0.761326,0.959055,1.15725,1.35585,1.55481,1.75216,1.95013,2.14992,2.34847,2.54642,2.68287,6
2.48383,2.26882,2.06263,1.87133,1.66107,1.46083,1.25922,1.06423,0.866886,0.667945,0.48614,0.288459,0.090741,-0.110644,-0.242856,-0.322113,-0.5152,-0.706448,-0.86272,-1.00799,-1.14085,-1.24349,-1.314,-1.36234,-1.31575,-1.20461,-1.05992,-0.886025,-0.95361,-1.05235,-1.13252,-1.20556,-1.19468,-1.14873,-1.09051,-0.947528,-0.77999,-0.596953,-0.400266,-0.19169,0.0232649,0.228397,0.371517,0.497445,0.663686,0.777097,0.789829,0.645134,0.497921,0.35685,0.226497,0.093266,-0.0318315,-0.139757,-0.248728,-0.343378,-0.425448,-0.494776,-0.5503,-0.445311,-0.270325,-0.0985466,0.0779125,0.262395,0.453915,0.639649,0.808774,0.892972,0.900412,0.846569,0.990917,1.17052,1.35811,1.45848,1.5218,1.34776,1.15586,0.962631,0.769804,0.577373,0.386866,0.195478,0.00442358,-0.186232,-0.377251,-0.568715,-0.612131,-0.578296,-0.512668,-0.451704,-0.378384,-0.293715,-0.188178,-0.0784965,0.0338539,0.153736,0.26596,0.307971,0.185765,0.0472411,-0.0690568,-0.250072,-0.411595,-0.567785,-0.702173,-0.843684,-0.975299,-1.08941,-1.20462,-1.29651,-1.37003,-1.42276,-1.43486,-1.3376,-1.22399,-1.12917,-1.11404,-1.3102,-1.43745,-1.37462,-1.3067,-1.21984,-1.12195,-0.999939,-0.821641,-0.631835,-0.459123,-0.313051,-0.217442,-0.0089578,0.183103,0.379996,0.563301,0.747454,0.926032,1.11786,1.30393,1.49049,1.67748,1.86485,2.0534,2.23538,2.41706,2.4884,1
2.54671,2.25311,1.96585,1.68248,1.40574,1.12853,0.98867,0.836485,0.678472,0.553447,0.300101,0.161854,0.0886284,0.103565,-0.00548585,-0.276346,-0.543683,-0.743724,-0.531876,-0.509337,-0.686179,-0.93994,-1.10801,-1.29216,-1.42122,-1.50424,-1.55318,-1.52172,-1.34501,-1.11573,-1.08525,-1.18052,-1.25697,-1.25686,-1.08515,-0.889758,-0.695478,-0.525512,-0.455849,-0.432797,-0.177058,0.0709655,0.0879302,0.26039,0.38312,0.457802,0.556418,0.689663,0.798049,0.824775,0.552419,0.333294,0.446371,0.389188,0.168941,-0.113319,-0.306961,-0.46506,-0.617408,-0.750355,-0.855632,-0.705424,-0.547126,-0.32518,-0.0815151,0.143653,0.136216,0.351363,0.597814,0.860006,1.11765,1.3753,1.6383,1.87551,2.02756,1.80978,1.54658,1.27353,1.0168,0.756986,0.490379,0.230618,0.0596885,-0.217022,-0.481509,-0.743103,-0.930656,-0.851918,-0.749162,-0.613464,-0.384006,-0.108806,0.160043,0.0196055,-0.0976875,0.0831836,0.0222155,0.157484,0.356415,0.528541,0.427916,0.302846,0.178924,0.133998,-0.0056812,-0.226333,-0.194874,-0.396593,-0.61399,-0.762871,-0.663342,-0.818497,-1.01534,-1.20909,-1.3461,-1.44074,-1.3574,-1.26412,-1.19671,-1.44606,-1.5727,-1.53769,-1.46245,-1.35143,-1.21011,-0.981897,-0.718842,-0.42175,-0.159416,0.0373312,0.0961336,0.0917633,0.328895,0.514004,0.664779,0.820167,0.990087,1.19582,1.45194,1.70879,1.95919,2.2038,2.44976,2.55404,2
2.73701,2.50981,2.27784,2.04915,1.81992,1.59515,1.36863,1.14222,0.916804,0.682196,0.529175,0.37555,0.230549,0.0185658,-0.191514,-0.400424,-0.605285,-0.808822,-1.00719,-1.20423,-1.35165,-1.39317,-1.41707,-1.42767,-1.39273,-1.33233,-1.25422,-1.14303,-1.01892,-0.886773,-0.737614,-0.568704,-0.389698,-0.203532,-0.00998508,0.0706964,0.131133,0.203359,0.22317,0.100189,-0.0869844,-0.260156,-0.428678,-0.586535,-0.722702,-0.852585,-0.953809,-1.02095,-0.774062,-0.532933,-0.286355,-0.0395016,0.207576,0.463523,0.661121,0.796799,0.874518,0.818019,0.773113,0.734775,0.727258,0.717685,0.57844,0.350111,0.135127,-0.0999032,-0.307303,-0.498868,-0.659005,-0.586051,-0.651062,-0.512328,-0.618135,-0.609566,-0.600306,-0.450247,-0.282438,-0.0678078,0.149879,0.362352,0.574346,0.680486,0.696075,0.705314,0.722519,0.749981,0.787511,0.814496,0.653311,0.46408,0.233526,-0.00482999,-0.244509,-0.483402,-0.589603,-0.54987,-0.535937,-0.620543,-0.484743,-0.356512,-0.204904,-0.0613754,0.0753615,0.0812968,-0.00028248,-0.0516376,-0.18776,-0.355218,-0.535145,-0.69701,-0.855877,-0.997532,-1.11523,-1.23305,-1.31402,-1.39643,-1.44801,-1.47199,-1.47041,-1.45455,-1.41297,-1.3046,-1.12301,-0.936184,-0.745114,-0.558405,-0.365756,-0.17591,0.0134934,0.174117,0.319961,0.473413,0.63812,0.831415,1.03828,1.24582,1.45395,1.66261,1.87173,2.07451,2.28458,2.48859,2.68712,2.74775,6
