f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.706732,-0.652137,-0.456754,-0.210081,0.0752669,0.349941,0.595007,0.779359,1.06227,1.30857,1.49323,1.52114,1.51176,1.3693,1.16901,0.977197,0.71438,0.49046,0.232823,-0.0542438,-0.319026,-0.571952,-0.720264,-0.729776,-0.676297,-0.476203,-0.222786,0.0446533,0.330738,0.626715,0.90485,1.19379,1.49546,1.65825,1.65825,1.56089,1.5457,1.53767,1.59148,1.6089,1.65758,1.45661,1.16231,0.869123,0.596615,0.297489,0.0346274,-0.212091,-0.477833,-0.655106,-0.571929,-0.654459,-0.752731,-0.925471,-1.06414,-1.21801,-1.33002,-1.3396,-1.27305,-1.13124,-0.980848,-0.841267,-0.747573,-0.64479,-0.624984,-0.611899,-0.706576,-0.790601,-0.912297,-1.05887,-1.1936,-1.32035,-1.39102,-1.30029,-1.15471,-1.03171,-0.876503,-0.757643,-0.607344,-0.526601,1
-0.764312,-0.663666,-0.488526,-0.211725,0.0555875,0.380786,0.645506,0.860626,1.10618,1.39984,1.49246,1.48325,1.54018,1.53605,1.42407,1.21947,0.910038,0.68233,0.39018,0.0973904,-0.169321,-0.428781,-0.64176,-0.74962,-0.697484,-0.539685,-0.326049,-0.0555988,0.217614,0.516246,0.831505,1.10675,1.36095,1.58114,1.56028,1.53191,1.48006,1.48645,1.55408,1.55728,1.65009,1.37767,1.08439,0.805954,0.520379,0.256617,-0.0389716,-0.302696,-0.55062,-0.733895,-0.575119,-0.692675,-0.795932,-0.930923,-1.06526,-1.1873,-1.28036,-1.33249,-1.26029,-1.12265,-0.985295,-0.906818,-0.830953,-0.710166,-0.631032,-0.653859,-0.730927,-0.842714,-0.986666,-1.10604,-1.23018,-1.32492,-1.30882,-1.20996,-1.10469,-0.96677,-0.82015,-0.672816,-0.56054,-0.514284,1
-0.838371,-0.776588,-0.570641,-0.307699,-0.0307743,0.256841,0.548296,0.822461,1.13919,1.43048,1.56315,1.53539,1.53057,1.5437,1.37395,1.17111,0.852055,0.521695,0.240215,-0.0470014,-0.346488,-0.608432,-0.809658,-0.825137,-0.733593,-0.513031,-0.257538,0.00872933,0.296577,0.557275,0.818471,1.05656,1.32673,1.58211,1.55434,1.51577,1.50779,1.51328,1.57729,1.66058,1.70182,1.46473,1.18042,0.912408,0.628434,0.31736,0.0233769,-0.269093,-0.533731,-0.746296,-0.61889,-0.684496,-0.764219,-0.890062,-1.01449,-1.10836,-1.22642,-1.24609,-1.23013,-1.12525,-0.997982,-0.87849,-0.801993,-0.754642,-0.677962,-0.609446,-0.702652,-0.769705,-0.825669,-0.923081,-1.05142,-1.17335,-1.256,-1.24006,-1.14053,-1.01135,-0.891458,-0.751234,-0.591673,-0.561945,1
-0.778612,-0.705656,-0.538213,-0.290638,-0.00935409,0.310679,0.573211,0.793301,1.114,1.37557,1.58177,1.52472,1.52472,1.60002,1.4961,1.24282,0.920252,0.664483,0.415268,0.120356,-0.174183,-0.430264,-0.634277,-0.746729,-0.752205,-0.564828,-0.448228,-0.182149,0.115046,0.383738,0.683359,0.975015,1.26937,1.47266,1.52659,1.58737,1.50999,1.50688,1.58218,1.6523,1.65188,1.46457,1.17063,0.855324,0.564083,0.274689,-0.0273181,-0.303872,-0.543918,-0.720592,-0.497452,-0.615463,-0.720675,-0.890586,-1.04728,-1.17544,-1.28594,-1.28328,-1.26165,-1.14851,-1.0065,-0.898302,-0.77689,-0.683108,-0.615836,-0.568105,-0.680287,-0.77996,-0.930248,-1.07296,-1.21159,-1.30388,-1.33732,-1.28086,-1.14387,-1.01216,-0.828189,-0.662074,-0.494444,-0.439017,1
-0.747953,-0.663562,-0.452362,-0.217678,0.0806792,0.384476,0.632748,0.847531,1.14901,1.38495,1.49726,1.47313,1.4891,1.47666,1.35358,1.13323,0.893013,0.572416,0.300122,0.0166341,-0.242981,-0.472708,-0.676111,-0.724229,-0.714613,-0.549116,-0.310274,-0.0321701,0.283118,0.551253,0.847531,1.12766,1.4037,1.5214,1.57059,1.45568,1.45383,1.53532,1.57746,1.67566,1.648,1.40073,1.14214,0.866466,0.608058,0.313451,0.0163185,-0.264311,-0.517985,-0.711754,-0.730559,-0.874855,-0.984865,-1.03681,-1.14585,-1.23098,-1.26083,-1.25751,-1.16621,-1.06036,-0.965057,-0.892491,-0.860951,-0.87001,-0.921376,-1.0242,-1.0994,-1.21634,-1.28857,-1.30202,-1.18647,-1.05151,-0.968101,-0.839231,-0.672213,-0.576554,-0.468048,-0.392345,-0.43829,-0.6031,0
-0.80592,-0.715253,-0.502578,-0.280654,-0.00516161,0.290107,0.59608,0.861026,1.15847,1.43757,1.58549,1.5203,1.53107,1.55957,1.40188,1.13235,0.793643,0.621199,0.327586,0.0383581,-0.254139,-0.512068,-0.710029,-0.78124,-0.746711,-0.541832,-0.283823,-0.0817747,0.238553,0.537071,0.837303,1.13853,1.44036,1.63114,1.53924,1.49638,1.55858,1.52987,1.59705,1.58589,1.64988,1.34965,1.06118,0.783676,0.485636,0.181557,-0.108469,-0.400727,-0.655007,-0.755782,-0.513443,-0.665254,-0.811702,-0.89599,-1.01283,-1.1733,-1.29295,-1.277,-1.15974,-1.10314,-1.05994,-0.939111,-0.827591,-0.706302,-0.627077,-0.643305,-0.706162,-0.865847,-1.00923,-1.15302,-1.26191,-1.3332,-1.30284,-1.20065,-1.03983,-0.861063,-0.646195,-0.488803,-0.378379,-0.399291,1
-0.731686,-0.644377,-0.444051,-0.284337,-0.00220925,0.298063,0.595477,0.827126,1.08387,1.38664,1.57576,1.56025,1.52242,1.58378,1.53131,1.2967,1.0525,0.810393,0.529067,0.250095,-0.0398588,-0.291204,-0.480863,-0.658566,-0.704041,-0.670209,-0.474362,-0.210014,0.0819269,0.387881,0.648291,0.935542,1.25975,1.38594,1.47257,1.47414,1.58168,1.48041,1.59772,1.66518,1.65472,1.38925,1.12362,0.849262,0.582578,0.301723,0.0172779,-0.264902,-0.500717,-0.678924,-0.673033,-0.672301,-0.726561,-0.757657,-0.809321,-0.872627,-0.961871,-1.07053,-1.19061,-1.25284,-1.25339,-1.12809,-1.01831,-0.908307,-0.895583,-0.837366,-0.766006,-0.722291,-0.816397,-0.880645,-0.982299,-1.09518,-1.18934,-1.24804,-1.24273,-1.13919,-1.06103,-0.956328,-0.83205,-0.752672,0
-0.902376,-0.784397,-0.579397,-0.302576,0.00990444,0.328143,0.589628,0.877523,1.17367,1.4535,1.54851,1.53277,1.575,1.51742,1.37923,1.08423,0.860441,0.557,0.265804,-0.0283856,-0.298181,-0.563486,-0.748871,-0.821037,-0.715936,-0.512279,-0.251773,0.0332623,0.291465,0.59577,0.859674,1.16753,1.43374,1.56809,1.57845,1.46253,1.46848,1.55945,1.61146,1.68171,1.62816,1.3228,1.04604,0.752769,0.469672,0.180434,-0.0946205,-0.379003,-0.620124,-0.795587,-0.499727,-0.59717,-0.700888,-0.796393,-0.954005,-1.09941,-1.21451,-1.31209,-1.37181,-1.2424,-1.07692,-0.919381,-0.757853,-0.650776,-0.562507,-0.534716,-0.563543,-0.671677,-0.811363,-0.965867,-1.11922,-1.26334,-1.39178,-1.33773,-1.18931,-1.00531,-0.814818,-0.679181,-0.529303,-0.433223,1
-0.871359,-0.797164,-0.604187,-0.336932,-0.0376248,0.252848,0.532587,0.852288,1.10693,1.39377,1.61042,1.57938,1.50622,1.53942,1.54222,1.36999,1.08447,0.751226,0.424753,0.128336,-0.182316,-0.477247,-0.688307,-0.857471,-0.876726,-0.748878,-0.518614,-0.242855,0.052605,0.342681,0.642897,0.947406,1.24399,1.51431,1.59209,1.4983,1.48888,1.52736,1.54354,1.54949,1.64907,1.43455,1.12757,0.79383,0.544146,0.224114,-0.0973542,-0.370669,-0.644381,-0.838315,-0.400806,-0.530058,-0.665534,-0.826624,-0.990619,-1.17846,-1.34487,-1.39626,-1.29263,-1.14015,-0.967732,-0.788213,-0.656171,-0.534814,-0.489583,-0.520232,-0.546918,-0.660002,-0.830521,-0.997489,-1.14935,-1.31039,-1.40691,-1.33185,-1.15282,-0.960499,-0.773681,-0.595831,-0.427046,-0.335231,1
-0.887089,-0.759668,-0.625076,-0.34475,-0.108418,0.215721,0.542438,0.844211,1.07378,1.30171,1.51077,1.53686,1.52177,1.54572,1.55672,1.41658,1.1898,0.998462,0.813033,0.536858,0.230818,-0.00423348,-0.278373,-0.552283,-0.755615,-0.866068,-0.748641,-0.586251,-0.290779,0.0330164,0.331245,0.640731,0.921008,1.23181,1.52242,1.67388,1.56558,1.52341,1.55508,1.60775,1.66863,1.51602,1.18914,0.898691,0.61825,0.318118,0.031277,-0.270579,-0.566001,-0.797246,-0.514754,-0.605631,-0.744883,-0.862918,-1.03113,-1.17252,-1.28648,-1.27567,-1.18338,-1.04795,-0.946984,-0.817906,-0.71638,-0.661817,-0.592733,-0.599641,-0.652234,-0.713754,-0.857765,-0.976062,-1.11246,-1.23107,-1.31986,-1.31477,-1.18625,-1.03972,-0.899938,-0.761342,-0.60056,-0.513671,0
