f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.701291,-0.608801,-0.435521,-0.181037,0.105421,0.424875,0.650124,0.862623,1.14443,1.33624,1.47869,1.55226,1.51381,1.3451,1.15671,0.946898,0.740401,0.60883,0.351718,0.0561334,-0.21478,-0.450402,-0.628162,-0.619671,-0.593008,-0.429188,-0.176446,0.0802791,0.373292,0.670923,0.831342,1.10967,1.39709,1.55834,1.51243,1.51934,1.49611,1.56526,1.60951,1.58738,1.6698,1.4549,1.19112,0.918742,0.658339,0.351718,0.0562717,-0.214559,-0.449848,-0.643402,-0.75799,-0.864973,-0.935197,-1.03103,-1.1157,-1.21782,-1.23772,-1.21995,-1.13799,-1.1389,-1.0445,-0.942167,-0.865277,-0.78244,-0.695593,-0.736278,-0.809186,-0.903611,-1.02727,-1.13887,-1.22115,-1.29697,-1.25761,-1.15469,-1.10259,-0.969079,-0.833497,-0.751656,-0.645421,-0.704886,3
-0.713351,-0.632201,-0.430489,-0.252725,0.0261325,0.265303,0.478575,0.736639,0.974183,1.25714,1.4213,1.48686,1.47535,1.41004,1.22837,1.00409,0.754505,0.546738,0.255394,-0.0241139,-0.283153,-0.502956,-0.677417,-0.735746,-0.689178,-0.467774,-0.206407,0.0800573,0.323757,0.626262,0.907697,1.18983,1.49586,1.64801,1.67228,1.51789,1.50688,1.65276,1.66577,1.68304,1.67403,1.49762,1.17507,0.937975,0.640775,0.335568,0.0772047,-0.215441,-0.486666,-0.667633,-0.662529,-0.659401,-0.751811,-0.83769,-0.916763,-1.04373,-1.18268,-1.2638,-1.25105,-1.18656,-1.09758,-1.00039,-0.955449,-0.891415,-0.844697,-0.759343,-0.688327,-0.659726,-0.752061,-0.837866,-0.947066,-1.07999,-1.1946,-1.27198,-1.27721,-1.1699,-1.03517,-0.923094,-0.795602,-0.706194,3
-0.706772,-0.699571,-0.488094,-0.24077,0.067096,0.324895,0.59089,0.871313,1.07203,1.28243,1.46861,1.53146,1.549,1.4199,1.29343,1.10164,0.881368,0.638574,0.325314,0.0528771,-0.226473,-0.438001,-0.632902,-0.709207,-0.621799,-0.439048,-0.190493,0.0906894,0.356449,0.626345,0.897054,1.15802,1.39189,1.60556,1.47673,1.4762,1.50632,1.58592,1.59142,1.62311,1.6904,1.41153,1.15394,0.881473,0.58505,0.334898,0.0337615,-0.266065,-0.51064,-0.709914,-0.68344,-0.757808,-0.762783,-0.853648,-0.973002,-1.08385,-1.17473,-1.21801,-1.17427,-1.09943,-1.08084,-1.03951,-0.981774,-0.8537,-0.78271,-0.782789,-0.823036,-0.88418,-0.934745,-1.00799,-1.10199,-1.18749,-1.24493,-1.24783,-1.15772,-1.04342,-0.920997,-0.826729,-0.72848,-0.655997,3
-0.675174,-0.597229,-0.461534,-0.247159,0.0162846,0.294667,0.573361,0.833287,1.04686,1.29487,1.47276,1.56671,1.52218,1.45651,1.25547,1.06311,0.881888,0.598029,0.346496,0.0466965,-0.2336,-0.478075,-0.652732,-0.651174,-0.587322,-0.417296,-0.185534,0.0652419,0.343602,0.626125,0.898585,1.15907,1.40374,1.52953,1.52931,1.57985,1.54022,1.55291,1.55113,1.57851,1.65131,1.43603,1.17577,0.903706,0.632626,0.362904,0.0791566,-0.167856,-0.417563,-0.60727,-0.742098,-0.82848,-0.864391,-0.943827,-1.01696,-1.09257,-1.16935,-1.19736,-1.16723,-1.1514,-1.07282,-1.02233,-0.937749,-0.872851,-0.806172,-0.799493,-0.833845,-0.912012,-0.994031,-1.09005,-1.16816,-1.21639,-1.23094,-1.1553,-1.07687,-0.972235,-0.886298,-0.828614,-0.718031,-0.721126,3
-0.621944,-0.559808,-0.436637,-0.194482,0.0742874,0.336071,0.612759,0.892162,1.13214,1.37302,1.52176,1.59303,1.56673,1.42673,1.23967,1.03462,0.808305,0.586371,0.314124,0.0449584,-0.241318,-0.448431,-0.65215,-0.687362,-0.658853,-0.493315,-0.269317,-0.0033482,0.256144,0.5388,0.81481,1.06706,1.36564,1.50649,1.49376,1.53307,1.59784,1.65837,1.62867,1.63348,1.69768,1.44936,1.13378,0.900562,0.580687,0.285502,0.00912441,-0.264,-0.512434,-0.6696,-0.610688,-0.655516,-0.7144,-0.855813,-0.939897,-0.982264,-1.08994,-1.13585,-1.18502,-1.17795,-1.1293,-1.0541,-1.01029,-0.96388,-0.880164,-0.821195,-0.843255,-0.901574,-0.983226,-1.05269,-1.11819,-1.14594,-1.19684,-1.16481,-1.13404,-1.04842,-0.937323,-0.836043,-0.740052,-0.685919,3
-0.670716,-0.653389,-0.495409,-0.212957,0.0651032,0.361723,0.689475,0.864511,1.02953,1.21374,1.4098,1.48133,1.51803,1.43122,1.25489,1.02586,0.817977,0.671247,0.475576,0.19547,-0.0697758,-0.345881,-0.489273,-0.616932,-0.603757,-0.478835,-0.303919,-0.0675198,0.214451,0.516304,0.806637,1.12759,1.42466,1.58842,1.53247,1.42559,1.45336,1.51352,1.48524,1.53277,1.62722,1.55924,1.27739,0.982154,0.713389,0.408166,0.11648,-0.177222,-0.421863,-0.60093,-0.609593,-0.722754,-0.835524,-1.01017,-1.11154,-1.1772,-1.18475,-1.28303,-1.33225,-1.28128,-1.12318,-1.01757,-0.922726,-0.845571,-0.730755,-0.639162,-0.722483,-0.791216,-0.894872,-1.0157,-1.12408,-1.26159,-1.34362,-1.34616,-1.20656,-1.06801,-0.96547,-0.816574,-0.637236,-0.581528,3
-0.65774,-0.547907,-0.340246,-0.0766552,0.185732,0.443702,0.70242,0.946778,1.14867,1.39757,1.50594,1.44801,1.49846,1.58903,1.45022,1.26993,1.03564,0.828465,0.60988,0.377304,0.125201,-0.117193,-0.36408,-0.558474,-0.615631,-0.487843,-0.299057,-0.0466473,0.203394,0.456957,0.697265,0.937696,1.17052,1.37376,1.52398,1.52914,1.49784,1.39917,1.46507,1.52521,1.52398,1.307,1.05306,0.827483,0.60178,0.356072,0.118022,-0.132535,-0.365307,-0.567765,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,-1.03178,8
-0.485045,-0.424104,-0.260094,-0.0320184,0.163044,0.422913,0.690654,0.95098,1.1335,1.37524,1.40615,1.33132,1.37124,1.3879,1.21541,1.00825,0.78956,0.540642,0.274498,0.0336563,-0.203523,-0.408305,-0.518869,-0.48525,-0.342459,-0.129224,0.092087,0.320927,0.549083,0.768455,1.02057,1.24074,1.46022,1.55685,1.50278,1.37729,1.33348,1.35892,1.52844,1.53552,1.5038,1.34512,1.16225,0.935351,0.67879,0.429986,0.183007,-0.0455366,-0.267156,-0.43371,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,-1.06478,8
-0.520374,-0.448641,-0.356199,-0.148897,0.0918596,0.308376,0.556481,0.799979,1.06673,1.25396,1.46982,1.49592,1.4447,1.5024,1.3914,1.20153,0.977667,0.748647,0.496813,0.239604,0.0450246,-0.1854,-0.39687,-0.517742,-0.509538,-0.377006,-0.182043,0.0529218,0.286987,0.524453,0.764003,0.975913,1.21678,1.43889,1.57007,1.59234,1.49954,1.45819,1.47662,1.56886,1.64268,1.37999,1.13068,0.901657,0.651906,0.399962,0.157012,-0.0746406,-0.284806,-0.447511,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,-1.04436,8
-0.57237,-0.500512,-0.310228,-0.0626525,0.166613,0.439579,0.689172,0.94346,1.16488,1.40572,1.47779,1.3773,1.43376,1.51218,1.42336,1.22833,1.04713,0.796394,0.542487,0.320937,0.0588702,-0.173161,-0.403492,-0.549797,-0.562207,-0.404736,-0.205125,0.0297743,0.262059,0.515332,0.743862,0.955895,1.20676,1.40674,1.56116,1.56992,1.4646,1.38884,1.40534,1.46955,1.53071,1.33948,1.0989,0.870625,0.648948,0.396563,0.152972,-0.0802649,-0.306383,-0.503063,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,-1.04707,8
