f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,class
0.481052,0.614514,0.618378,0.49711,0.659524,0.879014,0.662808,0.328814,0.402388,0.387245,0.0426599,0.0422978,0.417047,0.427911,0.424858,1
0.517579,0.647751,0.757729,0.55097,0.598625,0.318524,0.398589,0.127888,0.703223,0.81614,0.996156,0.240905,0.937135,0.436185,0.578923,1
0.417424,0.610047,0.790122,0.525066,0.597659,0.442402,0.19251,0.196658,0.758099,0.0985187,0.535664,0.390005,0.0706843,0.674776,0.0559762,1
0.632275,0.626152,0.771086,0.451713,0.618615,0.56056,0.8541,0.132083,0.170432,0.355074,0.693788,0.489594,0.666932,0.61281,0.26013,1
0.494131,0.601192,0.728002,0.411207,0.58114,0.748706,0.785559,0.607866,0.217563,0.642061,0.51182,0.0475547,0.646302,0.0710371,0.680066,1
0.512891,0.582565,0.74551,0.487211,0.607409,0.534064,0.133931,0.54954,0.555738,0.317428,0.354534,0.715045,0.829533,0.82663,0.866887,1
0.465254,0.681375,0.576541,0.559923,0.634092,0.754933,0.0495326,0.0132832,0.432485,0.463261,0.986104,0.894448,0.877799,0.720856,0.671166,1
0.464758,0.644568,0.740853,0.519811,0.642562,0.588026,0.860441,0.396521,0.168251,0.0641871,0.75052,0.711129,0.728387,0.515458,0.451946,1
0.53927,0.69273,0.684214,0.49564,0.581159,0.40458,0.73864,0.178117,0.789364,0.59749,0.22377,0.107889,0.403491,0.450394,0.360031,1
0.521569,0.692569,0.615082,0.531158,0.626476,0.396792,0.208461,0.533772,0.315811,0.546449,0.616444,0.330424,0.362459,0.831871,0.916821,1
0.465885,0.581727,0.667358,0.450151,0.634067,0.833501,0.620959,0.526102,0.531209,0.921097,0.662382,0.739072,0.28662,0.146515,0.516979,1
0.464517,0.589274,0.829185,0.508168,0.582681,0.769114,0.270294,0.905135,0.0594033,0.325834,0.106942,0.549309,0.475573,0.40008,0.848709,1
0.573452,0.615115,0.804504,0.535434,0.598568,0.932854,0.660945,0.208947,0.388272,0.558319,0.723173,0.0990897,0.348008,0.673226,0.693753,1
0.594694,0.580598,0.676512,0.455576,0.638714,0.639317,0.865439,0.118155,0.583186,0.620672,0.421112,0.729513,0.66712,0.864148,0.69539,1
0.496793,0.696835,0.718388,0.43947,0.599371,0.627896,0.0834828,0.335849,0.771934,0.422646,0.180617,0.193245,0.331665,0.882486,0.734271,1
0.435506,0.518082,0.701399,0.547894,0.672706,0.109697,0.574661,0.818204,0.685028,0.530629,0.265322,0.766922,0.65135,0.148877,0.83627,1
0.406349,0.648346,0.757059,0.53338,0.526506,0.815397,0.177108,0.640718,0.684096,0.604991,0.770954,0.96353,0.756749,0.453893,0.297555,1
0.42842,0.562144,0.751582,0.491307,0.584337,0.438645,0.16646,0.603468,0.722923,0.163512,0.336699,0.837803,0.980904,0.0953727,0.661596,1
0.580211,0.707775,0.749136,0.542233,0.537949,0.327565,0.105709,0.0484473,0.423109,0.6537,0.988302,0.972734,0.300819,0.011681,0.762887,1
0.431881,0.618486,0.661911,0.488587,0.564652,0.199863,0.984398,0.780176,0.31748,0.671202,0.551793,0.590609,0.0258575,0.430002,0.532624,1
0.432887,0.647584,0.680781,0.457767,0.63464,0.154752,0.934405,0.0615907,0.196249,0.76733,0.583533,0.624573,0.576758,0.330682,0.839697,1
0.462777,0.652639,0.774489,0.451201,0.666342,0.111706,0.939142,0.890476,0.212031,0.789074,0.346449,0.281508,0.372534,0.613475,0.112615,1
0.52741,0.634184,0.774241,0.520503,0.651978,0.406955,0.858939,0.337584,0.316429,0.715213,0.583571,0.660438,0.446531,0.491806,0.553887,1
0.462525,0.650399,0.690945,0.431568,0.643697,0.149997,0.629883,0.0714528,0.784428,0.740648,0.248629,0.431721,0.0461916,0.326042,0.500211,1
0.48132,0.649498,0.74107,0.525469,0.670437,0.522495,0.801348,0.287849,0.86693,0.871111,0.73423,0.623716,0.811151,0.882838,0.156495,1
0.517694,0.660077,0.714942,0.396395,0.704225,0.393456,0.862711,0.597211,0.530872,0.935731,0.383306,0.628924,0.544906,0.497903,0.834189,1
0.508244,0.61412,0.630558,0.487429,0.627742,0.0549741,0.842207,0.943008,0.622497,0.86675,0.726104,0.80676,0.0720515,0.593362,0.360449,1
0.51896,0.537489,0.745516,0.51122,0.561418,0.73634,0.146515,0.456058,0.109755,0.16357,0.989145,0.713574,0.285947,0.117037,0.0196211,1
0.538862,0.693949,0.789734,0.509851,0.616292,0.696266,0.769029,0.912132,0.48448,0.124873,0.627347,0.31194,0.930041,0.275287,0.109334,1
0.582385,0.608256,0.790513,0.524431,0.643768,0.0899507,0.0308895,0.485229,0.184434,0.81454,0.971259,0.856182,0.849086,0.394535,0.406777,1
0.558464,0.673211,0.730069,0.507259,0.643472,0.424309,0.499116,0.0463513,0.396007,0.540884,0.885359,0.833152,0.560713,0.56192,0.908052,1
0.573965,0.556915,0.773556,0.624223,0.622847,0.789963,0.177602,0.104813,0.892922,0.390762,0.71957,0.451341,0.372313,0.0646336,0.239291,1
0.444708,0.621607,0.647408,0.518997,0.636,0.495006,0.648198,0.0885275,0.313429,0.443964,0.125655,0.588209,0.206776,0.258582,0.403629,1
0.493379,0.552545,0.778304,0.461885,0.653944,0.514423,0.737842,0.692532,0.0985941,0.751946,0.411593,0.281502,0.943732,0.99685,0.941919,1
0.540404,0.508507,0.782132,0.512609,0.654774,0.989872,0.728662,0.287977,0.134303,0.257614,0.527847,0.662654,0.884017,0.570838,0.440635,1
0.459756,0.583432,0.737123,0.489348,0.576405,0.683416,0.0426524,0.99539,0.187461,0.894389,0.939398,0.343288,0.984776,0.324855,0.832222,1
0.654746,0.583021,0.812105,0.496403,0.620347,0.0635914,0.845178,0.100222,0.597942,0.832423,0.924581,0.934478,0.231238,0.899713,0.731387,1
0.620523,0.664571,0.760618,0.498665,0.629024,0.167254,0.0520779,0.707254,0.631766,0.577394,0.295507,0.0319226,0.896111,0.85932,0.938558,1
0.355786,0.639099,0.702609,0.501957,0.504699,0.586092,0.031991,0.242487,0.29157,0.743688,0.451639,0.99756,0.195477,0.456425,0.217994,1
0.571515,0.642509,0.705149,0.378156,0.68751,0.242785,0.48957,0.897191,0.694752,0.212163,0.029992,0.137547,0.582433,0.0186128,0.599586,1
0.445646,0.583821,0.665466,0.442807,0.600987,0.520052,0.209405,0.212602,0.104846,0.763898,0.530052,0.0546166,0.0547918,0.60963,0.0780691,1
0.494756,0.56718,0.723773,0.478953,0.612372,0.442305,0.281867,0.297347,0.79783,0.702702,0.683839,0.124774,0.83897,0.342713,0.520129,1
0.68192,0.710594,0.719883,0.544303,0.677078,0.218677,0.498094,0.46484,0.366437,0.685536,0.176855,0.177124,0.0838735,0.558285,0.694803,1
0.390058,0.630005,0.775461,0.523575,0.539844,0.544716,0.612566,0.988418,0.740032,0.15437,0.1841,0.224277,0.58644,0.388884,0.720165,1
0.539344,0.679921,0.720203,0.456502,0.704701,0.86114,0.0169829,0.561861,0.294066,0.65369,0.745847,0.510153,0.735966,0.826579,0.05034,1
0.577485,0.526955,0.714297,0.483871,0.586961,0.77198,0.62596,0.175669,0.205675,0.359606,0.0450511,0.895892,0.152234,0.28495,0.430278,1
0.442626,0.666261,0.808173,0.479447,0.604963,0.138874,0.982303,0.468468,0.641941,0.429356,0.383869,0.772495,0.0942784,0.407318,0.705572,1
0.534385,0.598322,0.808197,0.519376,0.6958,0.0195776,0.538597,0.0620452,0.487604,0.15359,0.783736,0.730585,0.433261,0.375692,0.863868,1
0.51926,0.558316,0.728623,0.611889,0.541949,0.0444541,0.362411,0.441722,0.964423,0.68156,0.80445,0.485652,0.721753,0.884405,0.122189,1
0.449556,0.546147,0.680602,0.490303,0.644007,0.347713,0.552291,0.894942,0.112284,0.759327,0.27507,0.501283,0.303661,0.574737,0.669043,1
0.173853,0.932898,0.32869,0.00933251,0.254481,0.268053,0.363008,0.38432,0.322351,0.436356,0.746185,0.421006,0.894236,0.37406,0.0849971,2
0.0261071,0.390668,0.650118,0.915026,0.324154,0.204299,0.265868,0.353943,0.299228,0.338435,0.46791,0.0920687,0.778361,0.922685,0.922358,2
0.495067,0.906443,0.44253,0.407456,0.805112,0.133712,0.381908,0.406712,0.348053,0.358613,0.424085,0.886564,0.544418,0.301953,0.640194,2
0.138649,0.373848,0.552175,0.702066,0.582519,0.330757,0.347701,0.447865,0.345049,0.386273,0.627904,0.0348338,0.132285,0.997616,0.794589,2
0.608635,0.221266,0.356509,0.841369,0.325299,0.276889,0.353236,0.418875,0.289035,0.397258,0.89641,0.944784,0.828096,0.551962,0.383914,2
0.716497,0.600262,0.558821,0.639324,0.991704,0.244017,0.369812,0.343427,0.246947,0.389149,0.244173,0.772207,0.123381,0.555308,0.314784,2
0.55231,0.0109791,0.186571,0.354116,0.769597,0.334015,0.403878,0.377049,0.298654,0.411419,0.233168,0.203676,0.898547,0.455844,0.378148,2
0.264873,0.185778,0.53235,0.18198,0.154829,0.281881,0.253285,0.379024,0.321081,0.382589,0.877634,0.72309,0.338999,0.337845,0.740008,2
0.287427,0.109862,0.54055,0.956196,0.356504,0.205949,0.2805,0.441952,0.206353,0.438352,0.972089,0.476575,0.652421,0.571413,0.0646408,2
0.67227,0.838256,0.198222,0.193434,0.744868,0.232494,0.291824,0.387789,0.300651,0.451214,0.283199,0.608759,0.21517,0.738823,0.120508,2
0.147849,0.25537,0.169609,0.610869,0.781374,0.334407,0.346676,0.390867,0.252042,0.416922,0.799185,0.28023,0.839254,0.531254,0.637306,2
0.762414,0.374722,0.413886,0.20847,0.609802,0.285547,0.335151,0.404069,0.309278,0.439643,0.487431,0.339757,0.864673,0.308971,0.380143,2
0.360371,0.556556,0.535067,0.607433,0.747534,0.318908,0.273029,0.383432,0.432679,0.412545,0.648027,0.925437,0.662352,0.628973,0.370486,2
0.576056,0.972651,0.0166747,0.0433905,0.796625,0.319794,0.287502,0.297738,0.30323,0.437641,0.0498575,0.471568,0.487999,0.682458,0.379605,2
0.228028,0.235367,0.992359,0.436555,0.692818,0.232672,0.332176,0.334052,0.351845,0.372585,0.872813,0.433295,0.708909,0.193249,0.767244,2
0.430597,0.151947,0.0759674,0.00141906,0.406373,0.224619,0.265744,0.361913,0.359229,0.313655,0.466512,0.491146,0.278785,0.473887,0.527025,2
0.241502,0.810628,0.479485,0.624001,0.929484,0.300405,0.374592,0.401043,0.273132,0.36109,0.81492,0.975845,0.0765928,0.952125,0.0915581,2
0.431511,0.584719,0.195072,0.754425,0.892267,0.256548,0.343602,0.369149,0.305178,0.434407,0.653457,0.253749,0.760343,0.141663,0.981596,2
0.910195,0.837056,0.0732434,0.857213,0.831842,0.210555,0.335083,0.365978,0.280362,0.46443,0.48223,0.714472,0.507435,0.213285,0.260206,2
0.00975865,0.584641,0.471102,0.15572,0.225068,0.233727,0.336783,0.325944,0.375225,0.310117,0.74849,0.827804,0.51004,0.478498,0.0538315,2
0.956416,0.0899988,0.705077,0.999478,0.540878,0.252352,0.324271,0.288672,0.268717,0.387898,0.0953768,0.408064,0.668249,0.493882,0.614904,2
0.332571,0.505999,0.193766,0.22031,0.262964,0.252809,0.314953,0.36965,0.218184,0.4542,0.231095,0.775334,0.534832,0.0522235,0.461121,2
0.00734866,0.131115,0.309136,0.454966,0.166891,0.198474,0.40231,0.43661,0.19944,0.370623,0.229469,0.28735,0.41996,0.950838,0.812833,2
0.18918,0.686638,0.169767,0.429239,0.618101,0.22656,0.365842,0.418884,0.332851,0.426891,0.507799,0.1202,0.469393,0.999793,0.248771,2
0.52378,0.962161,0.364287,0.0712346,0.746148,0.272767,0.273599,0.379137,0.286654,0.370497,0.587571,0.786201,0.72221,0.431462,0.389193,2
0.762408,0.524637,0.712415,0.856896,0.622803,0.337643,0.377823,0.316043,0.313,0.393205,0.835713,0.156694,0.504811,0.283444,0.811317,2
0.747663,0.710409,0.800921,0.691625,0.745875,0.265951,0.357736,0.414744,0.335456,0.503227,0.545886,0.542992,0.497838,0.358125,0.319068,2
0.94623,0.190986,0.968925,0.73856,0.927488,0.285317,0.351931,0.410478,0.349673,0.305104,0.25611,0.203715,0.743706,0.905331,0.46582,2
0.442398,0.746617,0.74916,0.536788,0.233653,0.292509,0.338189,0.455624,0.250535,0.386865,0.724992,0.948002,0.0683709,0.608559,0.564269,2
0.318019,0.642315,0.80899,0.241084,0.52303,0.339186,0.370855,0.406767,0.26159,0.362938,0.644794,0.559678,0.00433507,0.511874,0.977256,2
0.218109,0.57326,0.781145,0.780446,0.234118,0.286057,0.413627,0.316647,0.282088,0.456973,0.861596,0.666326,0.934709,0.426041,0.24892,2
0.256785,0.0610289,0.880338,0.418625,0.129597,0.218092,0.391707,0.39408,0.336708,0.49756,0.972852,0.545005,0.402952,0.35038,0.0224137,2
0.00339412,0.0569329,0.133811,0.464954,0.83113,0.191121,0.353889,0.346215,0.311721,0.452847,0.85948,0.899156,0.0769791,0.109361,0.466219,2
0.543062,0.452207,0.530964,0.208346,0.957543,0.339563,0.287447,0.387259,0.327228,0.360236,0.857374,0.646346,0.307986,0.631955,0.398005,2
0.0487386,0.725182,0.678941,0.393052,0.60198,0.238037,0.334709,0.366928,0.331387,0.375621,0.886235,0.0296678,0.348575,0.666839,0.801172,2
0.0740896,0.837171,0.207603,0.877182,0.755146,0.195222,0.298374,0.370617,0.268481,0.364701,0.298499,0.859593,0.899776,0.775305,0.783102,2
0.772366,0.78973,0.195798,0.436657,0.740365,0.21011,0.237159,0.336341,0.325413,0.399161,0.711735,0.443066,0.817887,0.213215,0.252854,2
0.0683572,0.19304,0.711657,0.0929889,0.143908,0.28968,0.32281,0.325925,0.258819,0.440719,0.469101,0.278839,0.40122,0.720723,0.817635,2
0.645129,0.614627,0.995216,0.72708,0.323186,0.206871,0.283289,0.325876,0.346057,0.462956,0.888391,0.69765,0.479404,0.99259,0.712647,2
0.220677,0.450324,0.671463,0.813977,0.156502,0.203922,0.439122,0.311253,0.291358,0.336847,0.340478,0.899935,0.474215,0.905158,0.260318,2
0.221184,0.979765,0.451375,0.542813,0.88542,0.269924,0.312483,0.326558,0.289515,0.375819,0.0834976,0.638244,0.864803,0.987539,0.627005,2
0.501659,0.109742,0.431981,0.124026,0.546402,0.264024,0.287294,0.37389,0.301661,0.446406,0.0314599,0.91189,0.531049,0.981729,0.747662,2
0.402434,0.496289,0.498354,0.594037,0.309369,0.15611,0.354952,0.400362,0.199112,0.402193,0.980563,0.269011,0.335911,0.829081,0.746685,2
0.347261,0.911647,0.369092,0.68528,0.414429,0.294372,0.282358,0.325178,0.324122,0.429988,0.601399,0.109633,0.240424,0.811347,0.0986302,2
0.694404,0.948109,0.32684,0.346261,0.242603,0.29283,0.38488,0.319557,0.312697,0.473897,0.489655,0.132615,0.584103,0.437894,0.496799,2
0.279392,0.827732,0.179231,0.624924,0.287085,0.214304,0.286159,0.313295,0.212466,0.358868,0.298964,0.833349,0.651368,0.145806,0.893474,2
0.761546,0.269884,0.542667,0.470763,0.346682,0.218965,0.307372,0.287659,0.277179,0.405325,0.835405,0.0148539,0.715107,0.849682,0.4204,2
0.78507,0.671437,0.676871,0.376611,0.497577,0.292978,0.21774,0.47922,0.311597,0.479574,0.926169,0.0983373,0.856351,0.389587,0.931616,2
0.12322,0.291457,0.478474,0.283268,0.822394,0.22108,0.348706,0.308405,0.232718,0.409227,0.321473,0.65803,0.389282,0.0839863,0.718181,2
0.154159,0.988439,0.39629,0.802965,0.000341462,0.226391,0.282111,0.377904,0.290882,0.431778,0.879866,0.846304,0.456525,0.0309145,0.509953,2
0.277439,0.33787,0.40732,0.901496,0.487911,0.00146318,0.196277,0.97393,0.338535,0.110408,0.874052,0.790624,0.871248,0.858022,0.961181,3
0.371379,0.241937,0.501415,0.407619,0.123794,0.858691,0.908439,0.913813,0.165392,0.080281,0.931933,0.649761,0.911965,1.00971,0.913978,3
0.566861,0.113276,0.49652,0.634579,0.615329,0.714643,0.635186,0.361933,0.808281,0.398118,0.953898,0.717353,0.912774,0.824592,0.934453,3
0.355922,0.791879,0.788823,0.28166,0.479914,0.297508,0.570893,0.212759,0.849894,0.997137,0.824627,0.750477,0.792668,0.84518,0.880984,3
0.29086,0.537843,0.662933,0.388356,0.103713,0.460648,0.791539,0.883615,0.22731,0.923556,0.898795,0.756286,0.836756,0.754895,0.963324,3
0.402364,0.575135,0.14115,0.361297,0.583504,0.260998,0.924548,0.0228596,0.626955,0.0878218,0.992711,0.854693,0.986109,0.733638,0.996683,3
0.356706,0.481657,0.393435,0.084258,0.482305,0.863065,0.170625,0.222188,0.300117,0.832708,0.909722,0.697556,0.942229,0.925805,0.993513,3
0.452822,0.50094,0.950034,0.253718,0.990381,0.976632,0.382996,0.354081,0.688402,0.772656,0.919311,0.756834,0.930182,0.818084,0.923041,3
0.519917,0.516432,0.198563,0.703953,0.789811,0.506833,0.158914,0.0263154,0.218193,0.174118,0.846189,0.749022,0.930398,0.910724,0.887882,3
0.885521,0.849199,0.828802,0.684864,0.258096,0.891393,0.863766,0.274479,0.00439261,0.919542,0.854601,0.700256,0.88626,0.925266,0.95491,3
0.439134,0.867727,0.62545,0.398896,0.472598,0.650619,0.986098,0.165277,0.480933,0.867883,0.914126,0.768516,0.883957,0.819726,0.884616,3
0.290926,0.850608,0.749848,0.374346,0.712025,0.531127,0.883962,0.914135,0.0773428,0.719802,0.947757,0.64839,0.878473,0.886109,0.890983,3
0.759832,0.143951,0.732104,0.00622579,0.556831,0.299175,0.252911,0.528611,0.906052,0.557067,0.898181,0.810816,0.900466,0.716408,0.93021,3
0.884231,0.750985,0.512087,0.741629,0.0832697,0.665325,0.0812528,0.449404,0.180591,0.797986,0.842381,0.732519,0.920562,0.791498,0.895424,3
0.203592,0.604313,0.863938,0.649751,0.305053,0.197862,0.47223,0.623169,0.903069,0.944331,0.928467,0.716196,0.891694,0.879624,0.923263,3
0.395871,0.452174,0.473031,0.4809,0.26844,0.650474,0.927112,0.0816234,0.997041,0.227653,0.863434,0.710545,0.922106,0.840196,0.852467,3
0.183676,0.885924,0.595336,0.749251,0.283939,0.858312,0.364401,0.214479,0.954959,0.644205,0.843961,0.715533,0.945481,0.911572,0.972409,3
0.861657,0.213837,0.752874,0.841852,0.615393,0.347916,0.171481,0.248799,0.0159083,0.0679473,0.941776,0.671417,0.933487,0.916108,0.899622,3
0.240905,0.992928,0.35858,0.579593,0.320244,0.728683,0.701328,0.171364,0.572255,0.834012,0.912069,0.822744,0.904895,0.820136,0.964738,3
0.742372,0.351098,0.506747,0.574126,0.0522114,0.610688,0.763496,0.151869,0.909465,0.785776,0.908378,0.776632,0.996597,0.884375,0.947338,3
0.28284,0.00179932,0.77431,0.708671,0.790235,0.993343,0.361113,0.513679,0.383944,0.382569,0.973014,0.745895,0.90704,0.857467,0.99814,3
0.456351,0.612727,0.533958,0.468399,0.735733,0.750839,0.0397497,0.658774,0.691437,0.828906,0.868577,0.766789,0.976626,0.85372,0.972036,3
0.915477,0.824647,0.613682,0.53049,0.847759,0.385102,0.38323,0.909187,0.941231,0.540258,1.00307,0.616811,0.885403,0.776395,1.00531,3
0.862187,0.688933,0.901831,0.687653,0.234303,0.394607,0.476508,0.533,0.0826929,0.640929,0.757012,0.757929,0.897012,0.906462,0.919946,3
0.269047,0.216276,0.11087,0.327024,0.152902,0.823704,0.165346,0.175436,0.161021,0.509022,0.865162,0.741692,0.908017,0.890322,0.875082,3
0.430595,0.2472,0.165298,0.23309,0.0601654,0.750245,0.361007,0.404338,0.751304,0.397357,0.815293,0.683299,0.946608,0.861732,0.88033,3
0.897647,0.729036,0.207158,0.831189,0.102408,0.19791,0.966802,0.98294,0.65392,0.746182,0.838842,0.762712,0.917168,0.912288,0.888237,3
0.640074,0.0277501,0.767215,0.353879,0.6843,0.500273,0.904613,0.988061,0.808652,0.490442,0.891624,0.714905,0.810595,0.887172,0.991959,3
0.644366,0.473711,0.968546,0.745093,0.384816,0.768245,0.775061,0.547287,0.297596,0.150097,0.963281,0.65731,0.889183,0.86855,0.892652,3
0.269812,0.808571,0.829581,0.984448,0.858554,0.36192,0.601023,0.395804,0.149607,0.971592,0.91918,0.766116,0.877611,0.849333,0.898013,3
0.259965,0.162476,0.234251,0.878328,0.492934,0.887285,0.458891,0.329975,0.565067,0.131354,0.885433,0.649784,0.90231,0.876866,0.877162,3
0.489619,0.596022,0.769934,0.317805,0.217792,0.287015,0.675191,0.700225,0.166353,0.933229,0.865559,0.734193,0.905084,0.857539,0.888194,3
0.753792,0.946916,0.871452,0.0666769,0.809377,0.517861,0.546313,0.720262,0.0712849,0.824628,0.933456,0.685997,0.815209,0.825394,1.00096,3
0.436933,0.801912,0.219077,0.297795,0.645659,0.301206,0.314621,0.926533,0.805321,0.138662,0.889973,0.76887,0.857957,0.790101,0.890026,3
0.0212395,0.390431,0.322482,0.208258,0.48101,0.861106,0.169839,0.867518,0.542607,0.641999,0.872375,0.72598,0.882787,0.838585,0.871246,3
0.494456,0.250343,0.523299,0.0728308,0.880847,0.169242,0.887883,0.751779,0.430301,0.845351,0.944474,0.785577,0.90236,0.844658,1.03799,3
0.0553138,0.737633,0.944029,0.955896,0.00997739,0.27897,0.960917,0.601543,0.0494685,0.00829566,0.928482,0.717792,0.874833,0.924634,0.925086,3
0.0677855,0.48838,0.429915,0.751224,0.133395,0.258446,0.256528,0.199134,0.773986,0.878873,0.987648,0.722467,0.922356,0.812421,0.893027,3
0.578572,0.830886,0.724166,0.508787,0.355828,0.743675,0.370187,0.600456,0.66072,0.580892,0.909662,0.716639,0.881567,0.873021,0.911694,3
0.288565,0.202616,0.323401,0.922338,0.959117,0.605693,0.619157,0.709639,0.657729,0.117489,0.892441,0.772944,0.818552,0.905581,0.995786,3
0.98974,0.984532,0.706085,0.548251,0.861008,0.724825,0.34631,0.0849048,0.202747,0.360928,0.903893,0.761672,0.879681,0.824698,0.947132,3
0.93745,0.0542974,0.381266,0.486932,0.571186,0.703797,0.0488748,0.380664,0.0578529,0.922563,0.914104,0.76173,0.852069,0.86983,0.989016,3
0.826998,0.173883,0.286446,0.298201,0.424253,0.400883,0.691712,0.291498,0.729322,0.442904,0.943311,0.703066,0.893809,0.783448,0.80948,3
0.564996,0.959875,0.986852,0.236129,0.413238,0.580565,0.617271,0.1045,0.182228,0.0392677,1.00497,0.706701,0.969227,0.838766,0.920779,3
0.110049,0.809914,0.375052,0.539311,0.221057,0.411314,0.919777,0.0637387,0.951107,0.213022,0.928183,0.734724,0.860662,0.856963,0.950386,3
0.86019,0.668086,0.469105,0.86199,0.241286,0.582181,0.416922,0.0707636,0.658116,0.167812,0.829778,0.744615,0.96113,0.838887,0.96567,3
0.397228,0.178828,0.309525,0.0838209,0.622924,0.153069,0.64289,0.924772,0.633983,0.540223,0.927931,0.764019,1.01664,0.888611,1.0067,3
