f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,class
-0.553834,-0.582111,-0.609242,-0.61077,-0.594721,-0.570648,-0.575615,-0.599689,-0.618413,-0.626055,-0.629876,-0.621852,-0.610006,-0.581347,-0.532054,-0.48811,-0.427353,-0.360864,-0.322652,-0.300489,-0.225594,-0.125478,-0.0612822,0.0155238,0.107997,0.138948,0.156526,0.276511,0.5268,0.878732,1.21232,1.42898,1.59865,1.84167,2.14469,2.36594,2.44542,2.44007,2.4202,2.41676,2.47981,2.61661,2.73469,2.76449,2.71711,2.6724,2.71367,2.77328,2.64221,2.26888,1.86995,1.67507,1.69991,1.77901,1.73009,1.52031,1.23678,0.971587,0.775942,0.644111,0.544759,0.4584,0.394969,0.386944,0.420188,0.459547,0.463368,0.404139,0.291032,0.153851,0.0545,0.0120847,0.0204914,0.0587033,0.10685,0.148884,0.183656,0.226072,0.276894,0.328098,0.384269,0.448083,0.514572,0.586028,0.652135,0.704103,0.726266,0.707925,0.664363,0.606281,0.538263,0.472157,0.409107,0.347968,0.295617,0.249381,0.200852,0.158819,0.129395,0.116403,0.114493,0.111436,0.11946,0.138566,0.163404,0.197031,0.236389,0.271162,0.297528,0.319309,0.350643,0.387708,0.420188,0.441969,0.462604,0.50884,0.545906,0.553166,0.544377,0.516865,0.469482,0.42401,0.377009,0.326569,0.301349,0.2853,0.26543,0.274601,0.31052,0.345293,0.390383,0.42592,0.452669,0.454961,0.418278,0.340325,0.272308,0.210023,0.148119,0.0900371,0.0506788,0.022402,-0.044469,-0.122421,-0.189292,-0.292082,-0.373856,-0.494224,-0.626819,-0.766675,-0.850359,-0.891246,-0.9478,-0.999386,-1.00091,-0.997857,-0.991361,-0.9948,-1.00321,-0.958117,-0.956206,-0.971491,-0.976841,-0.97493,-0.980662,-0.991361,-0.999004,-0.999768,-0.983337,-0.972637,-0.963467,-0.953532,-0.874051,-0.810619,-0.750626,-0.695983,-0.634844,-0.582111,-0.54581,-0.520972,-0.522883,-0.549631,-0.585932,-0.650129,-0.739162,-0.81979,-0.90271,-0.958499,-1.02613,-1.08766,-1.12663,-1.20115,-1.17707,-1.12969,-1.04065,-0.982573,-0.991743,-0.998239,-0.96767,-0.956588,-0.963467,-0.91532,-0.845392,-0.806415,-0.767057,-0.710503,-0.665413,-0.637136,-0.53855,-0.41971,-0.305457,-0.246992,-0.216423,-0.158723,-0.141909,-0.18165,-0.272976,-0.368888,-0.449898,-0.575233,-0.725788,-0.90462,-1.04983,-1.19236,-1.31807,-1.41131,-1.49308,-1.54352,-1.56263,-1.58135,-1.59282,-1.60848,-1.62186,-1.62262,-1.62262,2
-0.336299,-0.336091,-0.333389,-0.311362,-0.260865,-0.195822,-0.175249,-0.198108,-0.227201,-0.248397,-0.264606,-0.279776,-0.289958,-0.293075,-0.276035,-0.217226,-0.094205,0.0672601,0.154123,0.176982,0.281092,0.41866,0.463753,0.487651,0.551447,0.598412,0.632284,0.70273,0.833855,1.0294,1.22349,1.34485,1.46184,1.67027,1.94686,2.17462,2.2885,2.35645,2.47282,2.68665,3.00563,3.35038,3.57211,3.56962,3.34893,3.05156,2.87534,2.85227,2.77185,2.46264,2.06323,1.81761,1.78353,1.80701,1.70373,1.45291,1.16801,0.946278,0.808503,0.727251,0.67717,0.644129,0.62314,0.6194,0.629582,0.636024,0.625842,0.584073,0.487235,0.343018,0.200048,0.101548,0.0541683,0.0377517,0.0265302,0.00284031,-0.038513,-0.087763,-0.131402,-0.165482,-0.184808,-0.185432,-0.171717,-0.144078,-0.103348,-0.0567999,-0.0102515,0.0294394,0.0574932,0.0774426,0.0924046,0.101964,0.10612,0.105704,0.0984309,0.0718318,0.0256989,-0.0218886,-0.0574234,-0.079243,-0.094205,-0.107712,-0.118726,-0.12496,-0.12309,-0.111661,-0.0956596,-0.0771649,-0.0555531,-0.0360194,-0.0154466,0.0103213,0.0414922,0.0774426,0.117549,0.148928,0.157448,0.142486,0.121082,0.106951,0.0969763,0.0874172,0.0776504,0.065182,0.0479341,0.0317253,0.0263224,0.0367126,0.0626884,0.101756,0.141655,0.173449,0.197554,0.210854,0.21688,0.210854,0.194645,0.171163,0.141447,0.108613,0.0712084,0.0350502,-0.001108,-0.0283306,-0.0380974,-0.0892176,-0.181276,-0.298062,-0.399264,-0.496101,-0.581094,-0.636578,-0.680633,-0.714713,-0.745468,-0.765417,-0.784951,-0.790978,-0.796588,-0.806979,-0.813005,-0.815083,-0.820486,-0.827344,-0.830253,-0.82859,-0.824019,-0.824226,-0.830668,-0.834409,-0.83524,-0.831292,-0.837526,-0.840643,-0.84376,-0.847916,-0.852072,-0.862878,-0.88075,-0.901322,-0.923973,-0.949741,-0.976132,-1.00585,-1.0285,-1.03702,-1.04554,-1.05635,-1.04512,-1.03328,-1.02642,-0.992965,-0.978418,-0.973431,-0.933325,-0.902361,-0.895504,-0.898829,-0.896543,-0.894465,-0.889893,-0.88636,-0.892387,-0.891348,-0.889685,-0.89301,-0.890101,-0.877633,-0.862047,-0.85228,-0.838149,-0.820902,-0.799082,-0.782873,-0.77373,-0.768119,-0.768742,-0.7756,-0.786198,-0.800537,-0.815291,-0.832539,-0.850202,-0.863502,-0.873476,-0.879711,-0.881581,-0.883036,-0.885321,-0.885321,-0.885529,-0.883867,-0.882204,-0.883243,-0.883243,2
-0.680972,-0.657278,-0.645801,-0.608779,-0.538066,-0.453285,-0.377759,-0.347771,-0.369614,-0.414411,-0.452914,-0.483643,-0.507708,-0.529181,-0.54473,-0.537696,-0.485864,-0.384793,-0.292608,-0.206345,-0.0564048,0.151291,0.388974,0.672936,0.939867,1.09018,1.15089,1.17977,1.21124,1.32934,1.52741,1.67439,1.76436,1.91615,2.14384,2.32636,2.43261,2.51628,2.63401,2.81246,3.00127,3.12641,3.12234,3.00238,2.82431,2.64068,2.51702,2.41669,2.17716,1.77176,1.41264,1.27677,1.34378,1.46188,1.48595,1.3771,1.19754,1.02539,0.893219,0.808438,0.759939,0.72995,0.699592,0.64702,0.56446,0.460428,0.352692,0.251621,0.139444,0.00727371,-0.101202,-0.153403,-0.154884,-0.123045,-0.0763969,-0.0297487,0.010976,0.0498494,0.0957572,0.151291,0.212378,0.271613,0.325666,0.375276,0.416741,0.44821,0.462279,0.452653,0.422665,0.376387,0.322334,0.270133,0.225335,0.187943,0.155363,0.120562,0.0809482,0.0446663,0.0194911,-0.000871207,-0.0179015,-0.0304891,-0.03197,-0.0149397,0.0180102,0.0598455,0.103902,0.145737,0.178687,0.205343,0.234591,0.266801,0.29975,0.324185,0.344548,0.376017,0.403043,0.418592,0.420443,0.394898,0.346769,0.29827,0.257175,0.219782,0.198309,0.181649,0.171283,0.190905,0.234591,0.291606,0.354544,0.395268,0.418963,0.422295,0.390085,0.319743,0.251251,0.179798,0.111677,0.0535517,0.00616304,-0.0290082,-0.0963889,-0.176727,-0.235963,-0.333702,-0.424037,-0.546211,-0.662461,-0.780192,-0.861641,-0.902736,-0.94198,-0.971968,-0.977521,-0.973079,-0.961232,-0.953827,-0.947163,-0.915694,-0.903477,-0.911251,-0.920507,-0.917915,-0.922728,-0.929022,-0.937537,-0.946423,-0.928282,-0.912362,-0.906809,-0.898664,-0.847573,-0.801295,-0.747242,-0.696151,-0.634694,-0.575829,-0.534364,-0.501414,-0.483273,-0.488826,-0.510299,-0.552505,-0.602485,-0.658759,-0.719105,-0.767234,-0.80944,-0.845352,-0.866825,-0.904958,-0.923469,-0.920507,-0.92532,-0.943831,-0.945312,-0.927911,-0.922358,-0.923099,-0.913103,-0.905328,-0.890149,-0.87571,-0.856458,-0.824619,-0.784265,-0.737987,-0.654686,-0.563241,-0.467353,-0.402194,-0.355546,-0.299642,-0.287054,-0.323706,-0.409968,-0.519925,-0.619145,-0.746872,-0.87608,-1.01639,-1.13153,-1.24223,-1.33923,-1.4092,-1.46807,-1.50694,-1.52471,-1.54211,-1.55248,-1.56396,-1.5721,-1.57284,-1.57284,2
-0.617622,-0.634757,-0.648659,-0.631201,-0.578503,-0.521602,-0.50188,-0.512226,-0.529361,-0.545849,-0.552638,-0.552638,-0.553932,-0.548112,-0.531301,-0.487655,-0.397777,-0.277186,-0.195391,-0.147866,-0.0489354,0.0816782,0.183518,0.29635,0.418881,0.481602,0.515548,0.604779,0.788091,1.06063,1.339,1.5291,1.67717,1.89087,2.15889,2.35901,2.42949,2.43305,2.45341,2.5378,2.69298,2.86368,2.95033,2.91412,2.789,2.6558,2.60925,2.60375,2.44501,2.07289,1.69398,1.52101,1.55916,1.64937,1.62803,1.45377,1.21259,0.99662,0.836586,0.723754,0.637756,0.568893,0.519428,0.495827,0.491947,0.481602,0.441836,0.36683,0.26014,0.136963,0.0435287,0.0134617,0.0354462,0.0862044,0.144722,0.196127,0.240419,0.282771,0.32965,0.378792,0.430843,0.490331,0.557577,0.624824,0.685281,0.729574,0.743152,0.727634,0.686575,0.627087,0.559841,0.490654,0.427287,0.371679,0.324154,0.274689,0.220698,0.174466,0.144722,0.130173,0.118211,0.107542,0.101076,0.104633,0.122737,0.153128,0.189337,0.223931,0.254644,0.280508,0.302816,0.325447,0.351635,0.374266,0.392694,0.414032,0.422438,0.409506,0.386228,0.357777,0.324801,0.291501,0.255291,0.211322,0.171556,0.141166,0.12597,0.127264,0.143105,0.167353,0.194187,0.209059,0.213262,0.203886,0.178992,0.136316,0.0955802,0.0532277,0.0102287,-0.0327703,-0.06995,-0.10713,-0.178256,-0.26684,-0.329237,-0.437867,-0.540676,-0.662884,-0.773776,-0.879496,-0.966787,-1.02336,-1.07412,-1.11486,-1.13846,-1.15172,-1.16432,-1.16562,-1.16756,-1.16077,-1.16238,-1.17047,-1.18146,-1.18889,-1.19148,-1.18792,-1.17887,-1.16562,-1.15139,-1.1349,-1.12133,-1.09514,-1.05085,-1.02239,-0.987155,-0.951269,-0.90827,-0.880142,-0.863331,-0.858158,-0.858481,-0.858481,-0.874323,-0.897601,-0.918615,-0.935427,-0.932517,-0.953208,-0.960321,-0.946742,-0.920878,-0.852662,-0.859774,-0.872707,-0.864947,-0.840376,-0.855248,-0.897601,-0.902773,-0.90148,-0.888872,-0.871413,-0.844903,-0.80837,-0.735627,-0.673553,-0.594344,-0.487655,-0.356718,-0.243563,-0.131054,-0.0466723,0.0263937,0.0897608,0.10043,0.0638967,-0.0175752,-0.134933,-0.250675,-0.394544,-0.539706,-0.702973,-0.846842,-0.978749,-1.09417,-1.17758,-1.2403,-1.28944,-1.31789,-1.33729,-1.35152,-1.36186,-1.36897,-1.37318,-1.37318,2
-0.630487,-0.617892,-0.615309,-0.593026,-0.547169,-0.490332,-0.449965,-0.450611,-0.466435,-0.486134,-0.50325,-0.511969,-0.518751,-0.522303,-0.512938,-0.482259,-0.410244,-0.30206,-0.220034,-0.160937,-0.0479087,0.109362,0.251131,0.414537,0.587631,0.675147,0.708409,0.772351,0.900557,1.1124,1.35493,1.52576,1.65397,1.84644,2.09413,2.27982,2.35668,2.37638,2.4119,2.51266,2.67348,2.82655,2.87951,2.81008,2.66831,2.52235,2.45485,2.42934,2.26206,1.89585,1.53254,1.38464,1.446,1.55644,1.56129,1.41822,1.20186,1.00357,0.857929,0.761694,0.696461,0.648343,0.61056,0.581495,0.559213,0.526596,0.474603,0.398713,0.296988,0.183314,0.0938606,0.0631816,0.0874018,0.139718,0.199138,0.252745,0.29828,0.342199,0.391608,0.446185,0.507866,0.575036,0.644145,0.714545,0.77558,0.818854,0.834678,0.815301,0.769444,0.706795,0.63155,0.551462,0.480093,0.419381,0.371586,0.32476,0.270184,0.224973,0.194294,0.172011,0.153927,0.136165,0.1268,0.127123,0.138749,0.164584,0.198492,0.230463,0.256621,0.278257,0.298925,0.317333,0.337678,0.355116,0.363836,0.378045,0.382566,0.367065,0.344137,0.317656,0.286654,0.257267,0.225619,0.180408,0.141655,0.113237,0.0919229,0.0916,0.105486,0.122602,0.153927,0.171688,0.176532,0.170397,0.143593,0.102257,0.0725467,0.0399301,0.00279237,-0.0388665,-0.0695455,-0.102485,-0.173854,-0.257172,-0.324343,-0.433172,-0.52973,-0.657291,-0.784528,-0.918224,-1.01284,-1.06742,-1.12167,-1.16818,-1.19304,-1.20661,-1.2108,-1.21533,-1.22437,-1.19982,-1.19433,-1.1995,-1.19886,-1.18594,-1.17657,-1.16688,-1.16818,-1.16172,-1.13782,-1.13039,-1.13524,-1.14299,-1.12103,-1.10424,-1.08744,-1.06807,-1.05386,-1.03674,-1.02834,-1.02964,-1.03448,-1.04546,-1.05967,-1.07033,-1.08034,-1.09422,-1.09713,-1.09099,-1.07323,-1.06516,-1.05612,-1.01672,-0.999927,-0.997989,-0.968279,-0.943736,-0.929203,-0.919838,-0.916286,-0.914671,-0.892389,-0.87495,-0.843302,-0.800674,-0.724138,-0.639206,-0.54394,-0.438016,-0.293987,-0.158999,-0.0230426,0.0741614,0.149406,0.23563,0.269538,0.248224,0.175241,0.0848183,-0.00366636,-0.142852,-0.317238,-0.537158,-0.728014,-0.900462,-1.04481,-1.14396,-1.22308,-1.27765,-1.30575,-1.329,-1.34224,-1.35677,-1.36775,-1.37034,-1.37034,2
-0.500495,-0.507968,-0.51113,-0.492448,-0.443299,-0.389265,-0.37087,-0.379205,-0.398749,-0.420881,-0.432665,-0.442437,-0.452497,-0.454508,-0.442724,-0.406222,-0.326033,-0.21279,-0.132025,-0.078278,0.0306535,0.178961,0.311461,0.461493,0.609514,0.681656,0.71011,0.784551,0.945506,1.19096,1.4551,1.64451,1.79799,2.0308,2.31821,2.52401,2.59787,2.59385,2.60161,2.67576,2.82637,2.99307,3.06636,3.02268,2.89679,2.75796,2.70738,2.69617,2.52027,2.12507,1.72613,1.53902,1.56662,1.64738,1.62008,1.4505,1.22315,1.02225,0.874801,0.772767,0.695739,0.63222,0.582209,0.553755,0.542833,0.525013,0.480463,0.40171,0.285593,0.148495,0.0349647,-0.0207944,-0.023956,-0.000100291,0.0312283,0.0602575,0.0858378,0.109981,0.139872,0.170051,0.20023,0.239032,0.284444,0.332155,0.377567,0.414069,0.435338,0.436775,0.416656,0.383028,0.34279,0.299677,0.260875,0.224661,0.193332,0.157117,0.112855,0.0740536,0.0484734,0.0352522,0.0257673,0.01657,0.00852226,0.0108216,0.0277793,0.0562337,0.0892868,0.12234,0.153381,0.177524,0.20138,0.227535,0.258001,0.284444,0.306862,0.329856,0.34049,0.332443,0.316347,0.29594,0.270935,0.246505,0.217763,0.178674,0.141022,0.109693,0.0887119,0.0835384,0.0947477,0.114292,0.140735,0.162004,0.176374,0.178961,0.16574,0.135561,0.105382,0.0717543,0.0349647,-0.00211222,-0.0322911,-0.0656316,-0.123403,-0.188359,-0.235496,-0.323158,-0.412833,-0.530387,-0.640468,-0.744801,-0.82844,-0.885061,-0.935072,-0.973586,-0.998879,-1.01354,-1.02705,-1.03308,-1.03883,-1.03136,-1.03538,-1.04573,-1.05493,-1.06154,-1.067,-1.0693,-1.06815,-1.05981,-1.05148,-1.04458,-1.03854,-1.0213,-0.994567,-0.974161,-0.948293,-0.9253,-0.89857,-0.881325,-0.872702,-0.872702,-0.875001,-0.878163,-0.896558,-0.925587,-0.948868,-0.964388,-0.972436,-0.979334,-0.965251,-0.958353,-0.957203,-0.910066,-0.895695,-0.891959,-0.871265,-0.847697,-0.857756,-0.88736,-0.897707,-0.906043,-0.896845,-0.877301,-0.862355,-0.841948,-0.799123,-0.763483,-0.710023,-0.636444,-0.549069,-0.476065,-0.402486,-0.346439,-0.296716,-0.252453,-0.243831,-0.266537,-0.318847,-0.391276,-0.462556,-0.553668,-0.65024,-0.762333,-0.86178,-0.954329,-1.03452,-1.09171,-1.13569,-1.16788,-1.1857,-1.19863,-1.20754,-1.21387,-1.21847,-1.22077,-1.22077,2
-0.675406,-0.684205,-0.684519,-0.660323,-0.610989,-0.561655,-0.532431,-0.533374,-0.551599,-0.561655,-0.569196,-0.575481,-0.575795,-0.572653,-0.554427,-0.511692,-0.425592,-0.301157,-0.213172,-0.163209,-0.0601412,0.0768637,0.181189,0.292741,0.412149,0.470596,0.500762,0.583719,0.756861,1.01956,1.29482,1.48776,1.64236,1.86767,2.14514,2.35096,2.427,2.42731,2.43926,2.52347,2.69001,2.87698,2.97722,2.94737,2.81728,2.67462,2.6212,2.62057,2.46659,2.08606,1.6895,1.4997,1.53018,1.61848,1.59586,1.42115,1.18453,0.977137,0.826306,0.720096,0.640595,0.575549,0.528729,0.506732,0.505161,0.498562,0.461483,0.387639,0.277343,0.152908,0.0570671,0.0193593,0.0388417,0.0903756,0.150708,0.207584,0.25409,0.298397,0.349302,0.398322,0.450485,0.510817,0.575549,0.641852,0.700299,0.741777,0.758746,0.745548,0.706584,0.649393,0.582462,0.512703,0.4464,0.390781,0.341761,0.28897,0.234608,0.189673,0.158878,0.140024,0.129655,0.122427,0.117085,0.118656,0.134368,0.160763,0.193444,0.226752,0.257233,0.281743,0.303425,0.330448,0.360615,0.387324,0.411834,0.427232,0.425975,0.40555,0.375069,0.343018,0.310023,0.27263,0.234294,0.194386,0.157621,0.127769,0.116143,0.120856,0.138139,0.167048,0.196272,0.215126,0.222353,0.216068,0.197843,0.158564,0.118028,0.0762352,0.033814,-0.00703611,-0.047572,-0.0903075,-0.154096,-0.231712,-0.286074,-0.385999,-0.495038,-0.625444,-0.73731,-0.845091,-0.940932,-1.00378,-1.05028,-1.08265,-1.11187,-1.12539,-1.13607,-1.13513,-1.12853,-1.12256,-1.11847,-1.1191,-1.1257,-1.12947,-1.1301,-1.12444,-1.11753,-1.11062,-1.10999,-1.10716,-1.09899,-1.08014,-1.05688,-1.03803,-1.00881,-0.986496,-0.969527,-0.953501,-0.938104,-0.932448,-0.928363,-0.926163,-0.934333,-0.947845,-0.95413,-0.961671,-0.984924,-0.99498,-0.988067,-0.965756,-0.930877,-0.903853,-0.926163,-0.947531,-0.927106,-0.901025,-0.923964,-0.948788,-0.94376,-0.937161,-0.914537,-0.890341,-0.862374,-0.821838,-0.752707,-0.694889,-0.614446,-0.503208,-0.367774,-0.251194,-0.136814,-0.0478862,0.029729,0.0900614,0.100745,0.0702648,-0.00609342,-0.123302,-0.236739,-0.3794,-0.524575,-0.689861,-0.833779,-0.961986,-1.07354,-1.15178,-1.20929,-1.25611,-1.28502,-1.3045,-1.31707,-1.32367,-1.32869,-1.33341,-1.33341,2
-0.860863,-0.868173,-0.88895,-0.88164,-0.835853,-0.789297,-0.781217,-0.800455,-0.809305,-0.813922,-0.811229,-0.795069,-0.782756,-0.773907,-0.748897,-0.699648,-0.612692,-0.499188,-0.425314,-0.386838,-0.309886,-0.210233,-0.151749,-0.0913421,-0.0163138,0.0148517,0.035244,0.136821,0.351517,0.646628,0.930581,1.11911,1.27071,1.48733,1.73858,1.92095,1.98175,1.96828,1.97251,2.04331,2.1849,2.34842,2.44692,2.43499,2.33611,2.2353,2.22299,2.24839,2.12719,1.79052,1.43885,1.28918,1.34612,1.45693,1.45424,1.29072,1.04909,0.828235,0.66856,0.553516,0.464252,0.387685,0.331125,0.316119,0.330355,0.340744,0.313811,0.24263,0.147209,0.0590992,0.0183146,0.0525583,0.147594,0.268794,0.388839,0.494648,0.590453,0.681641,0.777447,0.875561,0.978676,1.09026,1.20492,1.31034,1.39229,1.44,1.44193,1.39114,1.29803,1.18029,1.05217,0.922117,0.800532,0.696262,0.61123,0.53197,0.456172,0.396534,0.358443,0.339205,0.331894,0.328431,0.326892,0.333433,0.352287,0.384606,0.423082,0.457326,0.480027,0.497726,0.518888,0.538126,0.559672,0.571985,0.580834,0.592762,0.589684,0.56352,0.526198,0.479257,0.423852,0.366907,0.313041,0.259175,0.217236,0.195689,0.197998,0.219544,0.255327,0.297651,0.328431,0.331125,0.313426,0.276104,0.228778,0.160676,0.0944971,0.032166,-0.0290109,-0.0848012,-0.136359,-0.194458,-0.289109,-0.411847,-0.503036,-0.635778,-0.756977,-0.890874,-1.00322,-1.10711,-1.1983,-1.25794,-1.30718,-1.3395,-1.36105,-1.37029,-1.37606,-1.3699,-1.3549,-1.34374,-1.33797,-1.33989,-1.34874,-1.35528,-1.35297,-1.34066,-1.32027,-1.31142,-1.31334,-1.29949,-1.27871,-1.24101,-1.1906,-1.15213,-1.10057,-1.05016,-0.988603,-0.950127,-0.919731,-0.892028,-0.867019,-0.848166,-0.844318,-0.851244,-0.851244,-0.844318,-0.817385,-0.817385,-0.794684,-0.776985,-0.774676,-0.730044,-0.75236,-0.748897,-0.740818,-0.717347,-0.739278,-0.793914,-0.801994,-0.796608,-0.759286,-0.717732,-0.668098,-0.601534,-0.477641,-0.375295,-0.241014,-0.0540204,0.168756,0.352287,0.534278,0.677409,0.802456,0.896338,0.903263,0.832852,0.685874,0.471178,0.255327,-0.00784911,-0.262176,-0.542666,-0.780063,-0.989757,-1.17483,-1.30757,-1.4053,-1.48802,-1.53881,-1.57228,-1.59806,-1.61268,-1.62269,-1.63154,-1.63154,2
-0.664675,-0.661196,-0.652972,-0.626403,-0.564723,-0.489442,-0.443895,-0.428079,-0.437568,-0.458761,-0.477739,-0.49134,-0.503044,-0.513482,-0.514114,-0.491657,-0.425865,-0.322433,-0.238613,-0.171872,-0.0481968,0.122608,0.294994,0.494899,0.690059,0.791277,0.833346,0.884271,0.973785,1.14491,1.36347,1.52574,1.64625,1.83477,2.08686,2.27854,2.36426,2.39937,2.45504,2.5765,2.75015,2.90103,2.9431,2.86213,2.70492,2.54487,2.46042,2.4155,2.22635,1.84521,1.48272,1.33247,1.38783,1.49537,1.50233,1.37613,1.18413,1.0051,0.875414,0.786532,0.724853,0.681203,0.645777,0.607504,0.564486,0.510714,0.442709,0.360469,0.258619,0.145382,0.055235,0.0207577,0.0410012,0.0954057,0.162779,0.225091,0.278546,0.329155,0.384192,0.445872,0.511347,0.580934,0.651786,0.719159,0.776411,0.813735,0.824489,0.804562,0.755534,0.686896,0.611299,0.531907,0.45884,0.396212,0.341491,0.291515,0.241855,0.198205,0.166574,0.1438,0.127353,0.112486,0.104895,0.10616,0.120394,0.145698,0.177645,0.212755,0.242171,0.264629,0.284872,0.305116,0.324411,0.34244,0.357939,0.366479,0.363632,0.345919,0.319982,0.29278,0.264629,0.230152,0.194093,0.154555,0.116598,0.0865492,0.0719991,0.0735806,0.0906611,0.1147,0.139372,0.156136,0.160248,0.153922,0.137791,0.102048,0.0691524,0.0349914,-0.00391411,-0.0437686,-0.0839393,-0.126957,-0.193381,-0.27309,-0.328443,-0.431875,-0.540684,-0.670369,-0.786769,-0.902853,-1.00312,-1.06765,-1.11794,-1.154,-1.18468,-1.19733,-1.20682,-1.20587,-1.19797,-1.18753,-1.17772,-1.17456,-1.18057,-1.18342,-1.17962,-1.1695,-1.15748,-1.14894,-1.1502,-1.14862,-1.14483,-1.14356,-1.14071,-1.13123,-1.11762,-1.10592,-1.09327,-1.07935,-1.07081,-1.0705,-1.06986,-1.07176,-1.07745,-1.07809,-1.06891,-1.05848,-1.05658,-1.055,-1.03412,-1.00913,-0.973389,-0.930055,-0.931321,-0.947769,-0.918985,-0.884191,-0.897476,-0.909496,-0.89716,-0.893364,-0.875018,-0.856989,-0.825042,-0.773484,-0.701683,-0.635575,-0.541949,-0.421437,-0.270243,-0.139293,-0.0140359,0.0859165,0.174798,0.244385,0.260201,0.23458,0.162146,0.0520719,-0.0564208,-0.200656,-0.362604,-0.564723,-0.743435,-0.901588,-1.03539,-1.1268,-1.19449,-1.24952,-1.28242,-1.30551,-1.32038,-1.3286,-1.33556,-1.34157,-1.34157,2
-0.432651,-0.441707,-0.4481,-0.439577,-0.387904,-0.330105,-0.309862,-0.319717,-0.337296,-0.357539,-0.374053,-0.382577,-0.390035,-0.390834,-0.37725,-0.342623,-0.268044,-0.163899,-0.0927823,-0.0435066,0.0672972,0.219386,0.349367,0.496395,0.647419,0.712942,0.731587,0.803769,0.967311,1.21449,1.47472,1.6649,1.83297,2.07801,2.3718,2.58702,2.66186,2.65547,2.65201,2.71167,2.86003,3.0321,3.11387,3.07125,2.94606,2.81395,2.76547,2.75349,2.57849,2.1755,1.76744,1.57806,1.60124,1.67155,1.6308,1.45554,1.22701,1.02644,0.881545,0.780064,0.70362,0.638096,0.585358,0.55819,0.550732,0.539545,0.502255,0.423947,0.302222,0.158923,0.0348018,-0.0360486,-0.0552262,-0.0440393,-0.0213991,-0.00248787,0.012428,0.0286757,0.0478533,0.0696944,0.0931336,0.121367,0.158923,0.199676,0.241227,0.278783,0.301423,0.308615,0.297428,0.275054,0.248152,0.218321,0.189554,0.16212,0.136283,0.10219,0.0587738,0.0214841,-0.00248787,-0.0150066,-0.0240626,-0.0317869,-0.0373804,-0.0368477,-0.0245953,-0.000623384,0.0310729,0.0646336,0.0949981,0.120835,0.144274,0.169578,0.202073,0.231106,0.255877,0.280914,0.2929,0.285442,0.271059,0.255078,0.2359,0.217521,0.19275,0.158124,0.123764,0.0931336,0.0736897,0.0688953,0.0800822,0.100592,0.123764,0.143741,0.160255,0.166115,0.158124,0.134951,0.11018,0.0816804,0.0481196,0.0110962,-0.0264598,-0.0645486,-0.113824,-0.164165,-0.199857,-0.276834,-0.3626,-0.474203,-0.575684,-0.677165,-0.762133,-0.817268,-0.866544,-0.90703,-0.935264,-0.951245,-0.967226,-0.973352,-0.980544,-0.980011,-0.985072,-0.995193,-1.00558,-1.01144,-1.01331,-1.01038,-1.00505,-1.00478,-1.00718,-1.00478,-1.00105,-0.984273,-0.961366,-0.946184,-0.925941,-0.907829,-0.88732,-0.8756,-0.870539,-0.86974,-0.876932,-0.88439,-0.896642,-0.923278,-0.952843,-0.966693,-0.968025,-0.985605,-0.976016,-0.952044,-0.943254,-0.898773,-0.89531,-0.884656,-0.848432,-0.823927,-0.833782,-0.863614,-0.876399,-0.87853,-0.870539,-0.861217,-0.850829,-0.82739,-0.784507,-0.76453,-0.734698,-0.685156,-0.624161,-0.572222,-0.518418,-0.477133,-0.43931,-0.409212,-0.407348,-0.427857,-0.470474,-0.532002,-0.591665,-0.664114,-0.734165,-0.811408,-0.878796,-0.940857,-0.997058,-1.03914,-1.06951,-1.09321,-1.10733,-1.11639,-1.12278,-1.12624,-1.1289,-1.13157,-1.13157,2
