f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,class
-0.376936,1.22486,0.343874,0.328454,-0.337609,1.02651,-1.331,-0.6578,1.44608,-0.846397,0.776208,-0.254052,1.66523,0.625472,1.24226,0.776208,1.12735,-1.0134,-0.692362,-1.05687,-1.22458,-0.239139,0.173179,-0.172778,0.820609,-1.43161,-0.338737,-1.6279,-1.12706,1.35995,-1.43463,-0.983065,1.56059,-0.474447,-0.273109,-0.552508,-1.10665,0.90208,0.242134,-0.866581,1.52684,-1.09464,-0.316269,0.531484,0.264292,1.16626,-0.576836,-0.332112,1.51639,-0.104669,0.370712,-1.56816,1.02186,-1.42975,1.35697,1.37278,0.663558,0.918346,-1.31174,-1.19715,1
0.644406,0.413269,-0.862278,-1.49739,-0.421458,-0.214215,-1.29213,0.956898,-1.21614,-0.588536,0.776984,-0.603029,-0.302168,-0.806957,-1.57121,1.74836,0.696533,0.994743,0.533553,1.46443,-0.700956,0.66833,1.73474,0.941621,-1.48479,0.283253,0.598155,-0.776977,0.679057,-0.115173,-0.587993,-1.51079,-0.692097,-1.19565,0.708495,-1.37005,-0.536077,-1.52239,-0.739463,1.76728,1.0152,0.541176,-0.874331,-0.353723,0.656579,-0.588867,0.104906,2.02255,1.47172,-0.629243,1.31727,-0.802528,-1.12129,0.989319,-1.10969,0.219856,0.630034,1.39814,0.0857421,0.0249974,1
-0.978667,-0.406232,0.822429,-1.40824,-1.67673,-0.490632,1.4046,1.1686,-1.70325,0.97281,-0.761972,-1.49253,1.29879,1.14576,-1.54076,-0.345726,0.678933,0.112996,0.180112,-1.16187,-0.572487,0.259313,1.44655,0.63972,-1.68984,0.686842,-0.908509,0.530044,1.42653,-0.743693,0.665327,0.745025,-1.04927,-0.140064,-0.294843,0.0402668,-1.71644,0.905473,0.716404,0.687257,0.151076,-0.777513,1.21462,1.20485,0.861199,-1.31928,-0.438034,-1.7785,0.443432,1.16301,-0.828783,-0.762884,1.38297,-0.869103,1.27725,-0.198967,0.966809,0.666129,0.106996,0.0827155,1
-0.236537,-0.0981746,0.367092,1.36686,0.498281,-0.300223,1.71563,0.902108,-0.218132,-1.43072,1.4414,1.12494,-0.123806,-0.891131,1.051,0.551466,1.01045,-1.35867,-0.112087,-0.469603,-1.14228,-1.18014,-0.708137,-0.42765,-0.0181672,0.40585,-0.869451,-0.495153,1.21012,-1.20918,-1.38758,1.58236,1.02158,0.720711,-1.36641,-0.0295891,-1.32189,-0.372598,1.2793,0.557231,0.332285,1.67807,0.479497,-1.08365,0.869114,0.865541,-1.48001,1.19989,-0.202433,-1.49484,0.0689045,-1.4996,0.406744,1.28915,-1.11973,-0.995985,1.65114,-1.1871,0.0254633,-0.841518,1
1.49074,1.32524,1.62683,-0.317056,-1.09899,-0.0222126,0.59698,1.66734,-0.206153,-1.37663,0.00996342,-0.0584612,-0.408783,1.22958,-0.587761,-1.15951,0.705645,1.36565,1.07199,-1.18052,1.08793,-0.885275,-1.40702,0.185273,-0.332214,-0.238221,0.728705,-1.40772,0.533114,0.0392806,1.65207,1.61572,-0.683534,-1.45802,-1.20202,-0.0286586,-1.45703,0.392651,-1.25588,0.581445,-0.291218,0.844302,-1.34305,-0.113832,-0.627651,-0.964703,0.602725,1.35464,-1.31036,0.620849,0.815065,1.02999,-1.49616,-1.16744,1.48421,-0.37302,-0.843281,-0.209794,0.137724,0.716542,1
1.64332,1.76401,0.437756,0.19931,-1.56762,-0.719117,-1.09419,1.03318,-1.37717,-0.948905,1.10088,-0.294349,-0.815771,1.83175,0.235443,0.607022,-1.60375,1.00328,1.15292,1.26262,0.511205,-1.46334,0.642001,1.46536,-0.794472,1.24239,-0.877158,1.64594,0.270624,0.0161614,0.835193,1.00383,-0.130623,-0.961199,-0.399603,0.71978,-0.356456,0.407135,1.05393,-1.53466,-0.691152,0.736115,-1.45518,0.364738,-0.595566,-1.027,-1.2537,-1.57408,-0.0209243,-0.963508,0.282082,-1.36868,0.0978943,-0.425231,0.575449,-0.912021,1.31742,-0.397265,0.209267,-0.0453115,1
1.1847,0.788449,-1.74296,-0.963561,-1.26733,1.13336,0.206078,-0.428372,-0.979484,-1.48896,1.58477,0.793082,0.434804,0.265429,-0.684662,-0.821194,0.642329,0.930582,-0.44409,1.67995,-0.451098,0.260268,-0.660851,-1.67642,0.776045,1.00231,0.74763,-0.478663,-1.02376,-0.23982,-0.045667,0.581042,-1.47558,0.163998,1.0809,-1.20531,1.50853,1.70623,0.73115,-0.299377,-0.0284539,0.520752,0.20901,0.278127,-1.46095,1.33352,-1.66446,-1.41368,0.0586672,-0.765215,0.704026,-0.0371631,1.5575,1.0709,-1.7139,-1.27563,0.184349,-0.764247,0.628312,0.754082,1
-1.5231,0.995921,1.69638,-0.253934,-0.196881,0.858227,0.145158,-1.44918,-1.41642,1.31685,0.251806,1.1983,0.135645,1.04768,1.05585,-0.0324194,0.157768,-1.17982,-0.457435,-1.38107,1.5277,-0.588092,0.419167,-1.26975,1.52367,-0.130511,0.177386,-1.17839,1.65039,-0.595016,-1.52971,-0.402239,-0.89278,0.0116021,0.0760018,0.1746,-1.46759,0.444583,-0.490507,-1.05674,-0.325652,1.45359,-0.383634,0.869711,-0.37702,1.20615,-1.36733,0.855328,-0.877187,-1.21289,0.430313,-0.853009,0.795066,1.64749,-0.632845,1.48635,-1.0466,0.69948,1.23613,-0.976517,1
-1.37049,-0.695313,-0.844815,-1.35933,1.52272,-1.15599,-0.0867565,0.80024,-1.05749,0.173543,-0.695519,0.937805,-0.42417,0.0870618,0.602342,-0.620443,-1.33188,1.06595,1.4894,0.142194,-1.69101,-1.13658,-0.249938,-0.368092,-0.884317,-0.988792,1.08125,0.987708,0.311433,1.02916,-0.643785,0.849906,0.7553,1.11304,1.00354,0.217714,-1.18734,-1.69881,-0.158996,0.397589,1.39783,1.56483,-1.08709,0.153688,0.971665,1.49102,-0.107468,1.28001,-1.62491,-0.00385081,-0.287343,-0.401065,-1.71716,1.29933,0.313944,0.601898,-1.72398,0.708323,0.067532,1.18475,1
-0.824564,0.541666,0.320328,-0.362941,-0.948632,0.852671,-1.55519,0.311272,1.75252,1.54086,1.54027,-0.0403772,-0.541842,0.172461,-0.248548,-0.347178,1.91779,1.14188,-0.154894,-0.79279,-0.456471,-1.45745,-1.04442,0.167114,-0.440801,0.219442,-1.56279,0.0486092,-0.896984,-0.79347,0.752681,0.276191,-0.924214,1.45514,1.14062,0.0337421,0.736206,1.1791,-1.18471,-1.53735,-0.428221,1.5658,-1.47334,-0.256244,0.273131,1.93346,1.20318,-1.13705,0.391388,0.73157,-0.865549,-1.61079,-0.0196992,-1.30569,0.44962,0.588895,-0.31936,-0.527314,1.65027,-0.828984,1
