f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,class
-1.60229,-1.67082,-1.69367,-1.69938,-1.69938,-1.70366,-1.70366,-1.70366,-1.70366,-1.70366,-0.734257,-0.976964,0.46215,0.946137,1.4444,1.52721,1.62286,1.66855,1.70424,1.71852,1.71852,1.78705,1.74136,1.72709,1.71852,1.71852,1.71852,1.71424,1.71852,1.71424,1.7228,1.7228,1.7228,1.71852,1.60002,-1.34674,-1.58944,-1.63941,-1.66654,-1.67653,-1.6851,-1.68938,-1.69367,-1.69367,-0.825629,-0.565789,-0.017555,0.20231,0.225153,0.260845,0.279405,0.279405,0.270839,0.265128,0.270839,0.270839,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.279405,0.283688,0.283688,0.283688,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.279405,0.275122,0.275122,0.279405,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.279405,0.275122,0.275122,0.275122,0.275122,0.275122,0.279405,0.279405,0.283688,0.287971,0.293682,0.279405,0.283688,0.283688,0.283688,0.283688,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.275122,0.279405,0.279405,0.275122,0.279405,0.275122,0.279405,0.275122,0.275122,-1.01408,-1.13258,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,-1.14543,1
1.08459,1.08459,1.08459,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.08459,1.08459,1.08459,1.08459,1.08459,1.08459,1.06531,1.08459,1.08459,-0.593106,-0.207429,0.101114,0.197533,0.255385,0.293952,0.33252,0.351804,0.371088,0.390372,0.390372,0.409656,0.409656,1.06531,1.08459,1.06531,1.08459,1.06531,1.08459,1.06531,1.06531,1.06531,1.06531,1.04602,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,-0.207429,-0.901648,-0.920932,-0.920932,-0.940216,-0.940216,-0.9595,-0.9595,-0.978784,-0.978784,-0.998068,-0.998068,-0.998068,-1.01735,-1.01735,-1.01735,-1.03664,-1.03664,-1.03664,-1.03664,-1.03664,-1.03664,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.0752,-1.05592,-1.05592,-1.0752,-1.0752,-1.0752,-1.0752,-1.0752,-1.0752,-1.0752,-1.05592,-1.05592,-1.05592,-1.05592,-1.05592,-1.03664,-1.01735,-0.998068,-0.978784,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.978784,-0.978784,-0.978784,-0.978784,-0.9595,-0.978784,-0.9595,-0.9595,-0.9595,-0.978784,0.949604,1.04602,1.06531,1.08459,1.08459,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1.06531,1
0.362689,0.362689,0.362689,0.393316,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.393316,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.852721,-0.402987,-0.402987,-0.402987,-0.402987,-0.433614,-0.433614,-0.402987,-0.402987,-0.402987,-0.37236,-0.402987,-0.402987,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.362689,0.301434,0.332062,0.393316,0.393316,10.8984,3.39476,-0.402987,-0.402987,-0.341733,-0.280479,-0.280479,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.37236,-0.341733,-0.341733,-0.341733,-0.37236,-0.341733,-0.341733,-0.37236,-0.37236,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.341733,-0.311106,-0.341733,-0.341733,-0.341733,-0.341733,-0.311106,-0.341733,-0.341733,-0.341733,-0.311106,-0.341733,-0.341733,-0.311106,-0.341733,-0.341733,-0.311106,-0.341733,-0.341733,-0.311106,-0.341733,-0.341733,-0.341733,-0.402987,-0.37236,-0.37236,-0.37236,-0.341733,-0.402987,-0.402987,-0.402987,-0.37236,-0.37236,-0.37236,-0.341733,-0.37236,-0.402987,-0.37236,-0.37236,-0.402987,-0.402987,-0.402987,-0.402987,-0.402987,-0.37236,-0.402987,-0.37236,-0.402987,-0.402987,-0.402987,-0.402987,0.393316,0.393316,0.393316,0.393316,0.393316,0.393316,0.362689,0.393316,0.393316,0.393316,0.393316,0.393316,0.393316,1
-1.09452,-1.09452,-1.09452,-1.09673,-1.09452,-1.09673,-1.09452,-1.09452,-1.09452,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,0.707507,1.07851,0.992386,0.767133,0.60813,0.453544,0.360792,0.287916,0.208415,0.157622,0.10683,0.0781211,0.0516207,-0.937729,-1.09452,-1.09452,-1.09452,-1.09452,-1.09452,-1.09452,-1.09452,-1.09673,-1.09452,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,0.332084,0.82455,0.886385,0.93276,0.957052,0.968094,0.981345,0.990178,0.999012,0.999012,1.00122,0.994595,0.98797,0.981345,0.972511,0.968094,0.968094,0.965886,0.963678,0.959261,0.952636,0.959261,0.961469,0.954844,0.943802,0.946011,0.939386,0.941594,0.946011,0.943802,0.941594,0.934969,0.930552,0.928344,0.928344,0.921719,0.926135,0.928344,0.930552,0.930552,0.93276,0.937177,0.937177,0.937177,0.937177,0.937177,0.939386,0.946011,0.946011,0.957052,0.985761,1.01889,1.06085,1.0498,1.0498,1.03876,1.02993,1.02993,1.03214,1.02993,1.02551,1.0211,1.01668,1.01447,1.01005,1.00343,1.00122,1.00122,0.994595,0.990178,0.985761,-0.796394,-1.09452,-1.09452,-1.09673,-1.09452,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,-1.09673,1
-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10591,-1.10591,-1.10376,-1.10591,-1.10376,-1.10376,-1.10376,-1.10376,-1.10591,0.775413,1.00574,0.740972,0.512802,0.304005,0.183462,0.0779874,0.0155635,-0.0339451,-0.0834537,-0.115742,-0.150183,-0.171708,-0.976761,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10591,-1.10591,-1.10376,-1.10591,-1.10376,-0.231979,0.400869,0.844294,0.898108,0.926091,0.949769,0.962684,0.977752,0.994972,1.00143,1.01219,1.00789,1.00358,0.999278,0.997125,0.997125,0.990667,0.990667,0.986362,0.979905,0.977752,0.9756,0.973447,0.969142,0.966989,0.962684,0.960532,0.960532,0.960532,0.958379,0.956227,0.958379,0.960532,0.958379,0.954074,0.954074,0.951921,0.951921,0.951921,0.951921,0.951921,0.951921,0.954074,0.956227,0.956227,0.958379,0.960532,0.969142,0.971294,0.966989,0.973447,0.977752,1.00358,1.04233,1.06385,1.05309,1.04448,1.03157,1.02511,1.01865,1.01004,0.999278,0.997125,0.994972,0.997125,0.990667,0.986362,0.99282,0.990667,0.988515,0.986362,0.986362,0.986362,-1.06932,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,-1.10376,1
0.425021,0.425021,0.456215,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,2.04712,-0.510805,-0.541999,-0.510805,-0.541999,-0.541999,-0.510805,-0.448417,-0.479611,-0.510805,-0.510805,-0.510805,-0.510805,0.456215,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.331438,0.393827,0.456215,0.456215,10.22,3.29489,-0.354834,-0.479611,-0.479611,-0.417222,-0.386028,-0.417222,-0.448417,-0.479611,-0.448417,-0.479611,-0.479611,-0.448417,-0.510805,-0.479611,-0.479611,-0.510805,-0.510805,-0.510805,-0.479611,-0.479611,-0.479611,-0.448417,-0.479611,-0.448417,-0.479611,-0.479611,-0.479611,-0.479611,-0.479611,-0.479611,-0.479611,-0.479611,-0.479611,-0.448417,-0.479611,-0.479611,-0.448417,-0.479611,-0.479611,-0.479611,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.448417,-0.479611,-0.479611,-0.510805,-0.448417,-0.479611,-0.510805,-0.479611,-0.479611,-0.479611,-0.510805,-0.510805,-0.510805,-0.510805,-0.510805,-0.510805,-0.510805,-0.510805,-0.541999,-0.510805,-0.510805,-0.510805,-0.541999,-0.510805,-0.541999,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,0.425021,1
1.05929,1.05929,1.05929,1.05929,1.07786,1.05929,1.05929,1.04071,1.05929,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.05929,1.05929,1.05929,-0.185409,0.0746768,0.334762,0.446227,0.483383,0.520538,0.539115,0.557693,0.557693,0.57627,0.57627,0.594848,0.594848,1.07786,1.05929,1.05929,1.05929,1.05929,1.05929,1.07786,1.05929,1.07786,1.07786,1.07786,1.07786,1.05929,1.07786,1.05929,1.07786,1.07786,-0.111099,-0.798467,-0.835622,-0.947088,-0.965665,-0.965665,-0.984243,-0.984243,-1.00282,-0.984243,-0.984243,-0.984243,-0.984243,-0.984243,-0.984243,-1.00282,-1.00282,-1.00282,-1.0214,-1.0214,-1.0214,-1.0214,-1.0214,-1.03998,-1.03998,-1.03998,-1.03998,-1.03998,-1.03998,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.07713,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.05855,-1.07713,-1.05855,-1.05855,-1.07713,-1.03998,-1.0214,-0.984243,-0.947088,-0.947088,-0.947088,-0.92851,-0.947088,-0.92851,-0.947088,-0.947088,-0.947088,-0.947088,-0.947088,-0.92851,-0.92851,-0.92851,-0.92851,-0.947088,-0.947088,-0.92851,-0.92851,1.07786,1.05929,1.05929,1.05929,1.05929,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1.07786,1
1.13286,1.13286,1.13286,1.15268,1.15268,1.15268,1.13286,1.13286,1.15268,1.13286,1.13286,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,-0.313656,0.280804,0.518588,0.657295,0.696926,0.716741,0.736556,0.756371,0.756371,0.776187,0.776187,0.796002,0.796002,1.19231,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.15268,1.13286,1.13286,1.15268,1.13286,-0.174948,-0.828854,-0.828854,-0.8883,-0.8883,-0.908115,-0.908115,-0.908115,-0.92793,-0.947746,-0.947746,-0.947746,-0.947746,-0.947746,-0.967561,-0.967561,-0.967561,-0.967561,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-1.00719,-1.00719,-0.987376,-0.987376,-0.987376,-0.987376,-0.987376,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-1.00719,-0.987376,-0.967561,-0.908115,-0.8883,-0.848669,-0.828854,-0.809039,-0.809039,-0.809039,-0.809039,-0.809039,-0.809039,-0.809039,-0.809039,-0.809039,-0.789223,-0.789223,-0.789223,-0.789223,-0.789223,-0.789223,-0.789223,-0.789223,-0.789223,-0.789223,1.11305,1.13286,1.13286,1.13286,1.13286,1.15268,1.15268,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1.13286,1
-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,1.69823,-1.20229,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.25129,-1.25129,-0.448706,0.31785,0.539748,0.541189,0.546953,0.551275,0.55848,0.567125,0.571448,0.578652,0.585857,0.588739,0.594502,0.600266,0.601707,0.606029,0.611793,0.614675,0.618998,0.616116,0.617557,0.621879,0.62332,0.624761,0.627643,0.629084,0.630525,0.634847,0.637729,0.640611,0.642052,0.643493,0.646375,0.647815,0.650697,0.650697,0.650697,0.656461,0.657902,0.656461,0.653579,0.65502,0.656461,0.657902,0.662224,0.663665,0.663665,0.662224,0.662224,0.665106,0.663665,0.665106,0.662224,0.657902,0.657902,0.660784,0.659343,0.650697,0.634847,0.588739,0.549834,0.521017,0.500844,0.47779,0.448972,0.425917,0.415831,0.412949,0.412949,0.412949,0.412949,0.411509,0.412949,0.412949,0.410068,0.411509,0.412949,0.412949,0.412949,0.41439,0.41439,0.41439,0.412949,0.412949,-1.24552,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,-1.24984,1
-1.41866,-1.67769,-1.58152,-0.961043,-0.42847,0.967756,1.47253,1.73359,1.71754,1.82519,1.85175,1.93401,1.94551,1.9638,1.95234,1.94054,1.95575,1.93469,1.96436,1.932,1.98935,1.88885,2.0675,0.924506,-1.5261,-1.49469,-1.60262,-1.57039,-1.60954,-1.5978,-0.996542,-0.330669,0.122986,0.23618,0.286746,0.324051,0.389963,0.440744,0.446347,0.445694,0.443875,0.448674,0.4501,0.453571,0.450306,0.447472,0.448048,0.447625,0.447853,0.447558,0.448202,0.447017,0.451142,0.448385,0.447997,0.444874,0.446678,0.448249,0.447418,0.44794,0.447806,0.447571,0.447996,0.443342,0.444857,0.448314,0.444064,0.442696,0.445835,0.448166,0.447807,0.447392,0.448443,0.450417,0.450057,0.449343,0.451748,0.450821,0.44937,0.453417,0.451427,0.45299,0.448422,0.448483,0.452617,0.451893,0.45263,0.45191,0.45249,0.451629,0.448953,0.452664,0.451919,0.452691,0.450395,0.448974,0.446125,0.457405,0.439225,0.471563,0.423901,0.497401,0.379619,0.593775,-0.227906,-1.15383,-0.95768,-1.07348,-1.00144,-1.0478,-1.01838,-1.03621,-1.02608,-1.03134,-1.02902,-1.02917,-1.02933,-1.02894,-1.02903,-1.02949,-1.02901,-1.02895,-1.02938,-1.02912,-1.02891,-1.0292,-1.02927,-1.02892,-1.02907,-1.02946,-1.02898,-1.02897,-1.02943,-1.02908,-1.02892,-1.02925,-1.02923,-1.02892,-1.0291,-1.02941,-1.02896,-1.02899,-1.02949,-1.02987,-1.02837,-1.03148,-1.02626,-1.03452,-1.02149,-1.04208,-1.00901,-1.06787,-1
