dataset,n_train,n_test,length,n_classes,best_params,cv_acc,test_acc,n_trials_completed,wall_s,model_path
ACSF1,100,100,1460,10,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.65,0.78,50,25.0415518283844,models/ACSF1.joblib
Adiac,390,391,176,37,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.6666666666666666,0.6649616368286445,50,52.759207010269165,models/Adiac.joblib
ArrowHead,36,175,251,3,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.8357142857142857,0.6857142857142857,50,19.16546392440796,models/ArrowHead.joblib
BME,30,150,128,3,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",1.0,0.9666666666666667,50,19.51057195663452,models/BME.joblib
Beef,30,30,470,5,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.6,0.6,50,24.8832950592041,models/Beef.joblib
BeetleFly,20,20,512,2,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.55,0.9,50,23.40575408935547,models/BeetleFly.joblib
BirdChicken,20,20,512,2,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.85,0.85,50,24.259155750274658,models/BirdChicken.joblib
CBF,30,900,128,3,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.9333333333333333,0.8977777777777778,50,17.4075608253479,models/CBF.joblib
Car,60,60,577,4,"{""class_weight"": null, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.7333333333333334,0.6666666666666666,50,24.677342891693115,models/Car.joblib
Chinatown,20,343,24,2,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",1.0,0.9795918367346939,50,17.78153419494629,models/Chinatown.joblib
